,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Netherlands,European Region of WHO,South West Europe,2020,1,2019-12-30,2020-01-05,,15.0,0.0,6.0,14.0,,188.0,208.0,0.0,0.0,1.0,1.0,209.0,,No Report
1,Netherlands,European Region of WHO,South West Europe,2020,2,2020-01-06,2020-01-12,,29.0,0.0,11.0,19.0,,209.0,239.0,0.0,1.0,6.0,7.0,246.0,,No Report
2,Netherlands,European Region of WHO,South West Europe,2020,3,2020-01-13,2020-01-19,,22.0,0.0,9.0,15.0,,167.0,191.0,0.0,1.0,4.0,5.0,196.0,,No Report
3,Netherlands,European Region of WHO,South West Europe,2020,4,2020-01-20,2020-01-26,,34.0,0.0,13.0,13.0,,139.0,165.0,0.0,0.0,3.0,3.0,168.0,,No Report
4,Netherlands,European Region of WHO,South West Europe,2020,5,2020-01-27,2020-02-02,,48.0,0.0,15.0,21.0,,210.0,246.0,0.0,3.0,5.0,8.0,254.0,,No Report
5,Netherlands,European Region of WHO,South West Europe,2020,6,2020-02-03,2020-02-09,,42.0,0.0,4.0,17.0,,224.0,245.0,0.0,2.0,4.0,6.0,251.0,,No Report
6,Netherlands,European Region of WHO,South West Europe,2020,7,2020-02-10,2020-02-16,,55.0,0.0,12.0,8.0,,273.0,293.0,0.0,3.0,4.0,7.0,300.0,,No Report
7,Netherlands,European Region of WHO,South West Europe,2020,8,2020-02-17,2020-02-23,,47.0,0.0,7.0,10.0,,247.0,264.0,1.0,2.0,4.0,7.0,271.0,,No Report
8,Netherlands,European Region of WHO,South West Europe,2020,9,2020-02-24,2020-03-01,,33.0,0.0,6.0,5.0,,224.0,235.0,0.0,0.0,12.0,12.0,247.0,,No Report
9,Netherlands,European Region of WHO,South West Europe,2020,10,2020-03-02,2020-03-08,,57.0,0.0,12.0,7.0,,218.0,237.0,0.0,1.0,16.0,17.0,254.0,,No Report
