,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,New Caledonia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2020,1,2019-12-30,2020-01-05,12.0,12.0,,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,9.0,Sporadic
1,New Caledonia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2020,2,2020-01-06,2020-01-12,9.0,9.0,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,7.0,Sporadic
2,New Caledonia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2020,3,2020-01-13,2020-01-19,10.0,10.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,Sporadic
3,New Caledonia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2020,4,2020-01-20,2020-01-26,8.0,8.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,Sporadic
4,New Caledonia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2020,5,2020-01-27,2020-02-02,16.0,16.0,,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,12.0,Sporadic
5,New Caledonia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2020,6,2020-02-03,2020-02-09,20.0,20.0,,3.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,16.0,Sporadic
6,New Caledonia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2020,7,2020-02-10,2020-02-16,,,,,,,,,,,,,,,No Report
7,New Caledonia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2020,8,2020-02-17,2020-02-23,,,,,,,,,,,,,,,No Report
8,New Caledonia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2020,9,2020-02-24,2020-03-01,,,,,,,,,,,,,,,No Report
9,New Caledonia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2020,10,2020-03-02,2020-03-08,,,,,,,,,,,,,,,No Report
10,New Caledonia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2020,11,2020-03-09,2020-03-15,,,,,,,,,,,,,,,No Report
11,New Caledonia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2020,12,2020-03-16,2020-03-22,,,,,,,,,,,,,,,No Report
12,New Caledonia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2020,13,2020-03-23,2020-03-29,,,,,,,,,,,,,,,No Report
13,New Caledonia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2020,14,2020-03-30,2020-04-05,,,,,,,,,,,,,,,No Report
14,New Caledonia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,1995,1,1995-01-02,1995-01-08,,,,,,,,,,,,,,,No Report
15,New Caledonia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,1995,2,1995-01-09,1995-01-15,,,,,,,,,,,,,,,No Report
16,New Caledonia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,1995,3,1995-01-16,1995-01-22,,,,,,,,,,,,,,,No Report
17,New Caledonia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,1995,4,1995-01-23,1995-01-29,,,,,,,,,,,,,,,No Report
18,New Caledonia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,1995,5,1995-01-30,1995-02-05,,,,,,,,,,,,,,,No Report
19,New Caledonia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,1995,6,1995-02-06,1995-02-12,,,,,,,,,,,,,,,No Report
20,New Caledonia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,1995,7,1995-02-13,1995-02-19,,,,,,,,,,,,,,,No Report
