Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

New Zealand,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2007,1,2007-01-01,2007-01-07,,,,,,,,,,,,,,,No Report

New Zealand,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2007,2,2007-01-08,2007-01-14,,,,,,,,,,,,,,,No Report

New Zealand,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2007,3,2007-01-15,2007-01-21,,,,,,,,,,,,,,,No Report

New Zealand,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2007,4,2007-01-22,2007-01-28,,,,,,,,,,,,,,,No Report

New Zealand,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2007,5,2007-01-29,2007-02-04,,,,,,,,,,,,,,,No Report

New Zealand,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2007,6,2007-02-05,2007-02-11,,,,,,,,,,,,,,,No Report

New Zealand,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2007,7,2007-02-12,2007-02-18,,,,,,,,,,,,,,,No Report

New Zealand,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2007,8,2007-02-19,2007-02-25,,,,,,,,,,,,,,,No Report

New Zealand,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2007,9,2007-02-26,2007-03-04,,,,,,,,,,,,,,,No Report

New Zealand,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2007,10,2007-03-05,2007-03-11,,,,,,,,,,,,,,,No Report

New Zealand,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2007,11,2007-03-12,2007-03-18,,,,,,,,,,,,,,,No Report

New Zealand,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2007,12,2007-03-19,2007-03-25,,,,,,,,,,,,,,,No Report

New Zealand,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2007,13,2007-03-26,2007-04-01,,,,,,,,,,,,,,,No Report

New Zealand,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2007,14,2007-04-02,2007-04-08,,,,,,,,,,,,,,,No Report

