Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Nicaragua,Region of the Americas of WHO,Central America and Caribbean,2019,1,2018-12-31,2019-01-06,,133,,2,,,,2,,,11,11,13,120,No Report

Nicaragua,Region of the Americas of WHO,Central America and Caribbean,2019,2,2019-01-07,2019-01-13,,149,,1,,,,1,,,10,10,11,138,No Report

Nicaragua,Region of the Americas of WHO,Central America and Caribbean,2019,3,2019-01-14,2019-01-20,,134,,1,,,,1,,,12,12,13,121,No Report

Nicaragua,Region of the Americas of WHO,Central America and Caribbean,2019,4,2019-01-21,2019-01-27,,112,,1,,,,1,,,1,1,2,110,No Report

Nicaragua,Region of the Americas of WHO,Central America and Caribbean,2019,5,2019-01-28,2019-02-03,,114,,,1,,,1,,,4,4,5,109,No Report

Nicaragua,Region of the Americas of WHO,Central America and Caribbean,2019,6,2019-02-04,2019-02-10,,110,,,,,,0,,,6,6,6,104,No Report

Nicaragua,Region of the Americas of WHO,Central America and Caribbean,2019,7,2019-02-11,2019-02-17,,137,,,,,,0,,,0,0,0,137,No Report

Nicaragua,Region of the Americas of WHO,Central America and Caribbean,2019,8,2019-02-18,2019-02-24,,131,,,,,,0,,,5,5,5,126,No Report

Nicaragua,Region of the Americas of WHO,Central America and Caribbean,2019,9,2019-02-25,2019-03-03,,133,,,,,,0,,,1,1,1,132,No Report

Nicaragua,Region of the Americas of WHO,Central America and Caribbean,2019,10,2019-03-04,2019-03-10,,122,,,,,,0,,,0,0,0,122,No Report

Nicaragua,Region of the Americas of WHO,Central America and Caribbean,2019,11,2019-03-11,2019-03-17,,113,,,,,,0,,,1,1,1,112,No Report

Nicaragua,Region of the Americas of WHO,Central America and Caribbean,2019,12,2019-03-18,2019-03-24,,110,,,,,,0,,,0,0,0,110,No Report

Nicaragua,Region of the Americas of WHO,Central America and Caribbean,2019,13,2019-03-25,2019-03-31,,126,,,,,,0,,,1,1,1,125,No Report

