Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Niger,African Region of WHO,Western Africa,2010,1,2010-01-04,2010-01-10,1,1,,0,0,0,0,0,0,0,0,0,0,1,No Report

Niger,African Region of WHO,Western Africa,2010,2,2010-01-11,2010-01-17,3,3,,0,0,0,0,0,0,0,0,0,0,3,No Report

Niger,African Region of WHO,Western Africa,2010,3,2010-01-18,2010-01-24,3,3,,0,2,0,0,2,0,0,0,0,2,1,No Report

Niger,African Region of WHO,Western Africa,2010,4,2010-01-25,2010-01-31,5,5,,0,3,0,0,3,0,0,0,0,3,2,No Report

Niger,African Region of WHO,Western Africa,2010,5,2010-02-01,2010-02-07,4,4,,4,0,0,0,4,0,0,0,0,4,,No Report

Niger,African Region of WHO,Western Africa,2010,6,2010-02-08,2010-02-14,15,15,,6,0,0,0,6,0,0,0,0,6,9,No Report

Niger,African Region of WHO,Western Africa,2010,7,2010-02-15,2010-02-21,27,27,,4,0,0,0,4,0,0,1,1,5,22,No Report

Niger,African Region of WHO,Western Africa,2010,8,2010-02-22,2010-02-28,41,41,,10,0,0,0,10,0,0,1,1,11,30,No Report

Niger,African Region of WHO,Western Africa,2010,9,2010-03-01,2010-03-07,37,37,,6,0,0,0,6,0,0,1,1,7,30,No Report

Niger,African Region of WHO,Western Africa,2010,10,2010-03-08,2010-03-14,37,37,,5,0,0,0,5,0,3,0,3,8,29,No Report

Niger,African Region of WHO,Western Africa,2010,11,2010-03-15,2010-03-21,34,34,,5,0,0,0,5,0,4,0,4,9,25,No Report

Niger,African Region of WHO,Western Africa,2010,12,2010-03-22,2010-03-28,41,41,,6,0,0,0,6,0,0,1,1,7,34,No Report

Niger,African Region of WHO,Western Africa,2010,13,2010-03-29,2010-04-04,34,34,,3,0,0,0,3,0,0,0,0,3,31,No Report

Niger,African Region of WHO,Western Africa,2010,14,2010-04-05,2010-04-11,13,13,,1,1,0,0,2,0,1,0,1,3,10,No Report

Niger,African Region of WHO,Western Africa,2010,15,2010-04-12,2010-04-18,11,11,,0,0,0,0,0,0,0,0,0,0,11,No Report

Niger,African Region of WHO,Western Africa,2010,16,2010-04-19,2010-04-25,4,4,,0,0,0,0,0,0,0,0,0,0,4,No Report

Niger,African Region of WHO,Western Africa,2010,17,2010-04-26,2010-05-02,5,5,,0,0,0,0,0,0,0,0,0,0,5,No Report

Niger,African Region of WHO,Western Africa,2010,18,2010-05-03,2010-05-09,3,3,,0,0,0,0,0,0,0,0,0,0,3,No Report

Niger,African Region of WHO,Western Africa,2010,19,2010-05-10,2010-05-16,1,1,,0,0,0,0,0,0,0,0,0,0,1,No Report

Niger,African Region of WHO,Western Africa,2010,20,2010-05-17,2010-05-23,0,0,,0,0,0,0,0,0,0,0,0,0,,No Report

Niger,African Region of WHO,Western Africa,2010,21,2010-05-24,2010-05-30,4,4,,0,0,0,0,0,0,0,0,0,0,4,No Report

Niger,African Region of WHO,Western Africa,2010,22,2010-05-31,2010-06-06,2,2,,0,0,0,0,0,0,0,0,0,0,2,No Report

Niger,African Region of WHO,Western Africa,2010,23,2010-06-07,2010-06-13,0,0,,0,0,0,0,0,0,0,0,0,0,,No Report

Niger,African Region of WHO,Western Africa,2010,24,2010-06-14,2010-06-20,2,2,,0,0,0,0,0,0,0,0,0,0,2,No Report

Niger,African Region of WHO,Western Africa,2010,25,2010-06-21,2010-06-27,4,4,,0,0,0,0,0,0,0,0,0,0,4,No Report

Niger,African Region of WHO,Western Africa,2010,26,2010-06-28,2010-07-04,1,1,,0,0,0,0,0,0,0,0,0,0,1,No Report

