Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Nigeria,African Region of WHO,Western Africa,2013,1,2012-12-31,2013-01-06,14,14,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Nigeria,African Region of WHO,Western Africa,2013,2,2013-01-07,2013-01-13,42,42,0,1,0,0,0,1,0,0,2,2,3,,Sporadic

Nigeria,African Region of WHO,Western Africa,2013,3,2013-01-14,2013-01-20,30,29,0,6,0,0,0,6,0,0,1,1,7,,Sporadic

Nigeria,African Region of WHO,Western Africa,2013,4,2013-01-21,2013-01-27,38,38,0,0,0,0,0,0,0,0,2,2,2,,Sporadic

Nigeria,African Region of WHO,Western Africa,2013,5,2013-01-28,2013-02-03,35,35,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Nigeria,African Region of WHO,Western Africa,2013,6,2013-02-04,2013-02-10,38,38,0,1,0,0,0,1,0,0,0,0,1,,Sporadic

Nigeria,African Region of WHO,Western Africa,2013,7,2013-02-11,2013-02-17,60,58,0,0,0,0,0,0,0,0,3,3,3,,Sporadic

Nigeria,African Region of WHO,Western Africa,2013,8,2013-02-18,2013-02-24,37,37,0,8,0,0,0,8,0,0,1,1,9,,Sporadic

Nigeria,African Region of WHO,Western Africa,2013,9,2013-02-25,2013-03-03,55,51,0,1,0,0,0,1,0,0,2,2,3,,Sporadic

Nigeria,African Region of WHO,Western Africa,2013,10,2013-03-04,2013-03-10,43,38,0,3,0,0,0,3,0,0,6,6,9,,Sporadic

Nigeria,African Region of WHO,Western Africa,2013,11,2013-03-11,2013-03-17,50,49,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Nigeria,African Region of WHO,Western Africa,2013,12,2013-03-18,2013-03-24,47,45,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Nigeria,African Region of WHO,Western Africa,2013,13,2013-03-25,2013-03-31,50,48,0,0,0,0,0,0,0,0,1,1,1,,Sporadic

Nigeria,African Region of WHO,Western Africa,2013,14,2013-04-01,2013-04-07,42,41,0,0,0,0,0,0,0,0,1,1,1,,Sporadic

Nigeria,African Region of WHO,Western Africa,2013,15,2013-04-08,2013-04-14,48,47,0,0,0,0,0,0,0,0,1,1,1,,Sporadic

