Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Norway,European Region of WHO,Northern Europe,2013,1,2012-12-31,2013-01-06,,3976,0,474,31,,586,1091,49,2,218,269,1360,,Widespread Outbreak

Norway,European Region of WHO,Northern Europe,2013,2,2013-01-07,2013-01-13,,5551,0,718,29,,484,1231,42,4,209,255,1486,,Widespread Outbreak

Norway,European Region of WHO,Northern Europe,2013,3,2013-01-14,2013-01-20,,3758,0,442,24,,345,811,48,2,116,166,977,,Widespread Outbreak

Norway,European Region of WHO,Northern Europe,2013,4,2013-01-21,2013-01-27,,3546,0,458,21,,332,811,43,3,171,217,1028,,Widespread Outbreak

Norway,European Region of WHO,Northern Europe,2013,5,2013-01-28,2013-02-03,,3330,0,474,32,,257,763,46,3,213,262,1025,,Widespread Outbreak

Norway,European Region of WHO,Northern Europe,2013,6,2013-02-04,2013-02-10,,2748,0,343,11,,278,632,43,3,304,350,982,,Widespread Outbreak

Norway,European Region of WHO,Northern Europe,2013,7,2013-02-11,2013-02-17,,2949,0,241,27,,223,491,51,0,364,415,906,,Widespread Outbreak

Norway,European Region of WHO,Northern Europe,2013,8,2013-02-18,2013-02-24,,2710,0,180,24,,169,373,36,2,392,430,803,,Widespread Outbreak

Norway,European Region of WHO,Northern Europe,2013,9,2013-02-25,2013-03-03,,2610,0,109,31,,158,298,50,3,337,390,688,,Widespread Outbreak

Norway,European Region of WHO,Northern Europe,2013,10,2013-03-04,2013-03-10,,2286,0,77,26,,116,219,50,1,293,344,563,,Widespread Outbreak

Norway,European Region of WHO,Northern Europe,2013,11,2013-03-11,2013-03-17,,2165,0,59,18,,106,183,38,0,311,349,532,,Regional Outbreak

Norway,European Region of WHO,Northern Europe,2013,12,2013-03-18,2013-03-24,,2181,0,43,15,,77,135,31,1,330,362,497,,Regional Outbreak

Norway,European Region of WHO,Northern Europe,2013,13,2013-03-25,2013-03-31,,1289,0,19,11,,45,75,31,1,152,184,259,,Regional Outbreak

Norway,European Region of WHO,Northern Europe,2013,14,2013-04-01,2013-04-07,,1531,0,19,10,,54,83,34,0,148,182,265,,Local Outbreak

Norway,European Region of WHO,Northern Europe,2013,15,2013-04-08,2013-04-14,,1636,0,14,13,,39,66,38,0,128,166,232,,Local Outbreak

Norway,European Region of WHO,Northern Europe,2013,16,2013-04-15,2013-04-21,,1342,0,16,8,,30,54,31,2,87,120,174,,Local Outbreak

Norway,European Region of WHO,Northern Europe,2013,17,2013-04-22,2013-04-28,,1358,0,4,4,,18,26,22,2,61,85,111,,Local Outbreak

Norway,European Region of WHO,Northern Europe,2013,18,2013-04-29,2013-05-05,,1160,0,3,2,,9,14,13,1,34,48,62,,Local Outbreak

Norway,European Region of WHO,Northern Europe,2013,19,2013-05-06,2013-05-12,,1057,0,5,6,,10,21,15,0,17,32,53,,Sporadic

Norway,European Region of WHO,Northern Europe,2013,20,2013-05-13,2013-05-19,,797,0,1,1,,5,7,4,0,9,13,20,,Sporadic

Norway,European Region of WHO,Northern Europe,2013,21,2013-05-20,2013-05-26,,422,0,0,0,,1,1,5,0,4,9,10,,Sporadic

Norway,European Region of WHO,Northern Europe,2013,22,2013-05-27,2013-06-02,,186,0,0,1,,0,1,2,0,2,4,5,,Sporadic

Norway,European Region of WHO,Northern Europe,2013,23,2013-06-03,2013-06-09,,264,0,1,0,,1,2,1,0,2,3,5,,Sporadic

Norway,European Region of WHO,Northern Europe,2013,24,2013-06-10,2013-06-16,,95,0,0,0,,1,1,0,0,1,1,2,,Sporadic

Norway,European Region of WHO,Northern Europe,2013,25,2013-06-17,2013-06-23,,188,0,0,0,,0,0,0,1,1,2,2,,Sporadic

Norway,European Region of WHO,Northern Europe,2013,26,2013-06-24,2013-06-30,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Norway,European Region of WHO,Northern Europe,2013,27,2013-07-01,2013-07-07,,2,0,0,0,,0,0,0,0,0,0,0,,No Report

Norway,European Region of WHO,Northern Europe,2013,28,2013-07-08,2013-07-14,,3,0,0,0,,0,0,0,0,0,0,0,,No Report

Norway,European Region of WHO,Northern Europe,2013,29,2013-07-15,2013-07-21,,77,0,1,0,,0,1,0,1,0,1,2,,No Report

Norway,European Region of WHO,Northern Europe,2013,30,2013-07-22,2013-07-28,,208,0,3,0,,0,3,0,0,1,1,4,,No Report

Norway,European Region of WHO,Northern Europe,2013,31,2013-07-29,2013-08-04,,1,0,0,1,,0,1,0,0,0,0,1,,No Report

Norway,European Region of WHO,Northern Europe,2013,32,2013-08-05,2013-08-11,,71,0,0,1,,0,1,0,2,0,2,3,,Sporadic

Norway,European Region of WHO,Northern Europe,2013,33,2013-08-12,2013-08-18,,89,0,0,0,,0,0,0,0,1,1,1,,Sporadic

Norway,European Region of WHO,Northern Europe,2013,34,2013-08-19,2013-08-25,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

