Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Oman,Eastern Mediterranean Region of WHO,Western Asia,2011,1,2011-01-03,2011-01-09,133,133,0,15,0,0,3,18,0,0,17,17,35,,No Report

Oman,Eastern Mediterranean Region of WHO,Western Asia,2011,2,2011-01-10,2011-01-16,112,112,0,13,0,0,3,16,0,0,21,21,37,,No Report

Oman,Eastern Mediterranean Region of WHO,Western Asia,2011,3,2011-01-17,2011-01-23,157,157,0,23,0,0,10,33,0,0,15,15,48,,No Report

Oman,Eastern Mediterranean Region of WHO,Western Asia,2011,4,2011-01-24,2011-01-30,183,183,0,16,0,0,6,22,0,0,18,18,40,,No Report

Oman,Eastern Mediterranean Region of WHO,Western Asia,2011,5,2011-01-31,2011-02-06,237,237,0,10,0,0,10,20,0,0,37,37,57,,No Report

Oman,Eastern Mediterranean Region of WHO,Western Asia,2011,6,2011-02-07,2011-02-13,160,160,0,5,1,0,4,10,0,0,15,15,25,,No Report

Oman,Eastern Mediterranean Region of WHO,Western Asia,2011,7,2011-02-14,2011-02-20,95,95,0,4,1,0,9,14,0,0,3,3,17,,No Report

Oman,Eastern Mediterranean Region of WHO,Western Asia,2011,8,2011-02-21,2011-02-27,87,87,0,4,1,0,12,17,0,0,5,5,22,,No Report

Oman,Eastern Mediterranean Region of WHO,Western Asia,2011,9,2011-02-28,2011-03-06,79,79,0,4,0,0,11,15,0,0,4,4,19,,No Report

Oman,Eastern Mediterranean Region of WHO,Western Asia,2011,10,2011-03-07,2011-03-13,100,100,0,5,0,0,6,11,0,0,8,8,19,,No Report

Oman,Eastern Mediterranean Region of WHO,Western Asia,2011,11,2011-03-14,2011-03-20,88,88,0,3,0,0,12,15,0,0,7,7,22,,No Report

Oman,Eastern Mediterranean Region of WHO,Western Asia,2011,12,2011-03-21,2011-03-27,96,96,0,8,0,0,7,15,0,0,10,10,25,,No Report

Oman,Eastern Mediterranean Region of WHO,Western Asia,2011,13,2011-03-28,2011-04-03,60,60,0,4,0,0,2,6,0,0,9,9,15,,No Report

Oman,Eastern Mediterranean Region of WHO,Western Asia,2011,14,2011-04-04,2011-04-10,59,59,0,1,1,0,2,4,0,0,0,0,4,,No Report

Oman,Eastern Mediterranean Region of WHO,Western Asia,2011,15,2011-04-11,2011-04-17,86,86,0,4,1,0,4,9,0,0,4,4,13,,No Report

Oman,Eastern Mediterranean Region of WHO,Western Asia,2011,16,2011-04-18,2011-04-24,39,39,0,0,0,0,0,0,0,0,0,0,0,,No Report

Oman,Eastern Mediterranean Region of WHO,Western Asia,2011,17,2011-04-25,2011-05-01,64,64,0,2,0,0,1,3,0,0,1,1,4,,No Report

Oman,Eastern Mediterranean Region of WHO,Western Asia,2011,18,2011-05-02,2011-05-08,21,21,0,1,0,0,0,1,0,0,0,0,1,,No Report

Oman,Eastern Mediterranean Region of WHO,Western Asia,2011,19,2011-05-09,2011-05-15,38,28,0,1,0,0,0,1,0,0,0,0,1,,No Report

Oman,Eastern Mediterranean Region of WHO,Western Asia,2011,20,2011-05-16,2011-05-22,36,36,0,0,0,0,0,0,0,0,0,0,0,,No Report
