,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Oman,Eastern Mediterranean Region of WHO,Western Asia,2020,1,2019-12-30,2020-01-05,93.0,83.0,,6.0,15.0,0.0,0.0,21.0,0.0,2.0,0.0,2.0,23.0,6.0,No Report
1,Oman,Eastern Mediterranean Region of WHO,Western Asia,2020,2,2020-01-06,2020-01-12,65.0,63.0,,4.0,6.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,11.0,53.0,No Report
2,Oman,Eastern Mediterranean Region of WHO,Western Asia,2020,3,2020-01-13,2020-01-19,93.0,85.0,,8.0,5.0,0.0,0.0,13.0,0.0,3.0,0.0,3.0,16.0,72.0,No Report
3,Oman,Eastern Mediterranean Region of WHO,Western Asia,2020,4,2020-01-20,2020-01-26,123.0,118.0,,13.0,0.0,0.0,0.0,13.0,0.0,0.0,4.0,4.0,17.0,101.0,No Report
4,Oman,Eastern Mediterranean Region of WHO,Western Asia,2020,5,2020-01-27,2020-02-02,110.0,108.0,,14.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,91.0,No Report
5,Oman,Eastern Mediterranean Region of WHO,Western Asia,2020,6,2020-02-03,2020-02-09,100.0,79.0,,11.0,4.0,0.0,0.0,15.0,0.0,0.0,2.0,2.0,17.0,81.0,No Report
6,Oman,Eastern Mediterranean Region of WHO,Western Asia,2020,7,2020-02-10,2020-02-16,86.0,84.0,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,70.0,No Report
7,Oman,Eastern Mediterranean Region of WHO,Western Asia,2020,8,2020-02-17,2020-02-23,108.0,106.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,97.0,No Report
8,Oman,Eastern Mediterranean Region of WHO,Western Asia,2020,9,2020-02-24,2020-03-01,,,,,,,,,,,,,,,No Report
9,Oman,Eastern Mediterranean Region of WHO,Western Asia,2020,10,2020-03-02,2020-03-08,,,,,,,,,,,,,,,No Report
10,Oman,Eastern Mediterranean Region of WHO,Western Asia,2020,11,2020-03-09,2020-03-15,,,,,,,,,,,,,,,No Report
11,Oman,Eastern Mediterranean Region of WHO,Western Asia,2020,12,2020-03-16,2020-03-22,,,,,,,,,,,,,,,No Report
12,Oman,Eastern Mediterranean Region of WHO,Western Asia,2020,13,2020-03-23,2020-03-29,,,,,,,,,,,,,,,No Report
13,Oman,Eastern Mediterranean Region of WHO,Western Asia,2020,14,2020-03-30,2020-04-05,,,,,,,,,,,,,,,No Report
14,Oman,Eastern Mediterranean Region of WHO,Western Asia,1995,1,1995-01-02,1995-01-08,,,,,,,,,,,,,,,No Report
15,Oman,Eastern Mediterranean Region of WHO,Western Asia,1995,2,1995-01-09,1995-01-15,,,,,,,,,,,,,,,No Report
16,Oman,Eastern Mediterranean Region of WHO,Western Asia,1995,3,1995-01-16,1995-01-22,,,,,,,,,,,,,,,No Report
17,Oman,Eastern Mediterranean Region of WHO,Western Asia,1995,4,1995-01-23,1995-01-29,,,,,,,,,,,,,,,No Report
18,Oman,Eastern Mediterranean Region of WHO,Western Asia,1995,5,1995-01-30,1995-02-05,,,,,,,,,,,,,,,No Report
19,Oman,Eastern Mediterranean Region of WHO,Western Asia,1995,6,1995-02-06,1995-02-12,,,,,,,,,,,,,,,No Report
20,Oman,Eastern Mediterranean Region of WHO,Western Asia,1995,7,1995-02-13,1995-02-19,,,,,,,,,,,,,,,No Report
21,Oman,Eastern Mediterranean Region of WHO,Western Asia,1995,8,1995-02-20,1995-02-26,,,,,,,,,,,,,,,No Report
22,Oman,Eastern Mediterranean Region of WHO,Western Asia,1995,9,1995-02-27,1995-03-05,,,,,,,,,,,,,,,No Report
23,Oman,Eastern Mediterranean Region of WHO,Western Asia,1995,10,1995-03-06,1995-03-12,,,,,,,,,,,,,,,No Report
24,Oman,Eastern Mediterranean Region of WHO,Western Asia,1995,11,1995-03-13,1995-03-19,,,,,,,,,,,,,,,No Report
25,Oman,Eastern Mediterranean Region of WHO,Western Asia,1995,12,1995-03-20,1995-03-26,,,,,,,,,,,,,,,No Report
26,Oman,Eastern Mediterranean Region of WHO,Western Asia,1995,13,1995-03-27,1995-04-02,,,,,,,,,,,,,,,No Report
27,Oman,Eastern Mediterranean Region of WHO,Western Asia,1995,14,1995-04-03,1995-04-09,,,,,,,,,,,,,,,No Report
28,Oman,Eastern Mediterranean Region of WHO,Western Asia,1995,15,1995-04-10,1995-04-16,,,,,,,,,,,,,,,No Report
29,Oman,Eastern Mediterranean Region of WHO,Western Asia,1995,16,1995-04-17,1995-04-23,,,,,,,,,,,,,,,No Report
30,Oman,Eastern Mediterranean Region of WHO,Western Asia,1995,17,1995-04-24,1995-04-30,,,,,,,,,,,,,,,No Report
31,Oman,Eastern Mediterranean Region of WHO,Western Asia,1995,18,1995-05-01,1995-05-07,,,,,,,,,,,,,,,No Report
32,Oman,Eastern Mediterranean Region of WHO,Western Asia,1995,19,1995-05-08,1995-05-14,,,,,,,,,,,,,,,No Report
33,Oman,Eastern Mediterranean Region of WHO,Western Asia,1995,20,1995-05-15,1995-05-21,,,,,,,,,,,,,,,No Report
34,Oman,Eastern Mediterranean Region of WHO,Western Asia,1995,21,1995-05-22,1995-05-28,,,,,,,,,,,,,,,No Report
35,Oman,Eastern Mediterranean Region of WHO,Western Asia,1995,22,1995-05-29,1995-06-04,,,,,,,,,,,,,,,No Report
36,Oman,Eastern Mediterranean Region of WHO,Western Asia,1995,23,1995-06-05,1995-06-11,,,,,,,,,,,,,,,No Report
37,Oman,Eastern Mediterranean Region of WHO,Western Asia,1995,24,1995-06-12,1995-06-18,,,,,,,,,,,,,,,No Report
38,Oman,Eastern Mediterranean Region of WHO,Western Asia,1995,25,1995-06-19,1995-06-25,,,,,,,,,,,,,,,No Report
