Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,1,2017-01-02,2017-01-08,,62,0,0,6,,0,6,0,0,0,0,6,56,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,2,2017-01-09,2017-01-15,,54,0,0,3,,0,3,0,0,0,0,3,51,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,3,2017-01-16,2017-01-22,,48,0,0,1,,0,1,0,0,0,0,1,47,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,4,2017-01-23,2017-01-29,,46,0,0,2,,0,2,0,0,0,0,2,44,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,5,2017-01-30,2017-02-05,,49,0,0,0,,0,0,0,0,0,0,0,49,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,6,2017-02-06,2017-02-12,,32,0,1,0,,0,1,0,0,0,0,1,31,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,7,2017-02-13,2017-02-19,,33,0,0,0,,0,0,0,0,0,0,0,33,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,8,2017-02-20,2017-02-26,,32,0,0,0,,0,0,0,0,0,0,0,32,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,9,2017-02-27,2017-03-05,,31,0,0,0,,0,0,0,0,0,0,0,31,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,10,2017-03-06,2017-03-12,,47,0,0,0,,0,0,0,0,0,0,0,47,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,11,2017-03-13,2017-03-19,,57,0,0,0,,0,0,0,0,0,0,0,57,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,12,2017-03-20,2017-03-26,,46,0,0,0,,0,0,0,0,0,0,0,46,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,13,2017-03-27,2017-04-02,,49,0,0,0,,0,0,0,0,0,0,0,49,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,14,2017-04-03,2017-04-09,,50,0,0,0,,0,0,0,0,0,0,0,50,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,15,2017-04-10,2017-04-16,,42,0,0,0,,0,0,0,0,0,0,0,42,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,16,2017-04-17,2017-04-23,,48,0,0,0,,0,0,0,0,0,0,0,48,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,17,2017-04-24,2017-04-30,,51,0,0,2,,0,2,1,0,0,1,3,48,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,18,2017-05-01,2017-05-07,,55,0,0,0,,0,0,0,1,0,1,1,54,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,19,2017-05-08,2017-05-14,,50,0,0,0,,0,0,1,2,0,3,3,47,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,20,2017-05-15,2017-05-21,,66,0,1,1,,0,2,0,0,0,0,2,64,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,21,2017-05-22,2017-05-28,,54,0,0,1,,0,1,5,3,0,8,9,45,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,22,2017-05-29,2017-06-04,,63,0,0,0,,0,0,8,1,0,9,9,54,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,23,2017-06-05,2017-06-11,,70,0,0,2,,0,2,8,2,0,10,12,58,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,24,2017-06-12,2017-06-18,,62,0,0,2,,0,2,4,5,0,9,11,51,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,25,2017-06-19,2017-06-25,,29,0,0,0,,0,0,3,4,0,7,7,22,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,26,2017-06-26,2017-07-02,,62,0,0,2,,0,2,6,7,0,13,15,47,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,27,2017-07-03,2017-07-09,,77,0,0,1,,0,1,3,8,0,11,12,65,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,28,2017-07-10,2017-07-16,,67,0,0,2,,0,2,4,9,0,13,15,52,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,29,2017-07-17,2017-07-23,,73,0,0,3,,0,3,3,6,0,9,12,61,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,30,2017-07-24,2017-07-30,,87,0,0,8,,0,8,2,3,0,5,13,74,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,31,2017-07-31,2017-08-06,,121,0,0,4,,0,4,2,7,0,9,13,108,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,32,2017-08-07,2017-08-13,,81,0,0,8,,0,8,0,8,0,8,16,65,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,33,2017-08-14,2017-08-20,,94,0,0,6,,0,6,4,4,0,8,14,80,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,34,2017-08-21,2017-08-27,,87,0,0,5,,0,5,0,2,0,2,7,80,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,35,2017-08-28,2017-09-03,,109,0,0,6,,0,6,0,4,0,4,10,99,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,36,2017-09-04,2017-09-10,,107,0,0,4,,0,4,1,0,0,1,5,102,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,37,2017-09-11,2017-09-17,,133,0,0,4,,0,4,0,0,0,0,4,129,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,38,2017-09-18,2017-09-24,,111,0,0,4,,0,4,0,1,0,1,5,106,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,39,2017-09-25,2017-10-01,,101,0,0,5,,0,5,0,2,0,2,7,94,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,40,2017-10-02,2017-10-08,,109,0,0,3,,0,3,0,0,0,0,3,106,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,41,2017-10-09,2017-10-15,,118,0,0,7,,0,7,0,0,0,0,7,111,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,42,2017-10-16,2017-10-22,,111,0,0,3,,0,3,0,0,0,0,3,108,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,43,2017-10-23,2017-10-29,,114,0,0,8,,0,8,0,1,0,1,9,105,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,44,2017-10-30,2017-11-05,,85,0,0,3,,0,3,1,1,0,2,5,80,No Report

Panama,Region of the Americas of WHO,Central America and Caribbean,2017,45,2017-11-06,2017-11-12,,89,0,0,3,,0,3,0,1,0,1,4,85,No Report

