Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Papua New Guinea,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2015,1,2014-12-29,2015-01-04,,,,,,,,,,,,,,,No Report

Papua New Guinea,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2015,2,2015-01-05,2015-01-11,8,8,0,0,0,0,0,0,0,0,0,0,0,8,No Report

Papua New Guinea,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2015,3,2015-01-12,2015-01-18,12,12,0,1,1,0,0,2,0,0,0,0,2,10,No Report

Papua New Guinea,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2015,4,2015-01-19,2015-01-25,22,22,0,0,0,0,0,0,1,0,0,1,1,21,No Report

Papua New Guinea,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2015,5,2015-01-26,2015-02-01,8,8,0,0,0,0,0,0,0,0,0,0,0,8,No Report

Papua New Guinea,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2015,6,2015-02-02,2015-02-08,9,9,0,0,0,0,0,0,0,0,0,0,0,9,No Report

Papua New Guinea,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2015,7,2015-02-09,2015-02-15,11,11,0,0,0,0,0,0,0,0,0,0,0,11,No Report

Papua New Guinea,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2015,8,2015-02-16,2015-02-22,9,9,0,0,0,0,0,0,1,0,0,1,1,8,No Report

Papua New Guinea,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2015,9,2015-02-23,2015-03-01,8,8,0,0,0,0,0,0,0,0,0,0,0,8,No Report

Papua New Guinea,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2015,10,2015-03-02,2015-03-08,8,8,0,0,0,0,0,0,1,0,0,1,1,7,No Report

Papua New Guinea,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2015,11,2015-03-09,2015-03-15,10,10,0,0,1,0,0,1,0,0,0,0,1,9,No Report

Papua New Guinea,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2015,12,2015-03-16,2015-03-22,9,9,0,0,0,0,0,0,0,0,0,0,0,9,No Report

Papua New Guinea,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2015,13,2015-03-23,2015-03-29,5,5,0,0,0,0,0,0,0,0,0,0,0,5,No Report

Papua New Guinea,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2015,14,2015-03-30,2015-04-05,22,22,0,0,0,0,0,0,1,0,0,1,1,21,No Report

Papua New Guinea,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2015,15,2015-04-06,2015-04-12,17,17,0,0,2,0,0,2,1,0,0,1,3,13,No Report

Papua New Guinea,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2015,16,2015-04-13,2015-04-19,39,39,0,0,4,0,0,4,2,0,0,2,6,33,No Report

Papua New Guinea,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2015,17,2015-04-20,2015-04-26,17,17,0,0,0,0,0,0,2,0,0,2,2,15,No Report

Papua New Guinea,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2015,18,2015-04-27,2015-05-03,33,33,0,0,1,0,0,1,1,0,0,1,2,31,No Report

Papua New Guinea,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2015,19,2015-05-04,2015-05-10,22,22,0,0,2,0,0,2,2,0,0,2,4,18,No Report

Papua New Guinea,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2015,20,2015-05-11,2015-05-17,28,28,0,0,5,0,0,5,0,0,0,0,5,23,No Report

Papua New Guinea,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2015,21,2015-05-18,2015-05-24,25,25,0,0,1,0,0,1,0,0,0,0,1,24,No Report

Papua New Guinea,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2015,22,2015-05-25,2015-05-31,25,25,0,0,1,0,0,1,1,0,0,1,2,23,No Report

