Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Paraguay,Region of the Americas of WHO,Temperate South America,2005,1,2005-01-03,2005-01-09,,5,0,,0,,0,0,,,0,0,0,5,No Activity

Paraguay,Region of the Americas of WHO,Temperate South America,2005,2,2005-01-10,2005-01-16,,6,,,,,,0,,,1,1,1,5,Sporadic

Paraguay,Region of the Americas of WHO,Temperate South America,2005,3,2005-01-17,2005-01-23,,7,0,,0,,0,0,,,0,0,0,7,No Activity

Paraguay,Region of the Americas of WHO,Temperate South America,2005,4,2005-01-24,2005-01-30,,3,0,,0,,0,0,,,0,0,0,3,No Activity

Paraguay,Region of the Americas of WHO,Temperate South America,2005,5,2005-01-31,2005-02-06,,3,0,,0,,0,0,,,0,0,0,3,No Activity

Paraguay,Region of the Americas of WHO,Temperate South America,2005,6,2005-02-07,2005-02-13,,4,0,,0,,0,0,,,0,0,0,4,No Activity

Paraguay,Region of the Americas of WHO,Temperate South America,2005,7,2005-02-14,2005-02-20,,10,0,,0,,0,0,,,0,0,0,10,No Activity

Paraguay,Region of the Americas of WHO,Temperate South America,2005,8,2005-02-21,2005-02-27,,3,,,,,2,2,,,0,0,2,1,Sporadic

Paraguay,Region of the Americas of WHO,Temperate South America,2005,9,2005-02-28,2005-03-06,,4,0,,0,,0,0,,,0,0,0,4,No Activity

Paraguay,Region of the Americas of WHO,Temperate South America,2005,10,2005-03-07,2005-03-13,,2,0,,0,,0,0,,,0,0,0,2,No Activity

Paraguay,Region of the Americas of WHO,Temperate South America,2005,11,2005-03-14,2005-03-20,,3,0,,0,,0,0,,,0,0,0,3,No Activity

