Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Peru,Region of the Americas of WHO,Tropical South America,2012,1,2012-01-02,2012-01-08,31,5,0,0,2,0,0,2,0,0,0,0,2,3,Sporadic

Peru,Region of the Americas of WHO,Tropical South America,2012,2,2012-01-09,2012-01-15,91,68,0,0,5,0,3,8,0,0,2,2,10,58,Sporadic

Peru,Region of the Americas of WHO,Tropical South America,2012,3,2012-01-16,2012-01-22,51,58,0,0,2,0,1,3,0,0,0,0,3,55,Sporadic

Peru,Region of the Americas of WHO,Tropical South America,2012,4,2012-01-23,2012-01-29,47,64,0,0,1,0,2,3,0,0,1,1,4,60,Sporadic

Peru,Region of the Americas of WHO,Tropical South America,2012,5,2012-01-30,2012-02-05,40,63,0,0,3,0,0,3,0,0,2,2,5,58,Sporadic

Peru,Region of the Americas of WHO,Tropical South America,2012,6,2012-02-06,2012-02-12,68,44,0,0,2,0,0,2,0,0,0,0,2,42,Sporadic

Peru,Region of the Americas of WHO,Tropical South America,2012,7,2012-02-13,2012-02-19,24,52,0,0,1,0,3,4,0,0,0,0,4,48,Sporadic

Peru,Region of the Americas of WHO,Tropical South America,2012,8,2012-02-20,2012-02-26,53,51,0,0,2,0,2,4,0,0,0,0,4,47,Sporadic

Peru,Region of the Americas of WHO,Tropical South America,2012,9,2012-02-27,2012-03-04,36,60,0,0,0,0,0,0,0,0,0,0,0,60,Sporadic

Peru,Region of the Americas of WHO,Tropical South America,2012,10,2012-03-05,2012-03-11,54,66,0,2,3,0,2,7,0,0,0,0,7,59,Sporadic

Peru,Region of the Americas of WHO,Tropical South America,2012,11,2012-03-12,2012-03-18,54,77,0,1,8,0,2,11,0,0,0,0,11,66,Sporadic

Peru,Region of the Americas of WHO,Tropical South America,2012,12,2012-03-19,2012-03-25,53,72,0,0,11,0,5,16,0,0,0,0,16,56,Sporadic

Peru,Region of the Americas of WHO,Tropical South America,2012,13,2012-03-26,2012-04-01,88,82,0,0,10,0,3,13,0,0,2,2,15,67,Sporadic

