Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Peru,Region of the Americas of WHO,Tropical South America,2013,1,2012-12-31,2013-01-06,,28,0,0,4,,0,4,,,0,0,4,24,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,2,2013-01-07,2013-01-13,,45,0,1,2,,0,3,,,0,0,3,42,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,3,2013-01-14,2013-01-20,,52,0,0,9,,0,9,,,0,0,9,43,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,4,2013-01-21,2013-01-27,,38,0,0,2,,0,2,,,1,1,3,35,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,5,2013-01-28,2013-02-03,,45,0,1,5,,0,6,,,1,1,7,38,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,6,2013-02-04,2013-02-10,,47,0,0,5,,0,5,,,0,0,5,42,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,7,2013-02-11,2013-02-17,,50,0,4,0,,0,4,,,1,1,5,45,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,8,2013-02-18,2013-02-24,,47,0,0,3,,0,3,,,0,0,3,44,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,9,2013-02-25,2013-03-03,,59,0,0,9,,0,9,,,0,0,9,50,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,10,2013-03-04,2013-03-10,,43,0,0,1,,0,1,,,0,0,1,42,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,11,2013-03-11,2013-03-17,,51,0,0,6,,0,6,,,0,0,6,45,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,12,2013-03-18,2013-03-24,,64,0,0,7,,0,7,,,0,0,7,57,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,13,2013-03-25,2013-03-31,,55,0,0,1,,0,1,,,0,0,1,54,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,14,2013-04-01,2013-04-07,,85,0,0,2,,0,2,,,0,0,2,83,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,15,2013-04-08,2013-04-14,,67,0,0,4,,0,4,,,0,0,4,63,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,16,2013-04-15,2013-04-21,,96,0,6,2,,0,8,,,0,0,8,88,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,17,2013-04-22,2013-04-28,,82,0,0,4,,0,4,,,0,0,4,78,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,18,2013-04-29,2013-05-05,,85,0,1,2,,0,3,,,0,0,3,82,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,19,2013-05-06,2013-05-12,,87,0,1,3,,0,4,,,0,0,4,83,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,20,2013-05-13,2013-05-19,,98,0,1,5,,0,6,,,0,0,6,92,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,21,2013-05-20,2013-05-26,,67,0,1,1,,0,2,,,0,0,2,65,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,22,2013-05-27,2013-06-02,,71,0,1,4,,0,5,,,0,0,5,66,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,23,2013-06-03,2013-06-09,,41,0,1,1,,0,2,,,0,0,2,39,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,24,2013-06-10,2013-06-16,,85,0,6,0,,0,6,,,0,0,6,79,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,25,2013-06-17,2013-06-23,,87,0,7,5,,0,12,,,0,0,12,75,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,26,2013-06-24,2013-06-30,,66,0,5,2,,0,7,,,1,1,8,58,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,27,2013-07-01,2013-07-07,,119,0,22,2,,0,24,,,1,1,25,94,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,28,2013-07-08,2013-07-14,,141,0,42,1,,0,43,,,1,1,44,97,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,29,2013-07-15,2013-07-21,,556,0,167,25,,0,192,,,21,21,213,343,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,30,2013-07-22,2013-07-28,,649,0,260,13,,0,273,,,28,28,301,348,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,31,2013-07-29,2013-08-04,,592,0,212,23,,0,235,0,0,31,31,266,326,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,32,2013-08-05,2013-08-11,,673,0,215,16,,0,231,0,0,29,29,260,413,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,33,2013-08-12,2013-08-18,,623,0,142,6,,0,148,0,0,44,44,192,431,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,34,2013-08-19,2013-08-25,,470,0,88,5,,0,93,0,0,22,22,115,355,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,35,2013-08-26,2013-09-01,,322,0,56,5,,0,61,0,0,18,18,79,243,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,36,2013-09-02,2013-09-08,,267,0,44,0,,0,44,0,0,23,23,67,200,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,37,2013-09-09,2013-09-15,,227,0,32,0,,0,32,0,0,20,20,52,175,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,38,2013-09-16,2013-09-22,,168,0,19,1,,0,20,0,0,8,8,28,140,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,39,2013-09-23,2013-09-29,,98,0,13,0,,0,13,0,0,6,6,19,79,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,40,2013-09-30,2013-10-06,,73,0,7,0,,0,7,0,0,4,4,11,62,No Report

Peru,Region of the Americas of WHO,Tropical South America,2013,41,2013-10-07,2013-10-13,,65,0,6,0,,0,6,0,0,3,3,9,56,No Report

