,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Peru,Region of the Americas of WHO,Tropical South America,1995,1,1995-01-02,1995-01-08,,,,,,,,,,,,,,,No Report
1,Peru,Region of the Americas of WHO,Tropical South America,1995,2,1995-01-09,1995-01-15,,,,,,,,,,,,,,,No Report
2,Peru,Region of the Americas of WHO,Tropical South America,1995,3,1995-01-16,1995-01-22,,,,,,,,,,,,,,,No Report
3,Peru,Region of the Americas of WHO,Tropical South America,1995,4,1995-01-23,1995-01-29,,,,,,,,,,,,,,,No Report
4,Peru,Region of the Americas of WHO,Tropical South America,1995,5,1995-01-30,1995-02-05,,,,,,,,,,,,,,,No Report
5,Peru,Region of the Americas of WHO,Tropical South America,1995,6,1995-02-06,1995-02-12,,,,,,,,,,,,,,,No Report
6,Peru,Region of the Americas of WHO,Tropical South America,1995,7,1995-02-13,1995-02-19,,,,,,,,,,,,,,,No Report
7,Peru,Region of the Americas of WHO,Tropical South America,1995,8,1995-02-20,1995-02-26,,,,,,,,,,,,,,,No Report
8,Peru,Region of the Americas of WHO,Tropical South America,1995,9,1995-02-27,1995-03-05,,,,,,,,,,,,,,,No Report
9,Peru,Region of the Americas of WHO,Tropical South America,1995,10,1995-03-06,1995-03-12,,,,,,,,,,,,,,,No Report
10,Peru,Region of the Americas of WHO,Tropical South America,1995,11,1995-03-13,1995-03-19,,,,,,,,,,,,,,,No Report
11,Peru,Region of the Americas of WHO,Tropical South America,1995,12,1995-03-20,1995-03-26,,,,,,,,,,,,,,,No Report
12,Peru,Region of the Americas of WHO,Tropical South America,1995,13,1995-03-27,1995-04-02,,,,,,,,,,,,,,,No Report
13,Peru,Region of the Americas of WHO,Tropical South America,1995,14,1995-04-03,1995-04-09,,,,,,,,,,,,,,,No Report
14,Peru,Region of the Americas of WHO,Tropical South America,1995,15,1995-04-10,1995-04-16,,,,,,,,,,,,,,,No Report
15,Peru,Region of the Americas of WHO,Tropical South America,1995,16,1995-04-17,1995-04-23,,,,,,,,,,,,,,,No Report
16,Peru,Region of the Americas of WHO,Tropical South America,1995,17,1995-04-24,1995-04-30,,,,,,,,,,,,,,,No Report
17,Peru,Region of the Americas of WHO,Tropical South America,1995,18,1995-05-01,1995-05-07,,,,,,,,,,,,,,,No Report
18,Peru,Region of the Americas of WHO,Tropical South America,1995,19,1995-05-08,1995-05-14,,,,,,,,,,,,,,,No Report
19,Peru,Region of the Americas of WHO,Tropical South America,1995,20,1995-05-15,1995-05-21,,,,,,,,,,,,,,,No Report
20,Peru,Region of the Americas of WHO,Tropical South America,1995,21,1995-05-22,1995-05-28,,,,,,,,,,,,,,,No Report
21,Peru,Region of the Americas of WHO,Tropical South America,1995,22,1995-05-29,1995-06-04,,,,,,,,,,,,,,,No Report
22,Peru,Region of the Americas of WHO,Tropical South America,1995,23,1995-06-05,1995-06-11,,,,,,,,,,,,,,,No Report
23,Peru,Region of the Americas of WHO,Tropical South America,1995,24,1995-06-12,1995-06-18,,,,,,,,,,,,,,,No Report
24,Peru,Region of the Americas of WHO,Tropical South America,1995,25,1995-06-19,1995-06-25,,,,,,,,,,,,,,,No Report
25,Peru,Region of the Americas of WHO,Tropical South America,1995,26,1995-06-26,1995-07-02,,,,,,,,,,,,,,,No Report
26,Peru,Region of the Americas of WHO,Tropical South America,1995,27,1995-07-03,1995-07-09,,,,,,,,,,,,,,,No Report
27,Peru,Region of the Americas of WHO,Tropical South America,1995,28,1995-07-10,1995-07-16,,,,,,,,,,,,,,,No Report
28,Peru,Region of the Americas of WHO,Tropical South America,1995,29,1995-07-17,1995-07-23,,,,,,,,,,,,,,,No Report
29,Peru,Region of the Americas of WHO,Tropical South America,1995,30,1995-07-24,1995-07-30,,,,,,,,,,,,,,,No Report
30,Peru,Region of the Americas of WHO,Tropical South America,1995,31,1995-07-31,1995-08-06,,,,,,,,,,,,,,,No Report
31,Peru,Region of the Americas of WHO,Tropical South America,1995,32,1995-08-07,1995-08-13,,,,,,,,,,,,,,,No Report
32,Peru,Region of the Americas of WHO,Tropical South America,1995,33,1995-08-14,1995-08-20,,,,,,,,,,,,,,,No Report
33,Peru,Region of the Americas of WHO,Tropical South America,1995,34,1995-08-21,1995-08-27,,,,,,,,,,,,,,,No Report
34,Peru,Region of the Americas of WHO,Tropical South America,1995,35,1995-08-28,1995-09-03,,,,,,,,,,,,,,,No Report
35,Peru,Region of the Americas of WHO,Tropical South America,1995,36,1995-09-04,1995-09-10,,,,,,,,,,,,,,,No Report
36,Peru,Region of the Americas of WHO,Tropical South America,1995,37,1995-09-11,1995-09-17,,,,,,,,,,,,,,,No Report
37,Peru,Region of the Americas of WHO,Tropical South America,1995,38,1995-09-18,1995-09-24,,,,,,,,,,,,,,,No Report
38,Peru,Region of the Americas of WHO,Tropical South America,1995,39,1995-09-25,1995-10-01,,,,,,,,,,,,,,,No Report
39,Peru,Region of the Americas of WHO,Tropical South America,1995,40,1995-10-02,1995-10-08,,,,,,,,,,,,,,,No Report
40,Peru,Region of the Americas of WHO,Tropical South America,1995,41,1995-10-09,1995-10-15,,,,,,,,,,,,,,,No Report
41,Peru,Region of the Americas of WHO,Tropical South America,1995,42,1995-10-16,1995-10-22,,,,,,,,,,,,,,,No Report
42,Peru,Region of the Americas of WHO,Tropical South America,1995,43,1995-10-23,1995-10-29,,,,,,,,,,,,,,,No Report
43,Peru,Region of the Americas of WHO,Tropical South America,1995,44,1995-10-30,1995-11-05,,,,,,,,,,,,,,,No Report
44,Peru,Region of the Americas of WHO,Tropical South America,1995,45,1995-11-06,1995-11-12,,,,,,,,,,,,,,,No Report
45,Peru,Region of the Americas of WHO,Tropical South America,1995,46,1995-11-13,1995-11-19,,,,,,,,,,,,,,,No Report
46,Peru,Region of the Americas of WHO,Tropical South America,1995,47,1995-11-20,1995-11-26,,,,,,,,,,,,,,,No Report
47,Peru,Region of the Americas of WHO,Tropical South America,1995,48,1995-11-27,1995-12-03,,,,,,,,,,,,,,,No Report
48,Peru,Region of the Americas of WHO,Tropical South America,1995,49,1995-12-04,1995-12-10,,,,,,,,,,,,,,,No Report
49,Peru,Region of the Americas of WHO,Tropical South America,1995,50,1995-12-11,1995-12-17,,,,,,,,,,,,,,,No Report
50,Peru,Region of the Americas of WHO,Tropical South America,1995,51,1995-12-18,1995-12-24,,,,,,,,,,,,,,,No Report
51,Peru,Region of the Americas of WHO,Tropical South America,1995,52,1995-12-25,1995-12-31,,,,,,,,,,,,,,,No Report
52,Peru,Region of the Americas of WHO,Tropical South America,1995,1,1995-01-02,1995-01-08,,,,,,,,,,,,,,,No Report
53,Peru,Region of the Americas of WHO,Tropical South America,1995,2,1995-01-09,1995-01-15,,,,,,,,,,,,,,,No Report
54,Peru,Region of the Americas of WHO,Tropical South America,1995,3,1995-01-16,1995-01-22,,,,,,,,,,,,,,,No Report
55,Peru,Region of the Americas of WHO,Tropical South America,1995,4,1995-01-23,1995-01-29,,,,,,,,,,,,,,,No Report
56,Peru,Region of the Americas of WHO,Tropical South America,1995,5,1995-01-30,1995-02-05,,,,,,,,,,,,,,,No Report
57,Peru,Region of the Americas of WHO,Tropical South America,1995,6,1995-02-06,1995-02-12,,,,,,,,,,,,,,,No Report
58,Peru,Region of the Americas of WHO,Tropical South America,1995,7,1995-02-13,1995-02-19,,,,,,,,,,,,,,,No Report
59,Peru,Region of the Americas of WHO,Tropical South America,1995,8,1995-02-20,1995-02-26,,,,,,,,,,,,,,,No Report
60,Peru,Region of the Americas of WHO,Tropical South America,1995,9,1995-02-27,1995-03-05,,,,,,,,,,,,,,,No Report
61,Peru,Region of the Americas of WHO,Tropical South America,1995,10,1995-03-06,1995-03-12,,,,,,,,,,,,,,,No Report
62,Peru,Region of the Americas of WHO,Tropical South America,1995,11,1995-03-13,1995-03-19,,,,,,,,,,,,,,,No Report
63,Peru,Region of the Americas of WHO,Tropical South America,1995,12,1995-03-20,1995-03-26,,,,,,,,,,,,,,,No Report
64,Peru,Region of the Americas of WHO,Tropical South America,1995,13,1995-03-27,1995-04-02,,,,,,,,,,,,,,,No Report
65,Peru,Region of the Americas of WHO,Tropical South America,1995,14,1995-04-03,1995-04-09,,,,,,,,,,,,,,,No Report
66,Peru,Region of the Americas of WHO,Tropical South America,1995,15,1995-04-10,1995-04-16,,,,,,,,,,,,,,,No Report
67,Peru,Region of the Americas of WHO,Tropical South America,1995,16,1995-04-17,1995-04-23,,,,,,,,,,,,,,,No Report
68,Peru,Region of the Americas of WHO,Tropical South America,1995,17,1995-04-24,1995-04-30,,,,,,,,,,,,,,,No Report
69,Peru,Region of the Americas of WHO,Tropical South America,1995,18,1995-05-01,1995-05-07,,,,,,,,,,,,,,,No Report
70,Peru,Region of the Americas of WHO,Tropical South America,1995,19,1995-05-08,1995-05-14,,,,,,,,,,,,,,,No Report
71,Peru,Region of the Americas of WHO,Tropical South America,1995,20,1995-05-15,1995-05-21,,,,,,,,,,,,,,,No Report
72,Peru,Region of the Americas of WHO,Tropical South America,1995,21,1995-05-22,1995-05-28,,,,,,,,,,,,,,,No Report
73,Peru,Region of the Americas of WHO,Tropical South America,1995,22,1995-05-29,1995-06-04,,,,,,,,,,,,,,,No Report
74,Peru,Region of the Americas of WHO,Tropical South America,1995,23,1995-06-05,1995-06-11,,,,,,,,,,,,,,,No Report
75,Peru,Region of the Americas of WHO,Tropical South America,1995,24,1995-06-12,1995-06-18,,,,,,,,,,,,,,,No Report
76,Peru,Region of the Americas of WHO,Tropical South America,1995,25,1995-06-19,1995-06-25,,,,,,,,,,,,,,,No Report
77,Peru,Region of the Americas of WHO,Tropical South America,1995,26,1995-06-26,1995-07-02,,,,,,,,,,,,,,,No Report
78,Peru,Region of the Americas of WHO,Tropical South America,1995,27,1995-07-03,1995-07-09,,,,,,,,,,,,,,,No Report
79,Peru,Region of the Americas of WHO,Tropical South America,1995,28,1995-07-10,1995-07-16,,,,,,,,,,,,,,,No Report
80,Peru,Region of the Americas of WHO,Tropical South America,1995,29,1995-07-17,1995-07-23,,,,,,,,,,,,,,,No Report
81,Peru,Region of the Americas of WHO,Tropical South America,1995,30,1995-07-24,1995-07-30,,,,,,,,,,,,,,,No Report
82,Peru,Region of the Americas of WHO,Tropical South America,1995,31,1995-07-31,1995-08-06,,,,,,,,,,,,,,,No Report
83,Peru,Region of the Americas of WHO,Tropical South America,1995,32,1995-08-07,1995-08-13,,,,,,,,,,,,,,,No Report
84,Peru,Region of the Americas of WHO,Tropical South America,1995,33,1995-08-14,1995-08-20,,,,,,,,,,,,,,,No Report
85,Peru,Region of the Americas of WHO,Tropical South America,1995,34,1995-08-21,1995-08-27,,,,,,,,,,,,,,,No Report
86,Peru,Region of the Americas of WHO,Tropical South America,1995,35,1995-08-28,1995-09-03,,,,,,,,,,,,,,,No Report
87,Peru,Region of the Americas of WHO,Tropical South America,1995,36,1995-09-04,1995-09-10,,,,,,,,,,,,,,,No Report
88,Peru,Region of the Americas of WHO,Tropical South America,1995,37,1995-09-11,1995-09-17,,,,,,,,,,,,,,,No Report
89,Peru,Region of the Americas of WHO,Tropical South America,1995,38,1995-09-18,1995-09-24,,,,,,,,,,,,,,,No Report
90,Peru,Region of the Americas of WHO,Tropical South America,1995,39,1995-09-25,1995-10-01,,,,,,,,,,,,,,,No Report
91,Peru,Region of the Americas of WHO,Tropical South America,1995,40,1995-10-02,1995-10-08,,,,,,,,,,,,,,,No Report
92,Peru,Region of the Americas of WHO,Tropical South America,1995,41,1995-10-09,1995-10-15,,,,,,,,,,,,,,,No Report
93,Peru,Region of the Americas of WHO,Tropical South America,1995,42,1995-10-16,1995-10-22,,,,,,,,,,,,,,,No Report
