Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Philippines,Western Pacific Region of WHO,South-East Asia,2010,1,2010-01-04,2010-01-10,234,234,0,2,0,0,3,5,3,0,1,4,9,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,2,2010-01-11,2010-01-17,203,203,0,4,0,0,2,6,7,0,4,11,17,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,3,2010-01-18,2010-01-24,209,209,0,1,0,0,0,1,1,0,1,2,3,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,4,2010-01-25,2010-01-31,242,242,0,2,0,0,0,2,2,0,2,4,6,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,5,2010-02-01,2010-02-07,208,208,0,10,0,0,0,10,5,0,1,6,16,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,6,2010-02-08,2010-02-14,255,255,0,8,0,0,0,8,30,0,5,35,43,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,7,2010-02-15,2010-02-21,208,208,0,15,0,0,0,15,5,0,0,5,20,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,8,2010-02-22,2010-02-28,217,217,0,6,0,0,1,7,3,0,3,6,13,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,9,2010-03-01,2010-03-07,211,211,0,0,0,0,1,1,3,0,2,5,6,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,10,2010-03-08,2010-03-14,216,216,0,8,0,0,0,8,6,0,1,7,15,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,11,2010-03-15,2010-03-21,155,155,0,2,0,0,0,2,4,0,3,7,9,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,12,2010-03-22,2010-03-28,155,155,0,4,0,0,0,4,6,0,0,6,10,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,13,2010-03-29,2010-04-04,106,106,0,6,0,0,0,6,3,0,0,3,9,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,14,2010-04-05,2010-04-11,150,150,0,5,0,0,1,6,9,0,0,9,15,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,15,2010-04-12,2010-04-18,131,131,0,2,0,0,0,2,6,0,0,6,8,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,16,2010-04-19,2010-04-25,145,145,0,3,0,0,0,3,4,0,1,5,8,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,17,2010-04-26,2010-05-02,121,121,0,1,0,0,0,1,2,0,0,2,3,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,18,2010-05-03,2010-05-09,76,76,0,0,0,0,0,0,2,0,0,2,2,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,19,2010-05-10,2010-05-16,96,96,0,3,0,0,0,3,0,0,0,0,3,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,20,2010-05-17,2010-05-23,134,134,0,11,1,0,0,12,0,0,1,1,13,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,21,2010-05-24,2010-05-30,138,138,0,5,0,0,0,5,2,0,0,2,7,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,22,2010-05-31,2010-06-06,113,113,0,7,0,0,0,7,2,0,1,3,10,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,23,2010-06-07,2010-06-13,142,142,0,4,1,0,0,5,5,0,3,8,13,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,24,2010-06-14,2010-06-20,147,147,0,12,0,0,0,12,8,0,2,10,22,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,25,2010-06-21,2010-06-27,204,204,0,17,1,0,0,18,8,0,2,10,28,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,26,2010-06-28,2010-07-04,224,224,0,30,2,0,1,33,12,0,3,15,48,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,27,2010-07-05,2010-07-11,286,286,0,32,2,0,6,40,11,0,4,15,55,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,28,2010-07-12,2010-07-18,318,318,0,53,0,0,4,57,16,0,5,21,78,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,29,2010-07-19,2010-07-25,331,331,0,31,5,0,14,50,17,0,7,24,74,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,30,2010-07-26,2010-08-01,349,349,0,54,3,0,18,75,21,0,18,39,114,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,31,2010-08-02,2010-08-08,335,335,0,34,10,0,16,60,17,0,15,32,92,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,32,2010-08-09,2010-08-15,401,401,0,32,13,0,33,78,14,0,24,38,116,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,33,2010-08-16,2010-08-22,428,428,0,23,32,0,26,81,36,0,31,67,148,,Sporadic

Philippines,Western Pacific Region of WHO,South-East Asia,2010,34,2010-08-23,2010-08-29,455,455,0,36,11,0,42,89,35,0,50,85,174,,Sporadic

