Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Poland,European Region of WHO,Eastern Europe,2010,1,2010-01-04,2010-01-10,251,251,0,59,0,0,9,68,0,0,0,0,68,,Local Outbreak

Poland,European Region of WHO,Eastern Europe,2010,2,2010-01-11,2010-01-17,159,159,0,22,0,0,5,27,0,0,1,1,28,,Local Outbreak

Poland,European Region of WHO,Eastern Europe,2010,3,2010-01-18,2010-01-24,113,113,0,7,0,0,1,8,0,0,2,2,10,,Sporadic

Poland,European Region of WHO,Eastern Europe,2010,4,2010-01-25,2010-01-31,87,87,0,5,0,0,1,6,0,0,0,0,6,,Sporadic

Poland,European Region of WHO,Eastern Europe,2010,5,2010-02-01,2010-02-07,73,73,0,7,0,0,0,7,0,0,0,0,7,,Sporadic

Poland,European Region of WHO,Eastern Europe,2010,6,2010-02-08,2010-02-14,64,64,0,1,0,0,2,3,0,0,1,1,4,,Sporadic

Poland,European Region of WHO,Eastern Europe,2010,7,2010-02-15,2010-02-21,36,36,0,1,0,0,1,2,0,0,2,2,4,,Sporadic

Poland,European Region of WHO,Eastern Europe,2010,8,2010-02-22,2010-02-28,44,44,0,3,0,0,3,6,0,0,1,1,7,,Sporadic

Poland,European Region of WHO,Eastern Europe,2010,9,2010-03-01,2010-03-07,46,46,0,0,0,0,3,3,0,0,2,2,5,,Sporadic

Poland,European Region of WHO,Eastern Europe,2010,10,2010-03-08,2010-03-14,53,53,0,1,0,0,3,4,0,0,0,0,4,,Sporadic

Poland,European Region of WHO,Eastern Europe,2010,11,2010-03-15,2010-03-21,36,36,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,12,2010-03-22,2010-03-28,44,44,1,0,0,0,3,4,0,0,0,0,4,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,13,2010-03-29,2010-04-04,38,38,0,0,0,0,0,0,0,0,1,1,1,,Sporadic

Poland,European Region of WHO,Eastern Europe,2010,14,2010-04-05,2010-04-11,13,13,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,15,2010-04-12,2010-04-18,38,38,0,0,0,0,6,6,0,0,0,0,6,,Sporadic

Poland,European Region of WHO,Eastern Europe,2010,16,2010-04-19,2010-04-25,19,19,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,17,2010-04-26,2010-05-02,15,15,0,0,0,0,1,1,0,0,0,0,1,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,18,2010-05-03,2010-05-09,12,12,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,19,2010-05-10,2010-05-16,18,18,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,20,2010-05-17,2010-05-23,10,10,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,21,2010-05-24,2010-05-30,14,14,0,1,0,0,0,1,0,0,0,0,1,,Sporadic

Poland,European Region of WHO,Eastern Europe,2010,22,2010-05-31,2010-06-06,4,4,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,23,2010-06-07,2010-06-13,3,3,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,24,2010-06-14,2010-06-20,10,10,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,25,2010-06-21,2010-06-27,9,9,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,26,2010-06-28,2010-07-04,6,6,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,27,2010-07-05,2010-07-11,6,6,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,28,2010-07-12,2010-07-18,9,9,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,29,2010-07-19,2010-07-25,1,1,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,30,2010-07-26,2010-08-01,2,2,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,31,2010-08-02,2010-08-08,5,5,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,32,2010-08-09,2010-08-15,6,6,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,33,2010-08-16,2010-08-22,1,1,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,34,2010-08-23,2010-08-29,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,35,2010-08-30,2010-09-05,1,1,0,1,0,0,0,1,0,0,0,0,1,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,36,2010-09-06,2010-09-12,8,8,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,37,2010-09-13,2010-09-19,11,11,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,38,2010-09-20,2010-09-26,11,11,0,0,0,0,1,1,0,0,0,0,1,,Sporadic

Poland,European Region of WHO,Eastern Europe,2010,39,2010-09-27,2010-10-03,17,17,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,40,2010-10-04,2010-10-10,13,13,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,41,2010-10-11,2010-10-17,13,13,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,42,2010-10-18,2010-10-24,23,23,0,0,0,0,1,1,0,0,0,0,1,,Sporadic

Poland,European Region of WHO,Eastern Europe,2010,43,2010-10-25,2010-10-31,44,43,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,44,2010-11-01,2010-11-07,15,15,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,45,2010-11-08,2010-11-14,22,22,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,46,2010-11-15,2010-11-21,43,43,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,47,2010-11-22,2010-11-28,47,47,0,0,0,0,0,0,0,0,1,1,1,,Sporadic

Poland,European Region of WHO,Eastern Europe,2010,48,2010-11-29,2010-12-05,46,46,0,0,0,0,3,3,0,0,0,0,3,,Sporadic

Poland,European Region of WHO,Eastern Europe,2010,49,2010-12-06,2010-12-12,43,43,0,0,0,0,3,3,0,0,0,0,3,,Sporadic

Poland,European Region of WHO,Eastern Europe,2010,50,2010-12-13,2010-12-19,37,37,0,2,0,0,0,2,0,0,1,1,3,,Sporadic

Poland,European Region of WHO,Eastern Europe,2010,51,2010-12-20,2010-12-26,28,28,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Poland,European Region of WHO,Eastern Europe,2010,52,2010-12-27,2011-01-02,39,39,0,2,0,0,1,3,0,0,0,0,3,,Sporadic


