Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Portugal,European Region of WHO,South West Europe,2014,1,2013-12-30,2014-01-05,,167,0,40,10,,16,66,0,0,0,0,66,,Widespread Outbreak

Portugal,European Region of WHO,South West Europe,2014,2,2014-01-06,2014-01-12,,251,0,64,20,,22,106,0,0,0,0,106,,Widespread Outbreak

Portugal,European Region of WHO,South West Europe,2014,3,2014-01-13,2014-01-19,,396,0,116,42,,37,195,0,0,0,0,195,,Widespread Outbreak

Portugal,European Region of WHO,South West Europe,2014,4,2014-01-20,2014-01-26,,595,0,148,59,,49,256,1,1,0,2,258,,Widespread Outbreak

Portugal,European Region of WHO,South West Europe,2014,5,2014-01-27,2014-02-02,,515,0,117,40,,56,213,0,0,0,0,213,,Widespread Outbreak

Portugal,European Region of WHO,South West Europe,2014,6,2014-02-03,2014-02-09,,443,0,70,33,,42,145,0,0,1,1,146,,Widespread Outbreak

Portugal,European Region of WHO,South West Europe,2014,7,2014-02-10,2014-02-16,,323,0,50,21,,12,83,0,0,1,1,84,,Widespread Outbreak

Portugal,European Region of WHO,South West Europe,2014,8,2014-02-17,2014-02-23,,270,0,26,15,,14,55,0,0,1,1,56,,Widespread Outbreak

Portugal,European Region of WHO,South West Europe,2014,9,2014-02-24,2014-03-02,,209,0,7,10,,16,33,1,0,1,2,35,,Sporadic

Portugal,European Region of WHO,South West Europe,2014,10,2014-03-03,2014-03-09,,180,0,9,5,,16,30,0,0,1,1,31,,Sporadic

Portugal,European Region of WHO,South West Europe,2014,11,2014-03-10,2014-03-16,,129,0,4,2,,5,11,0,0,2,2,13,,Sporadic

Portugal,European Region of WHO,South West Europe,2014,12,2014-03-17,2014-03-23,,110,0,5,2,,4,11,1,0,2,3,14,,Sporadic

Portugal,European Region of WHO,South West Europe,2014,13,2014-03-24,2014-03-30,,95,0,1,0,,3,4,0,0,0,0,4,,Sporadic

Portugal,European Region of WHO,South West Europe,2014,14,2014-03-31,2014-04-06,,84,0,0,3,,3,6,1,0,1,2,8,,Sporadic

Portugal,European Region of WHO,South West Europe,2014,15,2014-04-07,2014-04-13,,71,0,0,1,,0,1,1,0,1,2,3,,Sporadic

Portugal,European Region of WHO,South West Europe,2014,16,2014-04-14,2014-04-20,,38,0,0,0,,0,0,0,0,0,0,0,,No Activity

Portugal,European Region of WHO,South West Europe,2014,17,2014-04-21,2014-04-27,,26,0,0,0,,0,0,0,0,1,1,1,,No Activity

Portugal,European Region of WHO,South West Europe,2014,18,2014-04-28,2014-05-04,,30,0,0,0,,0,0,0,0,1,1,1,,No Activity

Portugal,European Region of WHO,South West Europe,2014,19,2014-05-05,2014-05-11,,28,0,0,0,,0,0,0,0,0,0,0,,No Activity

Portugal,European Region of WHO,South West Europe,2014,20,2014-05-12,2014-05-18,,14,0,0,0,,0,0,0,0,1,1,1,,No Activity

Portugal,European Region of WHO,South West Europe,2014,21,2014-05-19,2014-05-25,,5,0,0,0,,0,0,0,0,0,0,0,,No Activity

Portugal,European Region of WHO,South West Europe,2014,22,2014-05-26,2014-06-01,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Portugal,European Region of WHO,South West Europe,2014,23,2014-06-02,2014-06-08,,1,0,1,0,,0,1,0,0,0,0,1,,No Report

Portugal,European Region of WHO,South West Europe,2014,24,2014-06-09,2014-06-15,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Portugal,European Region of WHO,South West Europe,2014,25,2014-06-16,2014-06-22,,,,,,,,,,,,,,,No Report

Portugal,European Region of WHO,South West Europe,2014,26,2014-06-23,2014-06-29,,,,,,,,,,,,,,,No Report

Portugal,European Region of WHO,South West Europe,2014,27,2014-06-30,2014-07-06,,,,,,,,,,,,,,,No Report

