Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Qatar,Eastern Mediterranean Region of WHO,Western Asia,2019,1,2018-12-31,2019-01-06,708,708,,9,23,0,25,57,0,0,94,94,151,557,Sporadic

Qatar,Eastern Mediterranean Region of WHO,Western Asia,2019,2,2019-01-07,2019-01-13,855,855,,7,36,0,34,77,0,0,117,117,194,661,Sporadic

Qatar,Eastern Mediterranean Region of WHO,Western Asia,2019,3,2019-01-14,2019-01-20,990,990,,8,28,0,56,92,0,0,146,146,238,752,Sporadic

Qatar,Eastern Mediterranean Region of WHO,Western Asia,2019,4,2019-01-21,2019-01-27,1020,1020,,8,8,0,70,86,0,0,136,136,222,798,Sporadic

Qatar,Eastern Mediterranean Region of WHO,Western Asia,2019,5,2019-01-28,2019-02-03,990,990,,8,6,0,56,70,0,0,136,136,206,774,Sporadic

Qatar,Eastern Mediterranean Region of WHO,Western Asia,2019,6,2019-02-04,2019-02-10,765,765,,5,6,0,38,49,0,0,106,106,155,610,Sporadic

Qatar,Eastern Mediterranean Region of WHO,Western Asia,2019,7,2019-02-11,2019-02-17,700,700,,7,7,0,40,54,0,0,71,71,125,575,Sporadic

Qatar,Eastern Mediterranean Region of WHO,Western Asia,2019,8,2019-02-18,2019-02-24,697,697,,9,3,0,26,38,0,0,54,54,92,605,Sporadic

Qatar,Eastern Mediterranean Region of WHO,Western Asia,2019,9,2019-02-25,2019-03-03,843,843,,10,7,0,26,43,0,0,61,61,104,739,Sporadic

Qatar,Eastern Mediterranean Region of WHO,Western Asia,2019,10,2019-03-04,2019-03-10,800,800,,6,7,0,19,32,0,0,61,61,93,707,Sporadic

Qatar,Eastern Mediterranean Region of WHO,Western Asia,2019,11,2019-03-11,2019-03-17,802,802,,12,7,0,31,50,0,0,87,87,137,665,Sporadic

Qatar,Eastern Mediterranean Region of WHO,Western Asia,2019,12,2019-03-18,2019-03-24,743,743,,5,13,0,37,55,0,0,55,55,110,657,Sporadic

Qatar,Eastern Mediterranean Region of WHO,Western Asia,2019,13,2019-03-25,2019-03-31,772,772,,11,1,0,36,48,0,0,43,43,91,681,Sporadic

Qatar,Eastern Mediterranean Region of WHO,Western Asia,2019,14,2019-04-01,2019-04-07,622,622,,12,1,0,28,41,0,0,30,30,71,551,Sporadic

