Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,1,2012-12-31,2013-01-06,199,199,0,16,9,0,0,25,0,0,2,2,27,,No Report

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,2,2013-01-07,2013-01-13,296,296,0,28,30,0,0,58,0,0,0,0,58,,No Report

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,3,2013-01-14,2013-01-20,386,386,0,29,74,0,0,103,0,0,1,1,104,,No Report

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,4,2013-01-21,2013-01-27,405,405,0,32,75,0,0,107,0,0,2,2,109,,No Report

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,5,2013-01-28,2013-02-03,382,382,0,35,71,0,0,106,0,0,2,2,108,,No Report

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,6,2013-02-04,2013-02-10,389,389,0,33,94,0,0,127,0,0,2,2,129,,No Report

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,7,2013-02-11,2013-02-17,322,322,0,21,104,0,0,125,0,0,3,3,128,,No Report

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,8,2013-02-18,2013-02-24,421,421,0,17,163,0,0,180,0,0,4,4,184,,No Report

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,9,2013-02-25,2013-03-03,399,399,0,24,128,0,0,152,0,0,5,5,157,,No Report

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,10,2013-03-04,2013-03-10,349,349,0,12,99,0,0,111,0,0,5,5,116,,No Report

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,11,2013-03-11,2013-03-17,343,343,0,20,97,0,0,117,0,0,3,3,120,,No Report

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,12,2013-03-18,2013-03-24,368,368,0,9,100,0,0,109,0,0,5,5,114,,No Report

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,13,2013-03-25,2013-03-31,330,330,0,9,49,0,0,58,0,0,2,2,60,,No Report

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,14,2013-04-01,2013-04-07,344,344,0,4,56,0,0,60,0,0,3,3,63,,No Report

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,15,2013-04-08,2013-04-14,297,297,0,5,40,0,0,45,0,0,8,8,53,,No Report

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,16,2013-04-15,2013-04-21,312,312,0,7,36,0,0,43,0,0,4,4,47,,No Report

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,17,2013-04-22,2013-04-28,314,314,0,5,19,0,0,24,0,0,9,9,33,,No Report

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,18,2013-04-29,2013-05-05,289,289,0,1,12,0,0,13,0,0,5,5,18,,No Report

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,19,2013-05-06,2013-05-12,272,272,0,4,7,0,0,11,0,0,11,11,22,,No Report

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,20,2013-05-13,2013-05-19,277,277,0,0,0,0,0,0,0,0,8,8,8,,No Report

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,21,2013-05-20,2013-05-26,229,229,0,0,1,0,0,1,0,0,6,6,7,,No Report

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,22,2013-05-27,2013-06-02,239,239,0,0,0,0,0,0,0,0,0,0,0,,No Report

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,23,2013-06-03,2013-06-09,252,252,0,0,1,0,0,1,0,0,3,3,4,,No Report

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,24,2013-06-10,2013-06-16,233,233,0,1,0,0,0,1,0,0,2,2,3,,No Report

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,25,2013-06-17,2013-06-23,219,219,0,0,0,0,0,0,0,0,0,0,0,,No Report

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,26,2013-06-24,2013-06-30,248,248,0,0,0,0,0,0,0,0,0,0,0,,No Report

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,27,2013-07-01,2013-07-07,234,234,0,0,0,0,0,0,0,0,0,0,0,,No Report

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,28,2013-07-08,2013-07-14,209,209,0,0,0,0,0,0,0,0,0,0,0,,No Report

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,29,2013-07-15,2013-07-21,198,198,0,0,0,0,0,0,0,0,0,0,0,,No Report

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,30,2013-07-22,2013-07-28,216,216,0,0,0,0,0,0,0,0,0,0,0,,No Report

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,31,2013-07-29,2013-08-04,171,171,0,0,1,0,0,1,0,0,0,0,1,,No Report

Republic of Korea,Western Pacific Region of WHO,Eastern Asia,2013,32,2013-08-05,2013-08-11,196,196,0,0,0,0,0,0,0,0,0,0,0,,No Report

