Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Romania,European Region of WHO,Eastern Europe,2009,1,2008-12-29,2009-01-04,,0,0,,0,,0,0,0,0,0,0,0,,No Activity

Romania,European Region of WHO,Eastern Europe,2009,2,2009-01-05,2009-01-11,,11,0,,2,,0,2,0,0,0,0,2,,Sporadic

Romania,European Region of WHO,Eastern Europe,2009,3,2009-01-12,2009-01-18,,37,0,,9,,0,9,0,0,0,0,9,,Local Outbreak

Romania,European Region of WHO,Eastern Europe,2009,4,2009-01-19,2009-01-25,,69,0,,16,,0,16,0,0,0,0,16,,Local Outbreak

Romania,European Region of WHO,Eastern Europe,2009,5,2009-01-26,2009-02-01,,94,1,,20,,0,21,1,0,0,1,22,,Regional Outbreak

Romania,European Region of WHO,Eastern Europe,2009,6,2009-02-02,2009-02-08,,,2,,2,,0,4,0,0,0,0,4,,Regional Outbreak

Romania,European Region of WHO,Eastern Europe,2009,7,2009-02-09,2009-02-15,,122,0,,10,,0,10,0,0,0,0,10,,Regional Outbreak

Romania,European Region of WHO,Eastern Europe,2009,8,2009-02-16,2009-02-22,,99,0,,9,,0,9,0,0,3,3,12,,Regional Outbreak

Romania,European Region of WHO,Eastern Europe,2009,9,2009-02-23,2009-03-01,,87,0,,25,,0,25,0,0,1,1,26,,Regional Outbreak

Romania,European Region of WHO,Eastern Europe,2009,10,2009-03-02,2009-03-08,,144,0,,30,,0,30,0,3,0,3,33,,Regional Outbreak

Romania,European Region of WHO,Eastern Europe,2009,11,2009-03-09,2009-03-15,,122,1,,41,,0,42,0,15,0,15,57,,Regional Outbreak

Romania,European Region of WHO,Eastern Europe,2009,12,2009-03-16,2009-03-22,,65,0,,13,,0,13,0,0,14,14,27,,Regional Outbreak

Romania,European Region of WHO,Eastern Europe,2009,13,2009-03-23,2009-03-29,,57,0,,33,,0,33,0,0,4,4,37,,Regional Outbreak

Romania,European Region of WHO,Eastern Europe,2009,14,2009-03-30,2009-04-05,,32,0,,2,,0,2,0,0,11,11,13,,Local Outbreak

Romania,European Region of WHO,Eastern Europe,2009,15,2009-04-06,2009-04-12,,13,0,,0,,0,0,0,0,3,3,3,,Sporadic

Romania,European Region of WHO,Eastern Europe,2009,16,2009-04-13,2009-04-19,,11,0,,1,,0,1,0,0,7,7,8,,Sporadic

Romania,European Region of WHO,Eastern Europe,2009,17,2009-04-20,2009-04-26,,11,0,,1,,0,1,0,0,7,7,8,,Sporadic

Romania,European Region of WHO,Eastern Europe,2009,18,2009-04-27,2009-05-03,,6,0,,0,,0,0,0,0,0,0,0,,No Activity

Romania,European Region of WHO,Eastern Europe,2009,19,2009-05-04,2009-05-10,,41,0,,2,,0,2,0,0,7,7,9,,Sporadic

Romania,European Region of WHO,Eastern Europe,2009,20,2009-05-11,2009-05-17,,35,0,,0,,0,0,0,0,4,4,4,,Sporadic

Romania,European Region of WHO,Eastern Europe,2009,21,2009-05-18,2009-05-24,,19,0,,0,,0,0,0,0,0,0,0,,No Activity

Romania,European Region of WHO,Eastern Europe,2009,22,2009-05-25,2009-05-31,,31,2,,1,,0,3,0,2,0,2,5,,No Activity

Romania,European Region of WHO,Eastern Europe,2009,23,2009-06-01,2009-06-07,,14,0,,2,,0,2,0,0,0,0,2,,No Activity

Romania,European Region of WHO,Eastern Europe,2009,24,2009-06-08,2009-06-14,,16,1,,1,,0,2,0,0,0,0,2,,No Activity

Romania,European Region of WHO,Eastern Europe,2009,25,2009-06-15,2009-06-21,80,80,1,2,0,0,0,3,0,0,0,0,3,,No Activity

Romania,European Region of WHO,Eastern Europe,2009,26,2009-06-22,2009-06-28,69,69,0,7,0,0,0,7,0,0,0,0,7,,No Activity

Romania,European Region of WHO,Eastern Europe,2009,27,2009-06-29,2009-07-05,135,135,0,18,1,0,0,19,0,0,0,0,19,,Sporadic

Romania,European Region of WHO,Eastern Europe,2009,28,2009-07-06,2009-07-12,,,,,,,,,,,,,,,No Report

Romania,European Region of WHO,Eastern Europe,2009,29,2009-07-13,2009-07-19,103,103,0,13,0,0,0,13,0,0,0,0,13,,No Activity

Romania,European Region of WHO,Eastern Europe,2009,30,2009-07-20,2009-07-26,289,289,0,54,0,0,0,54,0,0,0,0,54,,No Activity

Romania,European Region of WHO,Eastern Europe,2009,31,2009-07-27,2009-08-02,339,339,0,71,0,0,0,71,0,0,0,0,71,,No Activity

Romania,European Region of WHO,Eastern Europe,2009,32,2009-08-03,2009-08-09,252,252,0,35,0,0,0,35,0,0,0,0,35,,No Activity

Romania,European Region of WHO,Eastern Europe,2009,33,2009-08-10,2009-08-16,216,216,0,37,0,0,0,37,,,0,0,37,,No Activity

