Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Romania,European Region of WHO,Eastern Europe,2018,1,2018-01-01,2018-01-07,,35,0,1,0,,7,8,0,0,5,5,13,,No Report

Romania,European Region of WHO,Eastern Europe,2018,2,2018-01-08,2018-01-14,,64,0,4,1,,2,7,0,0,12,12,19,,No Report

Romania,European Region of WHO,Eastern Europe,2018,3,2018-01-15,2018-01-21,,94,0,6,3,,8,17,0,0,29,29,46,,No Report

Romania,European Region of WHO,Eastern Europe,2018,4,2018-01-22,2018-01-28,,142,0,27,3,,5,35,0,0,57,57,92,,No Report

Romania,European Region of WHO,Eastern Europe,2018,5,2018-01-29,2018-02-04,,179,0,40,2,,3,45,0,0,97,97,142,,No Report

Romania,European Region of WHO,Eastern Europe,2018,6,2018-02-05,2018-02-11,,290,0,45,3,,5,53,0,0,139,139,192,,No Report

Romania,European Region of WHO,Eastern Europe,2018,7,2018-02-12,2018-02-18,,299,0,34,5,,9,48,0,0,147,147,195,,No Report

Romania,European Region of WHO,Eastern Europe,2018,8,2018-02-19,2018-02-25,,258,0,32,5,,9,46,0,0,123,123,169,,No Report

Romania,European Region of WHO,Eastern Europe,2018,9,2018-02-26,2018-03-04,,125,0,12,4,,1,17,0,0,56,56,73,,No Report

Romania,European Region of WHO,Eastern Europe,2018,10,2018-03-05,2018-03-11,,260,0,46,3,,9,58,0,0,110,110,168,,No Report

Romania,European Region of WHO,Eastern Europe,2018,11,2018-03-12,2018-03-18,,165,0,24,8,,6,38,0,0,55,55,93,,No Report

Romania,European Region of WHO,Eastern Europe,2018,12,2018-03-19,2018-03-25,,133,0,9,5,,7,21,0,0,26,26,47,,No Report

Romania,European Region of WHO,Eastern Europe,2018,13,2018-03-26,2018-04-01,,80,0,9,2,,9,20,0,0,13,13,33,,No Report

Romania,European Region of WHO,Eastern Europe,2018,14,2018-04-02,2018-04-08,,25,0,2,2,,6,10,0,0,4,4,14,,No Report

Romania,European Region of WHO,Eastern Europe,2018,15,2018-04-09,2018-04-15,,26,0,0,0,,3,3,0,0,1,1,4,,No Report

Romania,European Region of WHO,Eastern Europe,2018,16,2018-04-16,2018-04-22,,30,0,1,1,,1,3,0,0,6,6,9,,No Report

Romania,European Region of WHO,Eastern Europe,2018,17,2018-04-23,2018-04-29,,12,0,0,0,,1,1,0,0,0,0,1,,No Report

Romania,European Region of WHO,Eastern Europe,2018,18,2018-04-30,2018-05-06,,1,0,0,0,,0,0,0,0,0,0,0,,No Report

Romania,European Region of WHO,Eastern Europe,2018,19,2018-05-07,2018-05-13,,7,0,0,0,,0,0,0,0,0,0,0,,No Report

Romania,European Region of WHO,Eastern Europe,2018,20,2018-05-14,2018-05-20,,3,0,0,0,,0,0,0,0,0,0,0,,No Report

Romania,European Region of WHO,Eastern Europe,2018,21,2018-05-21,2018-05-27,,,,,,,,,,,,,,,No Report

Romania,European Region of WHO,Eastern Europe,2018,22,2018-05-28,2018-06-03,,,,,,,,,,,,,,,No Report

Romania,European Region of WHO,Eastern Europe,2018,23,2018-06-04,2018-06-10,,,,,,,,,,,,,,,No Report

