Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Russian Federation,European Region of WHO,Eastern Europe,2016,1,2016-01-04,2016-01-10,36,550,0,193,9,0,7,209,0,0,1,1,210,,No Report

Russian Federation,European Region of WHO,Eastern Europe,2016,2,2016-01-11,2016-01-17,66,2696,0,685,18,0,10,713,0,0,12,12,725,,No Report

Russian Federation,European Region of WHO,Eastern Europe,2016,3,2016-01-18,2016-01-24,180,5164,0,1700,43,0,97,1840,0,0,4,4,1844,,No Report

Russian Federation,European Region of WHO,Eastern Europe,2016,4,2016-01-25,2016-01-31,172,10137,0,3422,120,0,133,3675,0,0,31,31,3706,,No Report

Russian Federation,European Region of WHO,Eastern Europe,2016,5,2016-02-01,2016-02-07,178,13536,0,4160,131,0,181,4472,0,0,37,37,4509,,No Report

Russian Federation,European Region of WHO,Eastern Europe,2016,6,2016-02-08,2016-02-14,344,10392,0,2861,108,0,214,3183,0,0,22,22,3205,,No Report

Russian Federation,European Region of WHO,Eastern Europe,2016,7,2016-02-15,2016-02-21,167,7261,0,1943,72,0,85,2100,0,0,25,25,2125,,No Report

Russian Federation,European Region of WHO,Eastern Europe,2016,8,2016-02-22,2016-02-28,104,4204,0,1039,33,0,43,1115,0,0,29,29,1144,,No Report

Russian Federation,European Region of WHO,Eastern Europe,2016,9,2016-02-29,2016-03-06,33,4060,0,859,36,0,5,900,0,0,22,22,922,,No Report

Russian Federation,European Region of WHO,Eastern Europe,2016,10,2016-03-07,2016-03-13,11,3413,0,625,40,0,19,684,0,0,35,35,719,,No Report

Russian Federation,European Region of WHO,Eastern Europe,2016,11,2016-03-14,2016-03-20,135,3258,0,602,29,0,15,646,0,0,62,62,708,,No Report

Russian Federation,European Region of WHO,Eastern Europe,2016,12,2016-03-21,2016-03-27,40,2443,0,340,35,0,8,383,0,0,47,47,430,,No Report

Russian Federation,European Region of WHO,Eastern Europe,2016,13,2016-03-28,2016-04-03,35,2275,0,273,12,0,10,295,0,0,86,86,381,,No Report

