Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Saudi Arabia,Eastern Mediterranean Region of WHO,Western Asia,2018,1,2018-01-01,2018-01-07,139,138,,12,,,6,18,,,20,20,38,100,No Report

Saudi Arabia,Eastern Mediterranean Region of WHO,Western Asia,2018,2,2018-01-08,2018-01-14,107,104,,6,,,4,10,,,7,7,17,88,No Report

Saudi Arabia,Eastern Mediterranean Region of WHO,Western Asia,2018,3,2018-01-15,2018-01-21,116,116,,9,,,6,15,,,9,9,24,89,No Report

Saudi Arabia,Eastern Mediterranean Region of WHO,Western Asia,2018,4,2018-01-22,2018-01-28,113,112,,5,,,8,13,,,9,9,22,90,No Report

Saudi Arabia,Eastern Mediterranean Region of WHO,Western Asia,2018,5,2018-01-29,2018-02-04,113,110,,3,,,2,5,,,14,14,19,94,No Report

Saudi Arabia,Eastern Mediterranean Region of WHO,Western Asia,2018,6,2018-02-05,2018-02-11,171,166,,4,,,6,10,,,13,13,23,148,No Report

Saudi Arabia,Eastern Mediterranean Region of WHO,Western Asia,2018,7,2018-02-12,2018-02-18,215,214,,8,,,6,14,,,31,31,45,170,No Report

Saudi Arabia,Eastern Mediterranean Region of WHO,Western Asia,2018,8,2018-02-19,2018-02-25,146,143,,1,,,4,5,,,17,17,22,124,No Report

Saudi Arabia,Eastern Mediterranean Region of WHO,Western Asia,2018,9,2018-02-26,2018-03-04,240,233,,1,,,16,17,,,20,20,37,203,No Report

Saudi Arabia,Eastern Mediterranean Region of WHO,Western Asia,2018,10,2018-03-05,2018-03-11,256,248,,2,,,10,12,,,24,24,36,220,No Report

