Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Senegal,African Region of WHO,Western Africa,2010,1,2010-01-04,2010-01-10,117,117,0,2,0,0,0,2,0,0,0,0,2,,No Activity

Senegal,African Region of WHO,Western Africa,2010,2,2010-01-11,2010-01-17,120,120,0,1,0,0,0,1,0,0,0,0,1,,No Activity

Senegal,African Region of WHO,Western Africa,2010,3,2010-01-18,2010-01-24,119,119,0,4,0,0,0,4,0,0,0,0,4,,No Activity

Senegal,African Region of WHO,Western Africa,2010,4,2010-01-25,2010-01-31,138,138,0,5,0,0,0,5,0,0,0,0,5,,No Activity

Senegal,African Region of WHO,Western Africa,2010,5,2010-02-01,2010-02-07,114,114,0,16,2,0,0,18,0,0,0,0,18,,No Activity

Senegal,African Region of WHO,Western Africa,2010,6,2010-02-08,2010-02-14,326,326,0,102,2,0,0,104,0,0,2,2,106,,No Activity

Senegal,African Region of WHO,Western Africa,2010,7,2010-02-15,2010-02-21,162,159,0,81,0,0,0,81,0,0,0,0,81,,No Activity

Senegal,African Region of WHO,Western Africa,2010,8,2010-02-22,2010-02-28,169,168,0,97,0,0,0,97,0,0,0,0,97,,No Activity

Senegal,African Region of WHO,Western Africa,2010,9,2010-03-01,2010-03-07,65,61,0,20,0,0,0,20,0,0,0,0,20,,No Activity

Senegal,African Region of WHO,Western Africa,2010,10,2010-03-08,2010-03-14,42,42,0,9,0,0,0,9,0,0,0,0,9,,No Activity

Senegal,African Region of WHO,Western Africa,2010,11,2010-03-15,2010-03-21,65,65,0,10,0,0,0,10,0,0,0,0,10,,No Activity

Senegal,African Region of WHO,Western Africa,2010,12,2010-03-22,2010-03-28,199,199,0,24,1,0,0,25,0,0,0,0,25,,No Activity

Senegal,African Region of WHO,Western Africa,2010,13,2010-03-29,2010-04-04,23,23,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Senegal,African Region of WHO,Western Africa,2010,14,2010-04-05,2010-04-11,159,159,0,14,0,0,0,14,0,0,0,0,14,,No Activity

Senegal,African Region of WHO,Western Africa,2010,15,2010-04-12,2010-04-18,171,171,0,3,2,0,0,5,0,0,2,2,7,,No Report

Senegal,African Region of WHO,Western Africa,2010,16,2010-04-19,2010-04-25,125,125,0,0,5,0,0,5,0,0,1,1,6,,No Activity

Senegal,African Region of WHO,Western Africa,2010,17,2010-04-26,2010-05-02,97,97,0,0,0,0,0,0,0,0,1,1,1,,No Activity

Senegal,African Region of WHO,Western Africa,2010,18,2010-05-03,2010-05-09,93,93,0,3,1,0,0,4,0,0,1,1,5,,No Activity

Senegal,African Region of WHO,Western Africa,2010,19,2010-05-10,2010-05-16,95,95,0,0,0,0,0,0,0,0,5,5,5,,No Activity

Senegal,African Region of WHO,Western Africa,2010,20,2010-05-17,2010-05-23,22,22,0,0,1,0,0,1,0,0,3,3,4,,Sporadic

Senegal,African Region of WHO,Western Africa,2010,21,2010-05-24,2010-05-30,88,88,0,0,0,0,0,0,0,0,2,2,2,,No Activity

Senegal,African Region of WHO,Western Africa,2010,22,2010-05-31,2010-06-06,38,38,0,0,0,0,0,0,0,0,6,6,6,,No Activity

Senegal,African Region of WHO,Western Africa,2010,23,2010-06-07,2010-06-13,39,39,0,0,0,0,0,0,0,0,1,1,1,,No Activity

Senegal,African Region of WHO,Western Africa,2010,24,2010-06-14,2010-06-20,13,8,0,0,0,0,0,0,0,0,3,3,3,,Sporadic

Senegal,African Region of WHO,Western Africa,2010,25,2010-06-21,2010-06-27,4,4,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Senegal,African Region of WHO,Western Africa,2010,26,2010-06-28,2010-07-04,9,9,0,0,0,0,0,0,0,0,2,2,2,,Sporadic

Senegal,African Region of WHO,Western Africa,2010,27,2010-07-05,2010-07-11,22,22,0,0,0,0,0,0,0,0,9,9,9,,Sporadic

Senegal,African Region of WHO,Western Africa,2010,28,2010-07-12,2010-07-18,11,11,0,0,0,0,0,0,0,0,3,3,3,,Sporadic

