,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Senegal,African Region of WHO,Western Africa,1995,1,1995-01-02,1995-01-08,,,,,,,,,,,,,,,No Report
1,Senegal,African Region of WHO,Western Africa,1995,2,1995-01-09,1995-01-15,,,,,,,,,,,,,,,No Report
2,Senegal,African Region of WHO,Western Africa,1995,3,1995-01-16,1995-01-22,,,,,,,,,,,,,,,No Report
3,Senegal,African Region of WHO,Western Africa,1995,4,1995-01-23,1995-01-29,,,,,,,,,,,,,,,No Report
4,Senegal,African Region of WHO,Western Africa,1995,5,1995-01-30,1995-02-05,,,,,,,,,,,,,,,No Report
5,Senegal,African Region of WHO,Western Africa,1995,6,1995-02-06,1995-02-12,,,,,,,,,,,,,,,No Report
6,Senegal,African Region of WHO,Western Africa,1995,7,1995-02-13,1995-02-19,,,,,,,,,,,,,,,No Report
7,Senegal,African Region of WHO,Western Africa,1995,8,1995-02-20,1995-02-26,,,,,,,,,,,,,,,No Report
8,Senegal,African Region of WHO,Western Africa,1995,9,1995-02-27,1995-03-05,,,,,,,,,,,,,,,No Report
9,Senegal,African Region of WHO,Western Africa,1995,10,1995-03-06,1995-03-12,,,,,,,,,,,,,,,No Report
10,Senegal,African Region of WHO,Western Africa,1995,11,1995-03-13,1995-03-19,,,,,,,,,,,,,,,No Report
11,Senegal,African Region of WHO,Western Africa,1995,12,1995-03-20,1995-03-26,,,,,,,,,,,,,,,No Report
12,Senegal,African Region of WHO,Western Africa,1995,13,1995-03-27,1995-04-02,,,,,,,,,,,,,,,No Report
13,Senegal,African Region of WHO,Western Africa,1995,14,1995-04-03,1995-04-09,,,,,,,,,,,,,,,No Report
14,Senegal,African Region of WHO,Western Africa,1995,15,1995-04-10,1995-04-16,,,,,,,,,,,,,,,No Report
15,Senegal,African Region of WHO,Western Africa,1995,16,1995-04-17,1995-04-23,,,,,,,,,,,,,,,No Report
16,Senegal,African Region of WHO,Western Africa,1995,17,1995-04-24,1995-04-30,,,,,,,,,,,,,,,No Report
17,Senegal,African Region of WHO,Western Africa,1995,18,1995-05-01,1995-05-07,,,,,,,,,,,,,,,No Report
18,Senegal,African Region of WHO,Western Africa,1995,19,1995-05-08,1995-05-14,,,,,,,,,,,,,,,No Report
19,Senegal,African Region of WHO,Western Africa,1995,20,1995-05-15,1995-05-21,,,,,,,,,,,,,,,No Report
20,Senegal,African Region of WHO,Western Africa,1995,21,1995-05-22,1995-05-28,,,,,,,,,,,,,,,No Report
21,Senegal,African Region of WHO,Western Africa,1995,22,1995-05-29,1995-06-04,,,,,,,,,,,,,,,No Report
22,Senegal,African Region of WHO,Western Africa,1995,23,1995-06-05,1995-06-11,,,,,,,,,,,,,,,No Report
23,Senegal,African Region of WHO,Western Africa,1995,24,1995-06-12,1995-06-18,,,,,,,,,,,,,,,No Report
24,Senegal,African Region of WHO,Western Africa,1995,25,1995-06-19,1995-06-25,,,,,,,,,,,,,,,No Report
25,Senegal,African Region of WHO,Western Africa,1995,26,1995-06-26,1995-07-02,,,,,,,,,,,,,,,No Report
26,Senegal,African Region of WHO,Western Africa,1995,27,1995-07-03,1995-07-09,,,,,,,,,,,,,,,No Report
27,Senegal,African Region of WHO,Western Africa,1995,28,1995-07-10,1995-07-16,,,,,,,,,,,,,,,No Report
