Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Sierra Leone,African Region of WHO,Western Africa,2019,1,2018-12-31,2019-01-06,1,1,,0,0,0,0,0,,,0,0,0,1,No Report

Sierra Leone,African Region of WHO,Western Africa,2019,2,2019-01-07,2019-01-13,3,3,,0,0,0,0,0,0,0,0,0,0,3,No Report

Sierra Leone,African Region of WHO,Western Africa,2019,3,2019-01-14,2019-01-20,0,0,,0,0,0,0,0,0,0,0,0,0,,No Report

Sierra Leone,African Region of WHO,Western Africa,2019,4,2019-01-21,2019-01-27,16,16,,0,0,0,0,0,0,0,0,0,0,16,No Report

Sierra Leone,African Region of WHO,Western Africa,2019,5,2019-01-28,2019-02-03,5,5,,,,,,0,,,0,0,0,5,No Activity

Sierra Leone,African Region of WHO,Western Africa,2019,6,2019-02-04,2019-02-10,7,7,,,,,,0,,,0,0,0,7,No Activity

Sierra Leone,African Region of WHO,Western Africa,2019,7,2019-02-11,2019-02-17,12,12,,,3,,,3,,,0,0,3,7,No Activity

Sierra Leone,African Region of WHO,Western Africa,2019,8,2019-02-18,2019-02-24,11,11,,,4,,,4,,,0,0,4,7,Local Outbreak

Sierra Leone,African Region of WHO,Western Africa,2019,9,2019-02-25,2019-03-03,7,7,,,3,,,3,,,0,0,3,4,Local Outbreak

Sierra Leone,African Region of WHO,Western Africa,2019,10,2019-03-04,2019-03-10,7,7,,,2,,,2,,,0,0,2,5,No Activity

Sierra Leone,African Region of WHO,Western Africa,2019,11,2019-03-11,2019-03-17,0,0,,,,,,0,,,0,0,0,,No Report

Sierra Leone,African Region of WHO,Western Africa,2019,12,2019-03-18,2019-03-24,27,27,,,3,,,3,,,0,0,3,24,Sporadic

Sierra Leone,African Region of WHO,Western Africa,2019,13,2019-03-25,2019-03-31,11,8,,,1,,,1,,,0,0,1,10,Local Outbreak

Sierra Leone,African Region of WHO,Western Africa,2019,14,2019-04-01,2019-04-07,4,4,,,,,,0,,,0,0,0,4,No Activity

Sierra Leone,African Region of WHO,Western Africa,2019,15,2019-04-08,2019-04-14,0,0,,,,,,0,,,0,0,0,,No Report

Sierra Leone,African Region of WHO,Western Africa,2019,16,2019-04-15,2019-04-21,8,0,,,,,,0,,,0,0,0,,No Report

Sierra Leone,African Region of WHO,Western Africa,2019,17,2019-04-22,2019-04-28,4,4,,,,,,0,,,0,0,0,4,No Report

Sierra Leone,African Region of WHO,Western Africa,2019,18,2019-04-29,2019-05-05,0,0,,,,,,0,,,0,0,0,,No Report

Sierra Leone,African Region of WHO,Western Africa,2019,19,2019-05-06,2019-05-12,0,0,,,,,,0,,,0,0,0,,No Report

Sierra Leone,African Region of WHO,Western Africa,2019,20,2019-05-13,2019-05-19,13,13,,1,,,,1,,,1,1,2,11,Sporadic

Sierra Leone,African Region of WHO,Western Africa,2019,21,2019-05-20,2019-05-26,5,5,,,,,,0,,,0,0,0,5,No Activity

Sierra Leone,African Region of WHO,Western Africa,2019,22,2019-05-27,2019-06-02,0,0,,,,,,0,,,0,0,0,,No Report

Sierra Leone,African Region of WHO,Western Africa,2019,23,2019-06-03,2019-06-09,0,0,,,,,,0,,,0,0,0,,No Report

Sierra Leone,African Region of WHO,Western Africa,2019,24,2019-06-10,2019-06-16,0,0,,,,,,0,,,0,0,0,,No Report

Sierra Leone,African Region of WHO,Western Africa,2019,25,2019-06-17,2019-06-23,4,4,,,,,,0,,,0,0,0,4,No Activity

Sierra Leone,African Region of WHO,Western Africa,2019,26,2019-06-24,2019-06-30,0,0,,,,,,0,,,0,0,0,,No Report

Sierra Leone,African Region of WHO,Western Africa,2019,27,2019-07-01,2019-07-07,3,3,,,,,,0,,,0,0,0,,No Report

Sierra Leone,African Region of WHO,Western Africa,2019,28,2019-07-08,2019-07-14,2,2,,,,,,0,,,0,0,0,2,No Activity

Sierra Leone,African Region of WHO,Western Africa,2019,29,2019-07-15,2019-07-21,20,20,,,,,,0,,,2,2,2,,Sporadic

Sierra Leone,African Region of WHO,Western Africa,2019,30,2019-07-22,2019-07-28,0,0,,,,,,0,,,0,0,0,,No Report

Sierra Leone,African Region of WHO,Western Africa,2019,31,2019-07-29,2019-08-04,10,10,,,2,,,2,,,0,0,2,8,Sporadic

Sierra Leone,African Region of WHO,Western Africa,2019,32,2019-08-05,2019-08-11,0,0,,,,,,0,,,0,0,0,,No Report

Sierra Leone,African Region of WHO,Western Africa,2019,33,2019-08-12,2019-08-18,0,0,,,,,,0,,,0,0,0,,No Report

Sierra Leone,African Region of WHO,Western Africa,2019,34,2019-08-19,2019-08-25,0,0,,,,,,0,,,0,0,0,,No Report

Sierra Leone,African Region of WHO,Western Africa,2019,35,2019-08-26,2019-09-01,0,0,,,,,,0,,,0,0,0,,No Report

Sierra Leone,African Region of WHO,Western Africa,2019,36,2019-09-02,2019-09-08,0,0,,,,,,0,,,0,0,0,,No Report

Sierra Leone,African Region of WHO,Western Africa,2019,37,2019-09-09,2019-09-15,0,0,,,,,,0,,,0,0,0,,No Report

Sierra Leone,African Region of WHO,Western Africa,2019,38,2019-09-16,2019-09-22,0,0,,,,,,0,,,0,0,0,,No Report

Sierra Leone,African Region of WHO,Western Africa,2019,39,2019-09-23,2019-09-29,0,0,,,,,,0,,,0,0,0,,No Report

Sierra Leone,African Region of WHO,Western Africa,2019,40,2019-09-30,2019-10-06,0,0,,,,,,0,,,0,0,0,,No Report

Sierra Leone,African Region of WHO,Western Africa,2019,41,2019-10-07,2019-10-13,0,0,,,,,,0,,,0,0,0,,No Report

Sierra Leone,African Region of WHO,Western Africa,2019,42,2019-10-14,2019-10-20,0,0,,,,,,0,,,0,0,0,,No Report

Sierra Leone,African Region of WHO,Western Africa,2019,43,2019-10-21,2019-10-27,0,0,,,,,,0,,,0,0,0,,No Report

Sierra Leone,African Region of WHO,Western Africa,2019,44,2019-10-28,2019-11-03,0,0,,,,,,0,,,0,0,0,,No Report

