Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Singapore,Western Pacific Region of WHO,South-East Asia,2010,1,2010-01-04,2010-01-10,179,179,0,87,0,0,6,93,0,0,1,1,94,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2010,2,2010-01-11,2010-01-17,359,359,0,165,3,0,14,182,0,0,2,2,184,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2010,3,2010-01-18,2010-01-24,225,225,0,81,2,0,3,86,0,0,3,3,89,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2010,4,2010-01-25,2010-01-31,208,208,0,80,1,0,0,81,0,0,6,6,87,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2010,5,2010-02-01,2010-02-07,161,161,0,57,1,0,0,58,0,0,5,5,63,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2010,6,2010-02-08,2010-02-14,118,118,0,43,1,0,0,44,0,0,1,1,45,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2010,7,2010-02-15,2010-02-21,35,35,0,9,0,0,0,9,0,0,0,0,9,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2010,8,2010-02-22,2010-02-28,90,90,0,11,3,0,0,14,0,0,4,4,18,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2010,9,2010-03-01,2010-03-07,60,60,0,12,1,0,0,13,0,0,2,2,15,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2010,10,2010-03-08,2010-03-14,71,71,0,12,1,0,0,13,0,0,4,4,17,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2010,11,2010-03-15,2010-03-21,82,82,0,12,1,0,0,13,0,0,4,4,17,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2010,12,2010-03-22,2010-03-28,84,84,0,25,1,0,0,26,0,0,8,8,34,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2010,13,2010-03-29,2010-04-04,98,98,0,28,10,0,1,39,0,0,8,8,47,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2010,14,2010-04-05,2010-04-11,170,170,0,59,9,0,1,69,0,0,24,24,93,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2010,15,2010-04-12,2010-04-18,178,178,0,59,12,0,2,73,0,0,15,15,88,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2010,16,2010-04-19,2010-04-25,259,259,0,94,17,0,4,115,0,0,34,34,149,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2010,17,2010-04-26,2010-05-02,262,262,0,100,26,0,1,127,0,0,36,36,163,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2010,18,2010-05-03,2010-05-09,502,502,0,197,51,0,4,252,0,0,52,52,304,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2010,19,2010-05-10,2010-05-16,390,390,0,149,46,0,3,198,0,0,51,51,249,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2010,20,2010-05-17,2010-05-23,325,325,0,91,77,0,3,171,0,0,32,32,203,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2010,21,2010-05-24,2010-05-30,306,306,0,99,67,0,3,169,0,0,37,37,206,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2010,22,2010-05-31,2010-06-06,277,277,0,70,73,0,0,143,0,0,22,22,165,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2010,23,2010-06-07,2010-06-13,245,245,0,69,64,0,0,133,0,0,19,19,152,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2010,24,2010-06-14,2010-06-20,154,154,0,31,50,0,1,82,0,0,16,16,98,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2010,25,2010-06-21,2010-06-27,147,147,0,20,38,0,0,58,0,0,11,11,69,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2010,26,2010-06-28,2010-07-04,123,123,0,21,30,0,3,54,0,0,7,7,61,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2010,27,2010-07-05,2010-07-11,164,164,0,21,35,0,0,56,0,0,15,15,71,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2010,28,2010-07-12,2010-07-18,135,135,0,19,28,0,0,47,0,0,15,15,62,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2010,29,2010-07-19,2010-07-25,124,124,0,8,33,0,0,41,0,0,17,17,58,,Local Outbreak

