Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Singapore,Western Pacific Region of WHO,South-East Asia,2012,1,2012-01-02,2012-01-08,48,48,0,4,4,0,1,9,3,5,8,16,25,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,2,2012-01-09,2012-01-15,61,61,0,3,9,0,0,12,4,17,6,27,39,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,3,2012-01-16,2012-01-22,42,42,0,3,3,0,0,6,4,4,4,12,18,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,4,2012-01-23,2012-01-29,35,35,0,2,1,0,0,3,4,8,8,20,23,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,5,2012-01-30,2012-02-05,58,58,0,6,2,0,0,8,6,10,10,26,34,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,6,2012-02-06,2012-02-12,68,68,0,5,1,0,0,6,11,16,6,33,39,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,7,2012-02-13,2012-02-19,93,93,0,11,0,0,0,11,4,21,12,37,48,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,8,2012-02-20,2012-02-26,50,50,0,3,2,0,0,5,3,14,8,25,30,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,9,2012-02-27,2012-03-04,58,58,0,2,1,0,0,3,6,11,6,23,26,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,10,2012-03-05,2012-03-11,46,46,0,3,1,0,0,4,6,2,6,14,18,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,11,2012-03-12,2012-03-18,39,39,0,5,2,0,0,7,7,3,7,17,24,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,12,2012-03-19,2012-03-25,53,53,0,3,2,0,0,5,3,8,3,14,19,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,13,2012-03-26,2012-04-01,55,55,0,1,6,0,0,7,5,6,4,15,22,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,14,2012-04-02,2012-04-08,29,29,0,1,3,0,0,4,8,2,0,10,14,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,15,2012-04-09,2012-04-15,45,45,0,0,6,0,0,6,6,7,0,13,19,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,16,2012-04-16,2012-04-22,33,33,0,1,3,0,0,4,5,1,2,8,12,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,17,2012-04-23,2012-04-29,45,45,0,4,6,0,0,10,8,1,0,9,19,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,18,2012-04-30,2012-05-06,,,0,0,5,0,0,5,6,8,0,14,19,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,19,2012-05-07,2012-05-13,,,0,7,9,0,0,16,5,3,0,8,24,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,20,2012-05-14,2012-05-20,,,0,5,4,0,0,9,7,2,0,9,18,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,21,2012-05-21,2012-05-27,,,0,7,8,0,0,15,6,2,1,9,24,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,22,2012-05-28,2012-06-03,,,0,6,9,0,0,15,13,2,0,15,30,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,23,2012-06-04,2012-06-10,,,0,6,14,0,0,20,10,0,0,10,30,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,24,2012-06-11,2012-06-17,,,0,5,11,0,0,16,10,1,0,11,27,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,25,2012-06-18,2012-06-24,,,0,6,13,0,0,19,3,0,1,4,23,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,26,2012-06-25,2012-07-01,,,0,5,6,0,0,11,2,0,1,3,14,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,27,2012-07-02,2012-07-08,,,0,3,10,0,0,13,4,0,0,4,17,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,28,2012-07-09,2012-07-15,45,45,0,6,5,0,0,11,2,0,0,2,13,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,29,2012-07-16,2012-07-22,,,0,0,6,0,0,6,1,0,0,1,7,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,30,2012-07-23,2012-07-29,,,0,8,4,0,0,12,1,0,0,1,13,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,31,2012-07-30,2012-08-05,,,0,5,3,0,0,8,1,0,0,1,9,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,32,2012-08-06,2012-08-12,,,0,4,8,0,0,12,1,3,1,5,17,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,33,2012-08-13,2012-08-19,23,23,0,3,4,0,0,7,2,0,0,2,9,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,34,2012-08-20,2012-08-26,,,0,2,3,0,0,5,3,0,0,3,8,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,35,2012-08-27,2012-09-02,,,0,3,4,0,0,7,0,0,0,0,7,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,36,2012-09-03,2012-09-09,17,17,0,0,7,0,0,7,0,0,0,0,7,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,37,2012-09-10,2012-09-16,20,20,0,0,8,0,0,8,1,0,0,1,9,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,38,2012-09-17,2012-09-23,31,31,0,0,6,0,0,6,1,3,0,4,10,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,39,2012-09-24,2012-09-30,27,27,0,1,5,0,1,7,0,1,0,1,8,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,40,2012-10-01,2012-10-07,34,34,0,3,3,0,0,6,0,1,0,1,7,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,41,2012-10-08,2012-10-14,25,25,0,3,3,0,0,6,1,0,0,1,7,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,42,2012-10-15,2012-10-21,30,30,0,5,2,0,0,7,0,0,0,0,7,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,43,2012-10-22,2012-10-28,31,31,0,5,5,0,0,10,0,2,0,2,12,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,44,2012-10-29,2012-11-04,31,31,0,3,8,0,0,11,1,1,0,2,13,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,45,2012-11-05,2012-11-11,40,40,0,4,9,0,0,13,0,4,0,4,17,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,46,2012-11-12,2012-11-18,37,37,0,8,8,0,0,16,0,1,0,1,17,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,47,2012-11-19,2012-11-25,34,34,0,2,8,0,0,10,0,2,0,2,12,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,48,2012-11-26,2012-12-02,50,50,0,5,7,0,0,12,1,5,0,6,18,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,49,2012-12-03,2012-12-09,51,51,0,8,11,0,0,19,1,5,0,6,25,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,50,2012-12-10,2012-12-16,42,42,0,12,6,0,0,18,0,8,0,8,26,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,51,2012-12-17,2012-12-23,53,53,0,9,12,0,0,21,0,3,0,3,24,,Local Outbreak

Singapore,Western Pacific Region of WHO,South-East Asia,2012,52,2012-12-24,2012-12-30,47,47,0,11,8,0,0,19,0,3,3,6,25,,Local Outbreak


