Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Slovakia,European Region of WHO,Eastern Europe,2011,1,2011-01-03,2011-01-09,,13,0,0,0,,0,0,0,0,0,0,0,,Sporadic

Slovakia,European Region of WHO,Eastern Europe,2011,2,2011-01-10,2011-01-16,,8,0,0,0,,0,0,0,0,0,0,0,,No Report

Slovakia,European Region of WHO,Eastern Europe,2011,3,2011-01-17,2011-01-23,,7,0,2,0,,0,2,0,0,0,0,2,,Sporadic

Slovakia,European Region of WHO,Eastern Europe,2011,4,2011-01-24,2011-01-30,,23,0,10,0,,5,15,0,0,5,5,20,,Local Outbreak

Slovakia,European Region of WHO,Eastern Europe,2011,5,2011-01-31,2011-02-06,,70,0,31,0,,7,38,0,0,2,2,40,,Regional Outbreak

Slovakia,European Region of WHO,Eastern Europe,2011,6,2011-02-07,2011-02-13,,87,0,32,0,,24,56,0,0,0,0,56,,Regional Outbreak

Slovakia,European Region of WHO,Eastern Europe,2011,7,2011-02-14,2011-02-20,,128,0,61,0,,18,79,0,1,0,1,80,,Local Outbreak

Slovakia,European Region of WHO,Eastern Europe,2011,8,2011-02-21,2011-02-27,,129,0,49,0,,16,65,0,0,0,0,65,,No Report

Slovakia,European Region of WHO,Eastern Europe,2011,9,2011-02-28,2011-03-06,,122,0,58,0,,11,69,0,0,2,2,71,,Local Outbreak

Slovakia,European Region of WHO,Eastern Europe,2011,10,2011-03-07,2011-03-13,,59,0,6,0,,11,17,0,2,27,29,46,,Sporadic

Slovakia,European Region of WHO,Eastern Europe,2011,11,2011-03-14,2011-03-20,,58,0,11,0,,8,19,0,1,0,1,20,,Sporadic

Slovakia,European Region of WHO,Eastern Europe,2011,12,2011-03-21,2011-03-27,,14,0,2,0,,0,2,0,7,0,7,9,,Sporadic

