Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Spain,European Region of WHO,South West Europe,2015,1,2014-12-29,2015-01-04,64,322,0,5,60,0,40,105,0,0,14,14,119,,No Activity

Spain,European Region of WHO,South West Europe,2015,2,2015-01-05,2015-01-11,69,510,0,15,155,0,45,215,0,0,57,57,272,,No Activity

Spain,European Region of WHO,South West Europe,2015,3,2015-01-12,2015-01-18,186,1068,0,8,393,0,90,491,7,0,129,136,627,,Regional Outbreak

Spain,European Region of WHO,South West Europe,2015,4,2015-01-19,2015-01-25,157,1353,0,17,483,0,186,686,10,0,154,164,850,,Regional Outbreak

Spain,European Region of WHO,South West Europe,2015,5,2015-01-26,2015-02-01,166,1563,0,33,523,0,255,811,0,0,234,234,1045,,Widespread Outbreak

Spain,European Region of WHO,South West Europe,2015,6,2015-02-02,2015-02-08,147,1638,0,23,434,0,438,895,0,0,256,256,1151,,Widespread Outbreak

Spain,European Region of WHO,South West Europe,2015,7,2015-02-09,2015-02-15,152,1778,0,36,424,0,562,1022,0,0,298,298,1320,,Widespread Outbreak

Spain,European Region of WHO,South West Europe,2015,8,2015-02-16,2015-02-22,129,1678,0,38,290,0,583,911,0,0,382,382,1293,,Local Outbreak

Spain,European Region of WHO,South West Europe,2015,9,2015-02-23,2015-03-01,125,1310,0,35,194,0,339,568,0,0,336,336,904,,Local Outbreak

Spain,European Region of WHO,South West Europe,2015,10,2015-03-02,2015-03-08,95,893,0,27,108,0,186,321,0,0,257,257,578,,Sporadic

Spain,European Region of WHO,South West Europe,2015,11,2015-03-09,2015-03-15,62,589,0,11,56,0,88,155,0,0,180,180,335,,Sporadic

Spain,European Region of WHO,South West Europe,2015,12,2015-03-16,2015-03-22,64,409,0,5,31,0,45,81,0,0,110,110,191,,Sporadic

Spain,European Region of WHO,South West Europe,2015,13,2015-03-23,2015-03-29,84,347,0,3,20,0,12,35,0,0,84,84,119,,No Activity

