Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Sweden,European Region of WHO,Northern Europe,2013,1,2012-12-31,2013-01-06,,1014,0,104,22,,101,227,6,0,34,40,267,,Widespread Outbreak

Sweden,European Region of WHO,Northern Europe,2013,2,2013-01-07,2013-01-13,,1354,0,147,38,,98,283,11,0,49,60,343,,Widespread Outbreak

Sweden,European Region of WHO,Northern Europe,2013,3,2013-01-14,2013-01-20,,1422,0,196,35,,115,346,4,0,44,48,394,,Widespread Outbreak

Sweden,European Region of WHO,Northern Europe,2013,4,2013-01-21,2013-01-27,,1585,0,247,32,,141,420,7,0,67,74,494,,Widespread Outbreak

Sweden,European Region of WHO,Northern Europe,2013,5,2013-01-28,2013-02-03,,2022,0,309,64,,225,598,12,0,121,133,731,,Widespread Outbreak

Sweden,European Region of WHO,Northern Europe,2013,6,2013-02-04,2013-02-10,,2362,0,388,54,,274,716,19,3,157,179,895,,Widespread Outbreak

Sweden,European Region of WHO,Northern Europe,2013,7,2013-02-11,2013-02-17,,2512,0,347,69,,253,669,19,3,214,236,905,,Widespread Outbreak

Sweden,European Region of WHO,Northern Europe,2013,8,2013-02-18,2013-02-24,,2275,0,242,49,,249,540,11,1,258,270,810,,Widespread Outbreak

Sweden,European Region of WHO,Northern Europe,2013,9,2013-02-25,2013-03-03,,2065,0,168,55,,194,417,19,1,251,271,688,,Widespread Outbreak

Sweden,European Region of WHO,Northern Europe,2013,10,2013-03-04,2013-03-10,,1778,0,104,32,,142,278,11,0,229,240,518,,Widespread Outbreak

Sweden,European Region of WHO,Northern Europe,2013,11,2013-03-11,2013-03-17,,1556,0,70,32,,110,212,19,2,253,274,486,,Widespread Outbreak

Sweden,European Region of WHO,Northern Europe,2013,12,2013-03-18,2013-03-24,,1337,0,65,29,,99,193,4,2,229,235,428,,Widespread Outbreak

Sweden,European Region of WHO,Northern Europe,2013,13,2013-03-25,2013-03-31,,1224,0,33,19,,78,130,14,2,224,240,370,,Widespread Outbreak

Sweden,European Region of WHO,Northern Europe,2013,14,2013-04-01,2013-04-07,,1138,0,31,17,,66,114,3,0,207,210,324,,Widespread Outbreak

Sweden,European Region of WHO,Northern Europe,2013,15,2013-04-08,2013-04-14,,1101,0,21,9,,45,75,7,0,194,201,276,,Regional Outbreak

Sweden,European Region of WHO,Northern Europe,2013,16,2013-04-15,2013-04-21,,932,0,10,10,,34,54,0,1,109,110,164,,Regional Outbreak

Sweden,European Region of WHO,Northern Europe,2013,17,2013-04-22,2013-04-28,,682,0,4,3,,15,22,0,0,56,56,78,,Regional Outbreak

Sweden,European Region of WHO,Northern Europe,2013,18,2013-04-29,2013-05-05,,513,0,4,1,,7,12,1,0,37,38,50,,Sporadic

Sweden,European Region of WHO,Northern Europe,2013,19,2013-05-06,2013-05-12,,427,0,1,2,,6,9,0,0,15,15,24,,No Activity

Sweden,European Region of WHO,Northern Europe,2013,20,2013-05-13,2013-05-19,,431,0,0,0,,5,5,0,0,9,9,14,,Sporadic

