Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Sweden,European Region of WHO,Northern Europe,2015,1,2014-12-29,2015-01-04,,852,0,6,24,,55,85,0,2,18,20,105,,No Report

Sweden,European Region of WHO,Northern Europe,2015,2,2015-01-05,2015-01-11,,1013,0,12,25,,128,165,0,0,11,11,176,,No Report

Sweden,European Region of WHO,Northern Europe,2015,3,2015-01-12,2015-01-18,,1217,0,12,53,,162,227,4,0,25,29,256,,No Report

Sweden,European Region of WHO,Northern Europe,2015,4,2015-01-19,2015-01-25,,1177,0,13,46,,188,247,1,0,32,33,280,,No Report

Sweden,European Region of WHO,Northern Europe,2015,5,2015-01-26,2015-02-01,,1655,0,22,85,,273,380,2,0,60,62,442,,No Report

Sweden,European Region of WHO,Northern Europe,2015,6,2015-02-02,2015-02-08,,2059,0,37,134,,354,525,9,0,97,106,631,,No Report

Sweden,European Region of WHO,Northern Europe,2015,7,2015-02-09,2015-02-15,,2707,0,66,210,,521,797,12,0,169,181,978,,No Report

Sweden,European Region of WHO,Northern Europe,2015,8,2015-02-16,2015-02-22,,3210,0,85,236,,561,882,13,0,259,272,1154,,No Report

Sweden,European Region of WHO,Northern Europe,2015,9,2015-02-23,2015-03-01,,3166,0,77,221,,515,813,12,0,288,300,1113,,No Report

Sweden,European Region of WHO,Northern Europe,2015,10,2015-03-02,2015-03-08,,3043,0,67,249,,453,769,5,0,329,334,1103,,No Report

Sweden,European Region of WHO,Northern Europe,2015,11,2015-03-09,2015-03-15,,2744,0,70,192,,279,541,16,0,338,354,895,,No Report

Sweden,European Region of WHO,Northern Europe,2015,12,2015-03-16,2015-03-22,,2267,0,45,138,,130,313,12,0,317,329,642,,No Report

Sweden,European Region of WHO,Northern Europe,2015,13,2015-03-23,2015-03-29,,2224,0,49,102,,134,285,15,0,348,363,648,,No Report

Sweden,European Region of WHO,Northern Europe,2015,14,2015-03-30,2015-04-05,,1919,0,41,125,,64,230,7,0,375,382,612,,No Report

Sweden,European Region of WHO,Northern Europe,2015,15,2015-04-06,2015-04-12,,1814,0,31,110,,61,202,6,0,353,359,561,,No Report

Sweden,European Region of WHO,Northern Europe,2015,16,2015-04-13,2015-04-19,,1735,0,18,67,,25,110,4,0,234,238,348,,No Report

Sweden,European Region of WHO,Northern Europe,2015,17,2015-04-20,2015-04-26,,1337,0,9,57,,10,76,6,0,190,196,272,,No Report

Sweden,European Region of WHO,Northern Europe,2015,18,2015-04-27,2015-05-03,,958,0,11,38,,4,53,0,0,112,112,165,,No Report

Sweden,European Region of WHO,Northern Europe,2015,19,2015-05-04,2015-05-10,,897,0,5,32,,6,43,0,0,78,78,121,,No Report

Sweden,European Region of WHO,Northern Europe,2015,20,2015-05-11,2015-05-17,,647,0,0,5,,0,5,0,0,42,42,47,,No Report

Sweden,European Region of WHO,Northern Europe,2015,21,2015-05-18,2015-05-24,,0,0,0,0,,9,9,0,0,21,21,30,,No Report

Sweden,European Region of WHO,Northern Europe,2015,22,2015-05-25,2015-05-31,,0,0,1,0,,2,3,0,0,10,10,13,,No Report

Sweden,European Region of WHO,Northern Europe,2015,23,2015-06-01,2015-06-07,,0,0,0,0,,1,1,0,0,6,6,7,,No Report

Sweden,European Region of WHO,Northern Europe,2015,24,2015-06-08,2015-06-14,,0,0,0,0,,1,1,0,0,7,7,8,,No Report

Sweden,European Region of WHO,Northern Europe,2015,25,2015-06-15,2015-06-21,,0,0,0,0,,2,2,0,0,0,0,2,,No Report

Sweden,European Region of WHO,Northern Europe,2015,26,2015-06-22,2015-06-28,,0,0,0,0,,0,0,0,0,2,2,2,,No Report

Sweden,European Region of WHO,Northern Europe,2015,27,2015-06-29,2015-07-05,,0,0,0,0,,1,1,0,0,1,1,2,,No Report

Sweden,European Region of WHO,Northern Europe,2015,28,2015-07-06,2015-07-12,,0,0,0,0,,2,2,0,0,0,0,2,,No Report

Sweden,European Region of WHO,Northern Europe,2015,29,2015-07-13,2015-07-19,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Sweden,European Region of WHO,Northern Europe,2015,30,2015-07-20,2015-07-26,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Sweden,European Region of WHO,Northern Europe,2015,31,2015-07-27,2015-08-02,,0,0,0,0,,1,1,0,0,1,1,2,,No Report

Sweden,European Region of WHO,Northern Europe,2015,32,2015-08-03,2015-08-09,,0,0,2,0,,0,2,0,0,0,0,2,,No Report

Sweden,European Region of WHO,Northern Europe,2015,33,2015-08-10,2015-08-16,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Sweden,European Region of WHO,Northern Europe,2015,34,2015-08-17,2015-08-23,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Sweden,European Region of WHO,Northern Europe,2015,35,2015-08-24,2015-08-30,,0,0,1,0,,0,1,0,0,0,0,1,,No Report

Sweden,European Region of WHO,Northern Europe,2015,36,2015-08-31,2015-09-06,,0,0,1,0,,0,1,0,0,0,0,1,,No Report

Sweden,European Region of WHO,Northern Europe,2015,37,2015-09-07,2015-09-13,,,,,,,,,,,,,,,No Report

Sweden,European Region of WHO,Northern Europe,2015,38,2015-09-14,2015-09-20,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Sweden,European Region of WHO,Northern Europe,2015,39,2015-09-21,2015-09-27,,0,0,1,0,,0,1,0,0,0,0,1,,No Report

Sweden,European Region of WHO,Northern Europe,2015,40,2015-09-28,2015-10-04,,371,0,0,3,,1,4,0,0,0,0,4,,No Report

Sweden,European Region of WHO,Northern Europe,2015,41,2015-10-05,2015-10-11,,414,0,1,3,,2,6,0,0,2,2,8,,No Report

Sweden,European Region of WHO,Northern Europe,2015,42,2015-10-12,2015-10-18,,470,0,4,1,,1,6,0,0,0,0,6,,No Report

Sweden,European Region of WHO,Northern Europe,2015,43,2015-10-19,2015-10-25,,458,0,5,4,,0,9,0,0,0,0,9,,No Report

Sweden,European Region of WHO,Northern Europe,2015,44,2015-10-26,2015-11-01,,448,0,2,2,,0,4,0,0,0,0,4,,No Report

Sweden,European Region of WHO,Northern Europe,2015,45,2015-11-02,2015-11-08,,547,0,8,0,,3,11,0,0,0,0,11,,No Report

Sweden,European Region of WHO,Northern Europe,2015,46,2015-11-09,2015-11-15,,587,0,16,2,,3,21,0,0,2,2,23,,No Report

Sweden,European Region of WHO,Northern Europe,2015,47,2015-11-16,2015-11-22,,684,0,23,5,,13,41,1,0,3,4,45,,No Report

Sweden,European Region of WHO,Northern Europe,2015,48,2015-11-23,2015-11-29,,779,0,13,6,,30,49,0,0,0,0,49,,No Report

Sweden,European Region of WHO,Northern Europe,2015,49,2015-11-30,2015-12-06,,917,0,22,4,,65,91,0,0,1,1,92,,No Report

Sweden,European Region of WHO,Northern Europe,2015,50,2015-12-07,2015-12-13,,1072,0,27,9,,88,124,0,2,2,4,128,,No Report

Sweden,European Region of WHO,Northern Europe,2015,51,2015-12-14,2015-12-20,,1204,0,42,2,,139,183,0,0,3,3,186,,No Report

Sweden,European Region of WHO,Northern Europe,2015,52,2015-12-21,2015-12-27,,1287,0,100,5,,166,271,0,0,2,2,273,,No Report

Sweden,European Region of WHO,Northern Europe,2015,53,2015-12-28,2016-01-03,,1585,0,101,3,,166,270,0,2,8,10,280,,No Report


