Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Switzerland,European Region of WHO,South West Europe,2013,1,2012-12-31,2013-01-06,,21,0,5,2,,37,44,1,0,25,26,70,,Local Outbreak

Switzerland,European Region of WHO,South West Europe,2013,2,2013-01-07,2013-01-13,,64,0,18,4,,51,73,19,0,21,40,113,,Widespread Outbreak

Switzerland,European Region of WHO,South West Europe,2013,3,2013-01-14,2013-01-20,,87,0,14,10,,77,101,26,0,48,74,175,,Widespread Outbreak

Switzerland,European Region of WHO,South West Europe,2013,4,2013-01-21,2013-01-27,,117,0,20,16,,121,157,46,1,74,121,278,,Widespread Outbreak

Switzerland,European Region of WHO,South West Europe,2013,5,2013-01-28,2013-02-03,,100,0,20,11,,165,196,42,5,124,171,367,,Widespread Outbreak

Switzerland,European Region of WHO,South West Europe,2013,6,2013-02-04,2013-02-10,,99,0,15,11,,217,243,42,5,136,183,426,,Widespread Outbreak

Switzerland,European Region of WHO,South West Europe,2013,7,2013-02-11,2013-02-17,,81,0,15,4,,198,217,37,1,140,178,395,,Widespread Outbreak

Switzerland,European Region of WHO,South West Europe,2013,8,2013-02-18,2013-02-24,,58,0,9,4,,146,159,18,1,131,150,309,,Widespread Outbreak

Switzerland,European Region of WHO,South West Europe,2013,9,2013-02-25,2013-03-03,,52,0,6,6,,161,173,18,1,126,145,318,,Widespread Outbreak

Switzerland,European Region of WHO,South West Europe,2013,10,2013-03-04,2013-03-10,,31,0,3,2,,133,138,13,1,91,105,243,,Widespread Outbreak

Switzerland,European Region of WHO,South West Europe,2013,11,2013-03-11,2013-03-17,,30,0,0,7,,56,63,8,0,54,62,125,,Widespread Outbreak

Switzerland,European Region of WHO,South West Europe,2013,12,2013-03-18,2013-03-24,,34,0,3,4,,38,45,11,0,49,60,105,,Widespread Outbreak

Switzerland,European Region of WHO,South West Europe,2013,13,2013-03-25,2013-03-31,,16,0,1,1,,41,43,4,0,22,26,69,,Local Outbreak

Switzerland,European Region of WHO,South West Europe,2013,14,2013-04-01,2013-04-07,,21,0,0,0,,14,14,8,0,24,32,46,,Sporadic

Switzerland,European Region of WHO,South West Europe,2013,15,2013-04-08,2013-04-14,,17,0,1,3,,8,12,0,0,8,8,20,,Sporadic

Switzerland,European Region of WHO,South West Europe,2013,16,2013-04-15,2013-04-21,,5,0,0,1,,3,4,0,0,3,3,7,,Sporadic

Switzerland,European Region of WHO,South West Europe,2013,17,2013-04-22,2013-04-28,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Switzerland,European Region of WHO,South West Europe,2013,18,2013-04-29,2013-05-05,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Switzerland,European Region of WHO,South West Europe,2013,19,2013-05-06,2013-05-12,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

