Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Switzerland,European Region of WHO,South West Europe,2017,1,2017-01-02,2017-01-08,,82,0,0,93,,1378,1471,0,0,6,6,1477,,No Report

Switzerland,European Region of WHO,South West Europe,2017,2,2017-01-09,2017-01-15,,92,0,0,85,,1118,1203,0,0,7,7,1210,,No Report

Switzerland,European Region of WHO,South West Europe,2017,3,2017-01-16,2017-01-22,,73,0,0,65,,828,893,0,0,5,5,898,,No Report

Switzerland,European Region of WHO,South West Europe,2017,4,2017-01-23,2017-01-29,,71,0,1,69,,851,921,0,0,10,10,931,,No Report

Switzerland,European Region of WHO,South West Europe,2017,5,2017-01-30,2017-02-05,,59,0,1,59,,926,986,1,0,20,21,1007,,No Report

Switzerland,European Region of WHO,South West Europe,2017,6,2017-02-06,2017-02-12,,70,0,0,50,,628,678,1,0,16,17,695,,No Report

Switzerland,European Region of WHO,South West Europe,2017,7,2017-02-13,2017-02-19,,68,0,0,32,,363,395,3,1,17,21,416,,No Report

Switzerland,European Region of WHO,South West Europe,2017,8,2017-02-20,2017-02-26,,29,0,1,12,,242,255,1,0,23,24,279,,No Report

Switzerland,European Region of WHO,South West Europe,2017,9,2017-02-27,2017-03-05,,34,0,0,11,,117,128,1,0,28,29,157,,No Report

Switzerland,European Region of WHO,South West Europe,2017,10,2017-03-06,2017-03-12,,20,0,1,6,,68,75,3,0,36,39,114,,No Report

Switzerland,European Region of WHO,South West Europe,2017,11,2017-03-13,2017-03-19,,11,0,1,4,,47,52,0,0,31,31,83,,No Report

Switzerland,European Region of WHO,South West Europe,2017,12,2017-03-20,2017-03-26,,8,0,0,2,,19,21,1,0,13,14,35,,No Report

Switzerland,European Region of WHO,South West Europe,2017,13,2017-03-27,2017-04-02,,3,0,0,0,,12,12,0,0,9,9,21,,No Report

Switzerland,European Region of WHO,South West Europe,2017,14,2017-04-03,2017-04-09,,10,0,0,1,,7,8,1,0,6,7,15,,No Report

Switzerland,European Region of WHO,South West Europe,2017,15,2017-04-10,2017-04-16,,1,0,0,0,,0,0,0,0,1,1,1,,No Report

Switzerland,European Region of WHO,South West Europe,2017,16,2017-04-17,2017-04-23,,1,0,0,0,,1,1,0,0,1,1,2,,No Report

Switzerland,European Region of WHO,South West Europe,2017,17,2017-04-24,2017-04-30,,,,,,,,,,,,,,,No Report

Switzerland,European Region of WHO,South West Europe,2017,18,2017-05-01,2017-05-07,,,,,,,,,,,,,,,No Report

Switzerland,European Region of WHO,South West Europe,2017,19,2017-05-08,2017-05-14,,,,,,,,,,,,,,,No Report

Switzerland,European Region of WHO,South West Europe,2017,20,2017-05-15,2017-05-21,,,,,,,,,,,,,,,No Report

Switzerland,European Region of WHO,South West Europe,2017,21,2017-05-22,2017-05-28,,,,,,,,,,,,,,,No Report

Switzerland,European Region of WHO,South West Europe,2017,22,2017-05-29,2017-06-04,,,,,,,,,,,,,,,No Report

Switzerland,European Region of WHO,South West Europe,2017,23,2017-06-05,2017-06-11,,,,,,,,,,,,,,,No Report

Switzerland,European Region of WHO,South West Europe,2017,24,2017-06-12,2017-06-18,,,,,,,,,,,,,,,No Report

Switzerland,European Region of WHO,South West Europe,2017,25,2017-06-19,2017-06-25,,,,,,,,,,,,,,,No Report

Switzerland,European Region of WHO,South West Europe,2017,26,2017-06-26,2017-07-02,,,,,,,,,,,,,,,No Report

Switzerland,European Region of WHO,South West Europe,2017,27,2017-07-03,2017-07-09,,,,,,,,,,,,,,,No Report

Switzerland,European Region of WHO,South West Europe,2017,28,2017-07-10,2017-07-16,,,,,,,,,,,,,,,No Report

Switzerland,European Region of WHO,South West Europe,2017,29,2017-07-17,2017-07-23,,,,,,,,,,,,,,,No Report

Switzerland,European Region of WHO,South West Europe,2017,30,2017-07-24,2017-07-30,,,,,,,,,,,,,,,No Report

Switzerland,European Region of WHO,South West Europe,2017,31,2017-07-31,2017-08-06,,,,,,,,,,,,,,,No Report

Switzerland,European Region of WHO,South West Europe,2017,32,2017-08-07,2017-08-13,,,,,,,,,,,,,,,No Report

Switzerland,European Region of WHO,South West Europe,2017,33,2017-08-14,2017-08-20,,,,,,,,,,,,,,,No Report

Switzerland,European Region of WHO,South West Europe,2017,34,2017-08-21,2017-08-27,,,,,,,,,,,,,,,No Report

Switzerland,European Region of WHO,South West Europe,2017,35,2017-08-28,2017-09-03,,,,,,,,,,,,,,,No Report

Switzerland,European Region of WHO,South West Europe,2017,36,2017-09-04,2017-09-10,,,,,,,,,,,,,,,No Report

Switzerland,European Region of WHO,South West Europe,2017,37,2017-09-11,2017-09-17,,,,,,,,,,,,,,,No Report

Switzerland,European Region of WHO,South West Europe,2017,38,2017-09-18,2017-09-24,,,,,,,,,,,,,,,No Report

Switzerland,European Region of WHO,South West Europe,2017,39,2017-09-25,2017-10-01,,,,,,,,,,,,,,,No Report

Switzerland,European Region of WHO,South West Europe,2017,40,2017-10-02,2017-10-08,,5,0,0,0,,0,0,0,0,1,1,1,,No Report

Switzerland,European Region of WHO,South West Europe,2017,41,2017-10-09,2017-10-15,,8,0,0,2,,5,7,0,0,0,0,7,,No Report

Switzerland,European Region of WHO,South West Europe,2017,42,2017-10-16,2017-10-22,,14,0,0,0,,6,6,0,0,2,2,8,,No Report

Switzerland,European Region of WHO,South West Europe,2017,43,2017-10-23,2017-10-29,,4,0,0,1,,3,4,0,0,7,7,11,,No Report

Switzerland,European Region of WHO,South West Europe,2017,44,2017-10-30,2017-11-05,,14,0,0,0,,4,4,0,0,3,3,7,,No Report

Switzerland,European Region of WHO,South West Europe,2017,45,2017-11-06,2017-11-12,,15,0,0,2,,13,15,0,0,3,3,18,,No Report

Switzerland,European Region of WHO,South West Europe,2017,46,2017-11-13,2017-11-19,,17,0,0,0,,9,9,0,0,4,4,13,,No Report

Switzerland,European Region of WHO,South West Europe,2017,47,2017-11-20,2017-11-26,,9,0,2,0,,10,12,2,0,12,14,26,,No Report

Switzerland,European Region of WHO,South West Europe,2017,48,2017-11-27,2017-12-03,,26,0,1,1,,28,30,3,0,36,39,69,,No Report

Switzerland,European Region of WHO,South West Europe,2017,49,2017-12-04,2017-12-10,,19,0,2,0,,40,42,3,0,59,62,104,,No Report

Switzerland,European Region of WHO,South West Europe,2017,50,2017-12-11,2017-12-17,,54,0,0,3,,73,76,21,0,156,177,253,,No Report

Switzerland,European Region of WHO,South West Europe,2017,51,2017-12-18,2017-12-24,,86,0,18,3,,135,156,44,0,459,503,659,,No Report

Switzerland,European Region of WHO,South West Europe,2017,52,2017-12-25,2017-12-31,,85,0,40,1,,261,302,56,0,967,1023,1325,,No Report


