Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,1,2018-12-31,2019-01-06,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,2,2019-01-07,2019-01-13,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,3,2019-01-14,2019-01-20,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,4,2019-01-21,2019-01-27,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,5,2019-01-28,2019-02-03,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,6,2019-02-04,2019-02-10,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,7,2019-02-11,2019-02-17,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,8,2019-02-18,2019-02-24,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,9,2019-02-25,2019-03-03,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,10,2019-03-04,2019-03-10,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,11,2019-03-11,2019-03-17,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,12,2019-03-18,2019-03-24,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,13,2019-03-25,2019-03-31,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,14,2019-04-01,2019-04-07,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,15,2019-04-08,2019-04-14,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,16,2019-04-15,2019-04-21,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,17,2019-04-22,2019-04-28,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,18,2019-04-29,2019-05-05,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,19,2019-05-06,2019-05-12,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,20,2019-05-13,2019-05-19,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,21,2019-05-20,2019-05-26,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,22,2019-05-27,2019-06-02,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,23,2019-06-03,2019-06-09,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,24,2019-06-10,2019-06-16,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,25,2019-06-17,2019-06-23,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,26,2019-06-24,2019-06-30,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,27,2019-07-01,2019-07-07,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,28,2019-07-08,2019-07-14,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,29,2019-07-15,2019-07-21,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,30,2019-07-22,2019-07-28,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,31,2019-07-29,2019-08-04,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,32,2019-08-05,2019-08-11,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,33,2019-08-12,2019-08-18,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,34,2019-08-19,2019-08-25,,,,,,,,,,,,,,,No Report

Syrian Arab Republic,Eastern Mediterranean Region of WHO,Western Asia,2019,35,2019-08-26,2019-09-01,,,,,,,,,,,,,,,No Report

