Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Tajikistan,European Region of WHO,Central Asia,2018,1,2018-01-01,2018-01-07,,4,0,0,0,,0,0,0,0,1,1,1,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,2,2018-01-08,2018-01-14,,5,0,0,0,,0,0,0,0,2,2,2,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,3,2018-01-15,2018-01-21,,6,0,0,0,,0,0,0,0,0,0,0,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,4,2018-01-22,2018-01-28,,9,0,0,0,,0,0,0,0,3,3,3,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,5,2018-01-29,2018-02-04,,5,0,0,0,,0,0,0,0,1,1,1,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,6,2018-02-05,2018-02-11,,7,0,0,0,,0,0,0,0,5,5,5,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,7,2018-02-12,2018-02-18,,7,0,0,0,,0,0,0,0,4,4,4,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,8,2018-02-19,2018-02-25,,12,0,0,0,,0,0,0,0,6,6,6,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,9,2018-02-26,2018-03-04,,12,0,0,0,,0,0,0,0,7,7,7,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,10,2018-03-05,2018-03-11,,11,0,0,0,,0,0,0,0,6,6,6,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,11,2018-03-12,2018-03-18,,6,0,0,0,,0,0,0,0,4,4,4,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,12,2018-03-19,2018-03-25,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,13,2018-03-26,2018-04-01,,6,0,0,0,,0,0,0,0,1,1,1,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,14,2018-04-02,2018-04-08,,8,0,0,0,,0,0,0,0,4,4,4,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,15,2018-04-09,2018-04-15,,8,0,0,0,,0,0,0,0,1,1,1,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,16,2018-04-16,2018-04-22,,4,0,0,0,,0,0,0,0,1,1,1,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,17,2018-04-23,2018-04-29,,2,0,0,0,,0,0,0,0,0,0,0,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,18,2018-04-30,2018-05-06,,2,0,0,0,,0,0,0,0,0,0,0,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,19,2018-05-07,2018-05-13,,2,0,0,0,,0,0,0,0,0,0,0,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,20,2018-05-14,2018-05-20,,2,0,0,0,,0,0,0,0,0,0,0,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,21,2018-05-21,2018-05-27,,,,,,,,,,,,,,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,22,2018-05-28,2018-06-03,,,,,,,,,,,,,,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,23,2018-06-04,2018-06-10,,,,,,,,,,,,,,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,24,2018-06-11,2018-06-17,,,,,,,,,,,,,,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,25,2018-06-18,2018-06-24,,,,,,,,,,,,,,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,26,2018-06-25,2018-07-01,,,,,,,,,,,,,,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,27,2018-07-02,2018-07-08,,,,,,,,,,,,,,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,28,2018-07-09,2018-07-15,,,,,,,,,,,,,,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,29,2018-07-16,2018-07-22,,,,,,,,,,,,,,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,30,2018-07-23,2018-07-29,,,,,,,,,,,,,,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,31,2018-07-30,2018-08-05,,,,,,,,,,,,,,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,32,2018-08-06,2018-08-12,,,,,,,,,,,,,,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,33,2018-08-13,2018-08-19,,,,,,,,,,,,,,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,34,2018-08-20,2018-08-26,,,,,,,,,,,,,,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,35,2018-08-27,2018-09-02,,,,,,,,,,,,,,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,36,2018-09-03,2018-09-09,,,,,,,,,,,,,,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,37,2018-09-10,2018-09-16,,,,,,,,,,,,,,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,38,2018-09-17,2018-09-23,,,,,,,,,,,,,,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,39,2018-09-24,2018-09-30,,,,,,,,,,,,,,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,40,2018-10-01,2018-10-07,,4,0,0,0,,0,0,0,0,0,0,0,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,41,2018-10-08,2018-10-14,,2,0,0,0,,0,0,0,0,0,0,0,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,42,2018-10-15,2018-10-21,,7,0,0,0,,0,0,0,0,0,0,0,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,43,2018-10-22,2018-10-28,,9,0,0,0,,0,0,0,0,0,0,0,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,44,2018-10-29,2018-11-04,,3,0,0,0,,0,0,0,0,0,0,0,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,45,2018-11-05,2018-11-11,,7,0,0,0,,0,0,0,0,0,0,0,,No Report

Tajikistan,European Region of WHO,Central Asia,2018,46,2018-11-12,2018-11-18,,3,0,0,0,,0,0,0,0,0,0,0,,No Report

