Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Thailand,South-East Asia Region of WHO,South-East Asia,2009,1,2008-12-29,2009-01-04,55,55,10,0,1,0,0,11,0,0,1,1,12,,Sporadic

Thailand,South-East Asia Region of WHO,South-East Asia,2009,2,2009-01-05,2009-01-11,94,94,5,0,9,0,0,14,0,0,4,4,18,,Sporadic

Thailand,South-East Asia Region of WHO,South-East Asia,2009,3,2009-01-12,2009-01-18,95,95,3,0,5,0,0,8,0,0,4,4,12,,Sporadic

Thailand,South-East Asia Region of WHO,South-East Asia,2009,4,2009-01-19,2009-01-25,94,94,3,0,2,0,0,5,0,0,2,2,7,,Sporadic

Thailand,South-East Asia Region of WHO,South-East Asia,2009,5,2009-01-26,2009-02-01,58,58,3,0,2,0,0,5,0,0,1,1,6,,Sporadic

Thailand,South-East Asia Region of WHO,South-East Asia,2009,6,2009-02-02,2009-02-08,,69,9,,6,,0,15,,,1,1,16,,Sporadic

Thailand,South-East Asia Region of WHO,South-East Asia,2009,7,2009-02-09,2009-02-15,79,79,6,0,0,0,0,6,0,0,2,2,8,,Sporadic

Thailand,South-East Asia Region of WHO,South-East Asia,2009,8,2009-02-16,2009-02-22,81,81,9,0,2,0,0,11,0,0,4,4,15,,Sporadic

Thailand,South-East Asia Region of WHO,South-East Asia,2009,9,2009-02-23,2009-03-01,62,62,1,0,4,0,0,5,0,0,4,4,9,,Sporadic

Thailand,South-East Asia Region of WHO,South-East Asia,2009,10,2009-03-02,2009-03-08,63,63,1,0,0,0,0,1,0,0,4,4,5,,Sporadic

Thailand,South-East Asia Region of WHO,South-East Asia,2009,11,2009-03-09,2009-03-15,51,51,1,0,2,0,0,3,0,0,4,4,7,,Sporadic

Thailand,South-East Asia Region of WHO,South-East Asia,2009,12,2009-03-16,2009-03-22,52,52,2,0,1,0,0,3,0,0,0,0,3,,Sporadic

Thailand,South-East Asia Region of WHO,South-East Asia,2009,13,2009-03-23,2009-03-29,50,50,5,0,0,0,0,5,0,0,1,1,6,,Sporadic

Thailand,South-East Asia Region of WHO,South-East Asia,2009,14,2009-03-30,2009-04-05,33,33,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Thailand,South-East Asia Region of WHO,South-East Asia,2009,15,2009-04-06,2009-04-12,45,45,0,0,0,0,0,0,0,0,1,1,1,,Sporadic

Thailand,South-East Asia Region of WHO,South-East Asia,2009,16,2009-04-13,2009-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report

Thailand,South-East Asia Region of WHO,South-East Asia,2009,17,2009-04-20,2009-04-26,74,74,2,0,0,0,0,2,0,0,4,4,6,,Sporadic

Thailand,South-East Asia Region of WHO,South-East Asia,2009,18,2009-04-27,2009-05-03,80,80,2,0,1,0,0,3,0,0,0,0,3,,Sporadic

Thailand,South-East Asia Region of WHO,South-East Asia,2009,19,2009-05-04,2009-05-10,118,118,2,10,5,0,6,23,0,0,0,0,23,,Sporadic

Thailand,South-East Asia Region of WHO,South-East Asia,2009,20,2009-05-11,2009-05-17,240,240,2,0,11,0,0,13,0,0,3,3,16,,Sporadic

Thailand,South-East Asia Region of WHO,South-East Asia,2009,21,2009-05-18,2009-05-24,294,294,12,0,31,0,1,44,0,0,2,2,46,,Sporadic

