Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Timor-Leste,South-East Asia Region of WHO,South-East Asia,2019,1,2018-12-31,2019-01-06,0,0,,0,0,0,,0,0,0,0,0,0,,No Report

Timor-Leste,South-East Asia Region of WHO,South-East Asia,2019,2,2019-01-07,2019-01-13,6,6,,1,0,0,,1,0,0,0,0,1,5,No Report

Timor-Leste,South-East Asia Region of WHO,South-East Asia,2019,3,2019-01-14,2019-01-20,28,28,,0,0,0,,0,0,0,0,0,0,28,No Report

Timor-Leste,South-East Asia Region of WHO,South-East Asia,2019,4,2019-01-21,2019-01-27,12,12,,2,0,0,,2,0,0,0,0,2,10,No Report

Timor-Leste,South-East Asia Region of WHO,South-East Asia,2019,5,2019-01-28,2019-02-03,4,4,,0,0,0,,0,0,0,0,0,0,4,No Report

Timor-Leste,South-East Asia Region of WHO,South-East Asia,2019,6,2019-02-04,2019-02-10,4,4,,0,0,0,,0,0,1,0,1,1,3,No Report

Timor-Leste,South-East Asia Region of WHO,South-East Asia,2019,7,2019-02-11,2019-02-17,12,12,,2,0,0,,2,0,2,0,2,4,8,No Report

Timor-Leste,South-East Asia Region of WHO,South-East Asia,2019,8,2019-02-18,2019-02-24,20,20,,5,5,0,,10,0,0,0,0,10,10,No Report

Timor-Leste,South-East Asia Region of WHO,South-East Asia,2019,9,2019-02-25,2019-03-03,37,37,,15,5,0,,20,0,0,0,0,20,17,No Report

Timor-Leste,South-East Asia Region of WHO,South-East Asia,2019,10,2019-03-04,2019-03-10,22,22,,4,1,0,,5,0,0,0,0,5,17,No Report

Timor-Leste,South-East Asia Region of WHO,South-East Asia,2019,11,2019-03-11,2019-03-17,17,17,,11,0,0,,11,1,1,0,2,13,4,No Report

Timor-Leste,South-East Asia Region of WHO,South-East Asia,2019,12,2019-03-18,2019-03-24,19,19,,5,2,0,,7,0,2,0,2,9,10,No Report

