Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Togo,African Region of WHO,Western Africa,2015,1,2014-12-29,2015-01-04,,,,,,,,,,,,,,,No Report

Togo,African Region of WHO,Western Africa,2015,2,2015-01-05,2015-01-11,1,1,0,0,1,0,0,1,0,0,0,0,1,,No Report

Togo,African Region of WHO,Western Africa,2015,3,2015-01-12,2015-01-18,6,6,0,0,0,0,0,0,0,0,1,1,1,,Sporadic

Togo,African Region of WHO,Western Africa,2015,4,2015-01-19,2015-01-25,18,18,0,0,0,0,0,0,0,0,1,1,1,,Sporadic

Togo,African Region of WHO,Western Africa,2015,5,2015-01-26,2015-02-01,18,18,0,0,1,0,0,1,0,0,1,1,2,,Sporadic

Togo,African Region of WHO,Western Africa,2015,6,2015-02-02,2015-02-08,18,18,0,0,2,0,0,2,0,0,2,2,4,,Sporadic

Togo,African Region of WHO,Western Africa,2015,7,2015-02-09,2015-02-15,9,9,0,0,2,0,0,2,0,0,0,0,2,,Sporadic

Togo,African Region of WHO,Western Africa,2015,8,2015-02-16,2015-02-22,6,6,0,0,0,0,0,0,0,0,1,1,1,,Sporadic

Togo,African Region of WHO,Western Africa,2015,9,2015-02-23,2015-03-01,7,7,0,0,1,0,0,1,0,0,0,0,1,,Sporadic

Togo,African Region of WHO,Western Africa,2015,10,2015-03-02,2015-03-08,16,16,0,0,2,0,0,2,0,0,1,1,3,,Sporadic

Togo,African Region of WHO,Western Africa,2015,11,2015-03-09,2015-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report

Togo,African Region of WHO,Western Africa,2015,12,2015-03-16,2015-03-22,7,7,0,0,1,0,0,1,0,0,1,1,2,,Sporadic

Togo,African Region of WHO,Western Africa,2015,13,2015-03-23,2015-03-29,2,2,0,0,1,0,0,1,0,0,0,0,1,,Sporadic

Togo,African Region of WHO,Western Africa,2015,14,2015-03-30,2015-04-05,10,10,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Togo,African Region of WHO,Western Africa,2015,15,2015-04-06,2015-04-12,4,4,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Togo,African Region of WHO,Western Africa,2015,16,2015-04-13,2015-04-19,8,8,0,0,1,0,0,1,0,0,1,1,2,,Sporadic

Togo,African Region of WHO,Western Africa,2015,17,2015-04-20,2015-04-26,13,13,0,0,3,0,0,3,0,0,2,2,5,,Sporadic

Togo,African Region of WHO,Western Africa,2015,18,2015-04-27,2015-05-03,15,15,0,1,0,0,0,1,0,0,5,5,6,,Sporadic

Togo,African Region of WHO,Western Africa,2015,19,2015-05-04,2015-05-10,2,2,0,1,0,0,0,1,0,0,0,0,1,,Sporadic

