Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,1,2018-12-31,2019-01-06,,13,,5,,,,5,,,0,0,5,8,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,2,2019-01-07,2019-01-13,,35,,6,2,,1,9,,,0,0,9,26,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,3,2019-01-14,2019-01-20,,37,,7,,,,7,,,0,0,7,30,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,4,2019-01-21,2019-01-27,,25,,4,2,,,6,,,0,0,6,19,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,5,2019-01-28,2019-02-03,,17,,4,1,,,5,,,0,0,5,12,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,6,2019-02-04,2019-02-10,,10,,,,,,0,,,0,0,0,10,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,7,2019-02-11,2019-02-17,,8,,2,1,,,3,,,0,0,3,5,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,8,2019-02-18,2019-02-24,,6,,,,,,0,,,0,0,0,6,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,9,2019-02-25,2019-03-03,,9,,2,1,,,3,,,0,0,3,6,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,10,2019-03-04,2019-03-10,,12,,1,,,,1,,,0,0,1,11,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,11,2019-03-11,2019-03-17,,7,,2,2,,,4,,,0,0,4,3,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,12,2019-03-18,2019-03-24,,5,,,1,,,1,,,0,0,1,4,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,13,2019-03-25,2019-03-31,,6,,,,,,0,,,0,0,0,6,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,14,2019-04-01,2019-04-07,,4,,1,1,,,2,,,0,0,2,2,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,15,2019-04-08,2019-04-14,,3,,,,,,0,,,0,0,0,3,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,16,2019-04-15,2019-04-21,,2,,,,,,0,,,0,0,0,2,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,17,2019-04-22,2019-04-28,,2,,,,,,0,,,0,0,0,2,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,18,2019-04-29,2019-05-05,,0,,,,,,0,,,0,0,0,,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,19,2019-05-06,2019-05-12,,4,,,1,,,1,,,0,0,1,3,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,20,2019-05-13,2019-05-19,,0,,,,,,0,,,0,0,0,,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,21,2019-05-20,2019-05-26,,4,,,,,,0,,,0,0,0,4,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,22,2019-05-27,2019-06-02,,4,,,,,,0,,,0,0,0,4,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,23,2019-06-03,2019-06-09,,0,,,,,,0,,,0,0,0,,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,24,2019-06-10,2019-06-16,,5,,,,,,0,,,0,0,0,5,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,25,2019-06-17,2019-06-23,,4,,,,,,0,,,0,0,0,4,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,26,2019-06-24,2019-06-30,,2,,,,,,0,,,0,0,0,2,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,27,2019-07-01,2019-07-07,,3,,,,,,0,,,0,0,0,3,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,28,2019-07-08,2019-07-14,,2,,,,,,0,,,0,0,0,2,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,29,2019-07-15,2019-07-21,,4,,,,,,0,,,0,0,0,4,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,30,2019-07-22,2019-07-28,,2,,,,,,0,,,0,0,0,2,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,31,2019-07-29,2019-08-04,,0,,,,,,0,,,0,0,0,,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,32,2019-08-05,2019-08-11,,2,,,,,,0,,,0,0,0,2,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,33,2019-08-12,2019-08-18,,4,,,,,,0,,,0,0,0,4,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,34,2019-08-19,2019-08-25,,3,,,2,,,2,,,0,0,2,1,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,35,2019-08-26,2019-09-01,,4,,1,,,,1,,,0,0,1,3,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,36,2019-09-02,2019-09-08,,1,,,,,,0,,,0,0,0,1,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,37,2019-09-09,2019-09-15,,2,,,,,,0,,,0,0,0,2,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,38,2019-09-16,2019-09-22,,5,,2,1,,,3,,,0,0,3,2,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,39,2019-09-23,2019-09-29,,5,,2,1,,,3,,,0,0,3,2,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,40,2019-09-30,2019-10-06,,3,,2,,,,2,,,0,0,2,1,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,41,2019-10-07,2019-10-13,,7,,3,,,,3,,,0,0,3,4,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,42,2019-10-14,2019-10-20,,27,,16,,,,16,,,0,0,16,11,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,43,2019-10-21,2019-10-27,,34,,16,1,,,17,,,0,0,17,17,No Report

Trinidad and Tobago,Region of the Americas of WHO,Central America and Caribbean,2019,44,2019-10-28,2019-11-03,,56,,34,3,,,37,,,0,0,37,19,No Report

