Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Tunisia,Eastern Mediterranean Region of WHO,Northern Africa,2011,1,2011-01-03,2011-01-09,37,37,0,3,0,0,0,3,0,0,2,2,5,,Local Outbreak

Tunisia,Eastern Mediterranean Region of WHO,Northern Africa,2011,2,2011-01-10,2011-01-16,,,,,,,,,,,,,,,No Report

Tunisia,Eastern Mediterranean Region of WHO,Northern Africa,2011,3,2011-01-17,2011-01-23,49,49,0,10,0,0,0,10,0,0,5,5,15,,Regional Outbreak

Tunisia,Eastern Mediterranean Region of WHO,Northern Africa,2011,4,2011-01-24,2011-01-30,19,19,0,6,0,0,0,6,0,0,1,1,7,,Widespread Outbreak

Tunisia,Eastern Mediterranean Region of WHO,Northern Africa,2011,5,2011-01-31,2011-02-06,20,20,0,4,0,0,0,4,0,0,2,2,6,,Widespread Outbreak

Tunisia,Eastern Mediterranean Region of WHO,Northern Africa,2011,6,2011-02-07,2011-02-13,37,37,0,12,0,0,0,12,0,0,2,2,14,,Widespread Outbreak

Tunisia,Eastern Mediterranean Region of WHO,Northern Africa,2011,7,2011-02-14,2011-02-20,36,36,0,13,0,0,0,13,0,0,1,1,14,,Widespread Outbreak

Tunisia,Eastern Mediterranean Region of WHO,Northern Africa,2011,8,2011-02-21,2011-02-27,60,60,0,26,0,0,0,26,0,0,7,7,33,,Widespread Outbreak

Tunisia,Eastern Mediterranean Region of WHO,Northern Africa,2011,9,2011-02-28,2011-03-06,61,61,0,23,0,0,0,23,0,0,2,2,25,,Widespread Outbreak

Tunisia,Eastern Mediterranean Region of WHO,Northern Africa,2011,10,2011-03-07,2011-03-13,47,47,0,13,0,0,0,13,0,0,4,4,17,,Regional Outbreak

Tunisia,Eastern Mediterranean Region of WHO,Northern Africa,2011,11,2011-03-14,2011-03-20,81,81,0,19,0,0,0,19,0,0,10,10,29,,Regional Outbreak

Tunisia,Eastern Mediterranean Region of WHO,Northern Africa,2011,12,2011-03-21,2011-03-27,56,56,0,4,0,0,0,4,0,0,4,4,8,,Local Outbreak

Tunisia,Eastern Mediterranean Region of WHO,Northern Africa,2011,13,2011-03-28,2011-04-03,89,89,0,11,0,0,0,11,0,0,4,4,15,,Local Outbreak

Tunisia,Eastern Mediterranean Region of WHO,Northern Africa,2011,14,2011-04-04,2011-04-10,48,48,0,3,0,0,0,3,0,0,8,8,11,,Local Outbreak

Tunisia,Eastern Mediterranean Region of WHO,Northern Africa,2011,15,2011-04-11,2011-04-17,38,38,0,1,0,0,0,1,0,0,4,4,5,,Sporadic

Tunisia,Eastern Mediterranean Region of WHO,Northern Africa,2011,16,2011-04-18,2011-04-24,25,25,0,0,0,0,0,0,0,0,1,1,1,,Sporadic

Tunisia,Eastern Mediterranean Region of WHO,Northern Africa,2011,17,2011-04-25,2011-05-01,37,37,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Tunisia,Eastern Mediterranean Region of WHO,Northern Africa,2011,18,2011-05-02,2011-05-08,24,24,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Tunisia,Eastern Mediterranean Region of WHO,Northern Africa,2011,19,2011-05-09,2011-05-15,14,14,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Tunisia,Eastern Mediterranean Region of WHO,Northern Africa,2011,20,2011-05-16,2011-05-22,,,,,,,,,,,,,,,No Report

Tunisia,Eastern Mediterranean Region of WHO,Northern Africa,2011,21,2011-05-23,2011-05-29,,,,,,,,,,,,,,,No Report

Tunisia,Eastern Mediterranean Region of WHO,Northern Africa,2011,22,2011-05-30,2011-06-05,,,,,,,,,,,,,,,No Report

Tunisia,Eastern Mediterranean Region of WHO,Northern Africa,2011,23,2011-06-06,2011-06-12,,,,,,,,,,,,,,,No Report

