Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Turkey,European Region of WHO,Western Asia,2013,1,2012-12-31,2013-01-06,,286,0,34,4,,0,38,0,0,0,0,38,,No Report

Turkey,European Region of WHO,Western Asia,2013,2,2013-01-07,2013-01-13,,484,0,92,4,,0,96,0,0,0,0,96,,No Report

Turkey,European Region of WHO,Western Asia,2013,3,2013-01-14,2013-01-20,,578,0,160,6,,0,166,0,0,0,0,166,,No Report

Turkey,European Region of WHO,Western Asia,2013,4,2013-01-21,2013-01-27,,568,0,166,2,,0,168,0,0,0,0,168,,No Report

Turkey,European Region of WHO,Western Asia,2013,5,2013-01-28,2013-02-03,,828,0,294,10,,0,304,0,0,0,0,304,,No Report

Turkey,European Region of WHO,Western Asia,2013,6,2013-02-04,2013-02-10,,872,0,238,4,,0,242,0,0,0,0,242,,No Report

Turkey,European Region of WHO,Western Asia,2013,7,2013-02-11,2013-02-17,,874,0,232,2,,0,234,0,0,0,0,234,,No Report

Turkey,European Region of WHO,Western Asia,2013,8,2013-02-18,2013-02-24,,936,0,198,8,,0,206,0,0,0,0,206,,No Report

Turkey,European Region of WHO,Western Asia,2013,9,2013-02-25,2013-03-03,,768,0,142,8,,0,150,0,0,0,0,150,,No Report

Turkey,European Region of WHO,Western Asia,2013,10,2013-03-04,2013-03-10,,568,0,94,4,,0,98,0,0,6,6,104,,No Report

Turkey,European Region of WHO,Western Asia,2013,11,2013-03-11,2013-03-17,,496,0,54,10,,4,68,0,0,2,2,70,,No Report

Turkey,European Region of WHO,Western Asia,2013,12,2013-03-18,2013-03-24,,446,0,44,2,,0,46,0,0,12,12,58,,No Report

Turkey,European Region of WHO,Western Asia,2013,13,2013-03-25,2013-03-31,,398,0,26,4,,2,32,0,0,2,2,34,,No Report

Turkey,European Region of WHO,Western Asia,2013,14,2013-04-01,2013-04-07,,338,0,20,2,,0,22,0,0,6,6,28,,No Report

Turkey,European Region of WHO,Western Asia,2013,15,2013-04-08,2013-04-14,,262,0,2,2,,0,4,0,0,0,0,4,,No Report

Turkey,European Region of WHO,Western Asia,2013,16,2013-04-15,2013-04-21,,244,0,4,4,,0,8,0,0,4,4,12,,No Report

Turkey,European Region of WHO,Western Asia,2013,17,2013-04-22,2013-04-28,,180,0,2,2,,0,4,0,0,2,2,6,,No Report

Turkey,European Region of WHO,Western Asia,2013,18,2013-04-29,2013-05-05,,162,0,0,0,,0,0,0,0,4,4,4,,No Report

Turkey,European Region of WHO,Western Asia,2013,19,2013-05-06,2013-05-12,,158,0,0,4,,0,4,0,0,0,0,4,,No Report

Turkey,European Region of WHO,Western Asia,2013,20,2013-05-13,2013-05-19,,140,0,0,0,,0,0,0,0,2,2,2,,No Report

Turkey,European Region of WHO,Western Asia,2013,21,2013-05-20,2013-05-26,,26,0,0,0,,0,0,0,0,0,0,0,,No Report

Turkey,European Region of WHO,Western Asia,2013,22,2013-05-27,2013-06-02,,4,0,0,0,,0,0,0,0,0,0,0,,No Report

Turkey,European Region of WHO,Western Asia,2013,23,2013-06-03,2013-06-09,,14,0,0,0,,0,0,0,0,0,0,0,,No Report

Turkey,European Region of WHO,Western Asia,2013,24,2013-06-10,2013-06-16,,16,0,0,0,,0,0,0,0,0,0,0,,No Report

Turkey,European Region of WHO,Western Asia,2013,25,2013-06-17,2013-06-23,,6,0,0,0,,0,0,0,0,0,0,0,,No Report

Turkey,European Region of WHO,Western Asia,2013,26,2013-06-24,2013-06-30,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Turkey,European Region of WHO,Western Asia,2013,27,2013-07-01,2013-07-07,,2,0,0,0,,0,0,0,0,0,0,0,,No Report

Turkey,European Region of WHO,Western Asia,2013,28,2013-07-08,2013-07-14,,16,0,0,0,,0,0,0,0,0,0,0,,No Report

Turkey,European Region of WHO,Western Asia,2013,29,2013-07-15,2013-07-21,,6,0,0,0,,0,0,0,0,0,0,0,,No Report

Turkey,European Region of WHO,Western Asia,2013,30,2013-07-22,2013-07-28,,14,0,0,0,,0,0,0,0,0,0,0,,No Report

Turkey,European Region of WHO,Western Asia,2013,31,2013-07-29,2013-08-04,,16,0,0,0,,0,0,0,0,0,0,0,,No Report

Turkey,European Region of WHO,Western Asia,2013,32,2013-08-05,2013-08-11,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Turkey,European Region of WHO,Western Asia,2013,33,2013-08-12,2013-08-18,,4,0,0,0,,0,0,0,0,0,0,0,,No Report

Turkey,European Region of WHO,Western Asia,2013,34,2013-08-19,2013-08-25,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

