Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Turkey,European Region of WHO,Western Asia,2018,1,2018-01-01,2018-01-07,,337,0,112,7,,0,119,0,0,18,18,137,,No Report

Turkey,European Region of WHO,Western Asia,2018,2,2018-01-08,2018-01-14,,596,0,146,18,,0,164,0,0,37,37,201,,No Report

Turkey,European Region of WHO,Western Asia,2018,3,2018-01-15,2018-01-21,,733,0,145,32,,0,177,0,0,47,47,224,,No Report

Turkey,European Region of WHO,Western Asia,2018,4,2018-01-22,2018-01-28,,708,0,132,17,,0,149,0,0,61,61,210,,No Report

Turkey,European Region of WHO,Western Asia,2018,5,2018-01-29,2018-02-04,,415,0,61,2,,0,63,0,0,37,37,100,,No Report

Turkey,European Region of WHO,Western Asia,2018,6,2018-02-05,2018-02-11,,465,0,58,3,,0,61,0,0,59,59,120,,No Report

Turkey,European Region of WHO,Western Asia,2018,7,2018-02-12,2018-02-18,,315,0,21,3,,0,24,0,0,34,34,58,,No Report

Turkey,European Region of WHO,Western Asia,2018,8,2018-02-19,2018-02-25,,422,0,41,1,,0,42,0,0,47,47,89,,No Report

Turkey,European Region of WHO,Western Asia,2018,9,2018-02-26,2018-03-04,,289,0,16,2,,0,18,0,0,25,25,43,,No Report

Turkey,European Region of WHO,Western Asia,2018,10,2018-03-05,2018-03-11,,335,0,3,5,,0,8,0,0,53,53,61,,No Report

Turkey,European Region of WHO,Western Asia,2018,11,2018-03-12,2018-03-18,,297,0,6,4,,0,10,0,0,35,35,45,,No Report

Turkey,European Region of WHO,Western Asia,2018,12,2018-03-19,2018-03-25,,243,0,5,1,,0,6,0,0,30,30,36,,No Report

Turkey,European Region of WHO,Western Asia,2018,13,2018-03-26,2018-04-01,,180,0,4,0,,0,4,0,0,6,6,10,,No Report

Turkey,European Region of WHO,Western Asia,2018,14,2018-04-02,2018-04-08,,178,0,1,6,,0,7,0,0,14,14,21,,No Report

Turkey,European Region of WHO,Western Asia,2018,15,2018-04-09,2018-04-15,,185,0,3,4,,0,7,0,0,7,7,14,,No Report

Turkey,European Region of WHO,Western Asia,2018,16,2018-04-16,2018-04-22,,121,0,0,2,,0,2,0,0,7,7,9,,No Report

Turkey,European Region of WHO,Western Asia,2018,17,2018-04-23,2018-04-29,,107,0,0,0,,0,0,0,0,23,23,23,,No Report

Turkey,European Region of WHO,Western Asia,2018,18,2018-04-30,2018-05-06,,93,0,0,0,,0,0,0,0,10,10,10,,No Report

Turkey,European Region of WHO,Western Asia,2018,19,2018-05-07,2018-05-13,,95,0,2,2,,0,4,0,0,3,3,7,,No Report

Turkey,European Region of WHO,Western Asia,2018,20,2018-05-14,2018-05-20,,78,0,0,0,,0,0,0,0,3,3,3,,No Report

Turkey,European Region of WHO,Western Asia,2018,21,2018-05-21,2018-05-27,,76,0,0,0,,0,0,0,0,0,0,0,,No Report

Turkey,European Region of WHO,Western Asia,2018,22,2018-05-28,2018-06-03,,,,,,,,,,,,,,,No Report

Turkey,European Region of WHO,Western Asia,2018,23,2018-06-04,2018-06-10,,,,,,,,,,,,,,,No Report

Turkey,European Region of WHO,Western Asia,2018,24,2018-06-11,2018-06-17,,,,,,,,,,,,,,,No Report

Turkey,European Region of WHO,Western Asia,2018,25,2018-06-18,2018-06-24,,,,,,,,,,,,,,,No Report

Turkey,European Region of WHO,Western Asia,2018,26,2018-06-25,2018-07-01,,,,,,,,,,,,,,,No Report

Turkey,European Region of WHO,Western Asia,2018,27,2018-07-02,2018-07-08,,,,,,,,,,,,,,,No Report

Turkey,European Region of WHO,Western Asia,2018,28,2018-07-09,2018-07-15,,,,,,,,,,,,,,,No Report

Turkey,European Region of WHO,Western Asia,2018,29,2018-07-16,2018-07-22,,,,,,,,,,,,,,,No Report

Turkey,European Region of WHO,Western Asia,2018,30,2018-07-23,2018-07-29,,,,,,,,,,,,,,,No Report

Turkey,European Region of WHO,Western Asia,2018,31,2018-07-30,2018-08-05,,,,,,,,,,,,,,,No Report

Turkey,European Region of WHO,Western Asia,2018,32,2018-08-06,2018-08-12,,,,,,,,,,,,,,,No Report

Turkey,European Region of WHO,Western Asia,2018,33,2018-08-13,2018-08-19,,,,,,,,,,,,,,,No Report

Turkey,European Region of WHO,Western Asia,2018,34,2018-08-20,2018-08-26,,,,,,,,,,,,,,,No Report

Turkey,European Region of WHO,Western Asia,2018,35,2018-08-27,2018-09-02,,,,,,,,,,,,,,,No Report

Turkey,European Region of WHO,Western Asia,2018,36,2018-09-03,2018-09-09,,,,,,,,,,,,,,,No Report

Turkey,European Region of WHO,Western Asia,2018,37,2018-09-10,2018-09-16,,,,,,,,,,,,,,,No Report

Turkey,European Region of WHO,Western Asia,2018,38,2018-09-17,2018-09-23,,,,,,,,,,,,,,,No Report

Turkey,European Region of WHO,Western Asia,2018,39,2018-09-24,2018-09-30,,,,,,,,,,,,,,,No Report

