Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Turkmenistan,European Region of WHO,Central Asia,2011,1,2011-01-03,2011-01-09,,,,,,,,,,,,,,,No Report

Turkmenistan,European Region of WHO,Central Asia,2011,2,2011-01-10,2011-01-16,,,,,,,,,,,,,,,No Report

Turkmenistan,European Region of WHO,Central Asia,2011,3,2011-01-17,2011-01-23,,,,,,,,,,,,,,,No Report

Turkmenistan,European Region of WHO,Central Asia,2011,4,2011-01-24,2011-01-30,,,,,,,,,,,,,,,No Report

Turkmenistan,European Region of WHO,Central Asia,2011,5,2011-01-31,2011-02-06,,,,,,,,,,,,,,,No Report

Turkmenistan,European Region of WHO,Central Asia,2011,6,2011-02-07,2011-02-13,,,,,,,,,,,,,,,No Report

Turkmenistan,European Region of WHO,Central Asia,2011,7,2011-02-14,2011-02-20,,,,,,,,,,,,,,,No Report

Turkmenistan,European Region of WHO,Central Asia,2011,8,2011-02-21,2011-02-27,,,,,,,,,,,,,,,No Report

Turkmenistan,European Region of WHO,Central Asia,2011,9,2011-02-28,2011-03-06,,,,,,,,,,,,,,,No Report

Turkmenistan,European Region of WHO,Central Asia,2011,10,2011-03-07,2011-03-13,,,,,,,,,,,,,,,No Report

Turkmenistan,European Region of WHO,Central Asia,2011,11,2011-03-14,2011-03-20,,,,,,,,,,,,,,,No Report

Turkmenistan,European Region of WHO,Central Asia,2011,12,2011-03-21,2011-03-27,,,,,,,,,,,,,,,No Report

Turkmenistan,European Region of WHO,Central Asia,2011,13,2011-03-28,2011-04-03,,,,,,,,,,,,,,,No Report

Turkmenistan,European Region of WHO,Central Asia,2011,14,2011-04-04,2011-04-10,,,,,,,,,,,,,,,No Report

Turkmenistan,European Region of WHO,Central Asia,2011,15,2011-04-11,2011-04-17,,,,,,,,,,,,,,,No Report

Turkmenistan,European Region of WHO,Central Asia,2011,16,2011-04-18,2011-04-24,,,,,,,,,,,,,,,No Report

Turkmenistan,European Region of WHO,Central Asia,2011,17,2011-04-25,2011-05-01,,,,,,,,,,,,,,,No Report

Turkmenistan,European Region of WHO,Central Asia,2011,18,2011-05-02,2011-05-08,,,,,,,,,,,,,,,No Report

Turkmenistan,European Region of WHO,Central Asia,2011,19,2011-05-09,2011-05-15,,,,,,,,,,,,,,,No Report

Turkmenistan,European Region of WHO,Central Asia,2011,20,2011-05-16,2011-05-22,,,,,,,,,,,,,,,No Report

Turkmenistan,European Region of WHO,Central Asia,2011,21,2011-05-23,2011-05-29,,,,,,,,,,,,,,,No Report

Turkmenistan,European Region of WHO,Central Asia,2011,22,2011-05-30,2011-06-05,,,,,,,,,,,,,,,No Report

Turkmenistan,European Region of WHO,Central Asia,2011,23,2011-06-06,2011-06-12,,,,,,,,,,,,,,,No Report

Turkmenistan,European Region of WHO,Central Asia,2011,24,2011-06-13,2011-06-19,,,,,,,,,,,,,,,No Report

Turkmenistan,European Region of WHO,Central Asia,2011,25,2011-06-20,2011-06-26,,,,,,,,,,,,,,,No Report

Turkmenistan,European Region of WHO,Central Asia,2011,26,2011-06-27,2011-07-03,,,,,,,,,,,,,,,No Report

Turkmenistan,European Region of WHO,Central Asia,2011,27,2011-07-04,2011-07-10,,,,,,,,,,,,,,,No Report

Turkmenistan,European Region of WHO,Central Asia,2011,28,2011-07-11,2011-07-17,,,,,,,,,,,,,,,No Report

Turkmenistan,European Region of WHO,Central Asia,2011,29,2011-07-18,2011-07-24,,,,,,,,,,,,,,,No Report

