Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Uganda,African Region of WHO,Eastern Africa,2007,1,2007-01-01,2007-01-07,,,,,,,,,,,,,,,No Report

Uganda,African Region of WHO,Eastern Africa,2007,2,2007-01-08,2007-01-14,,2,0,,0,,0,0,,,0,0,0,,No Activity

Uganda,African Region of WHO,Eastern Africa,2007,3,2007-01-15,2007-01-21,,,,,,,,,,,,,,,No Report

Uganda,African Region of WHO,Eastern Africa,2007,4,2007-01-22,2007-01-28,,,,,,,,,,,,,,,No Report

Uganda,African Region of WHO,Eastern Africa,2007,5,2007-01-29,2007-02-04,,,,,,,,,,,,,,,No Report

Uganda,African Region of WHO,Eastern Africa,2007,6,2007-02-05,2007-02-11,,4,0,,0,,0,0,,,0,0,0,,No Activity

Uganda,African Region of WHO,Eastern Africa,2007,7,2007-02-12,2007-02-18,,,,,,,,,,,,,,,No Report

Uganda,African Region of WHO,Eastern Africa,2007,8,2007-02-19,2007-02-25,,0,0,,0,,0,0,,,0,0,0,,No Report

Uganda,African Region of WHO,Eastern Africa,2007,9,2007-02-26,2007-03-04,,0,0,,0,,0,0,,,0,0,0,,No Activity

Uganda,African Region of WHO,Eastern Africa,2007,10,2007-03-05,2007-03-11,,0,0,,0,,0,0,,,0,0,0,,No Activity

Uganda,African Region of WHO,Eastern Africa,2007,11,2007-03-12,2007-03-18,,0,0,,0,,0,0,,,0,0,0,,No Report

Uganda,African Region of WHO,Eastern Africa,2007,12,2007-03-19,2007-03-25,,0,0,,0,,0,0,,,0,0,0,,No Activity

Uganda,African Region of WHO,Eastern Africa,2007,13,2007-03-26,2007-04-01,,15,0,,0,,0,0,,,0,0,0,,No Activity

Uganda,African Region of WHO,Eastern Africa,2007,14,2007-04-02,2007-04-08,,6,0,,0,,0,0,,,0,0,0,,No Activity

Uganda,African Region of WHO,Eastern Africa,2007,15,2007-04-09,2007-04-15,,0,0,,0,,0,0,,,0,0,0,,No Report

Uganda,African Region of WHO,Eastern Africa,2007,16,2007-04-16,2007-04-22,,29,0,,0,,0,0,,,0,0,0,,No Report

Uganda,African Region of WHO,Eastern Africa,2007,17,2007-04-23,2007-04-29,,11,0,,0,,0,0,,,0,0,0,,Sporadic

Uganda,African Region of WHO,Eastern Africa,2007,18,2007-04-30,2007-05-06,,,,,,,,,,,,,,,No Report

Uganda,African Region of WHO,Eastern Africa,2007,19,2007-05-07,2007-05-13,,1,0,,0,,0,0,,,0,0,0,,Sporadic

Uganda,African Region of WHO,Eastern Africa,2007,20,2007-05-14,2007-05-20,,10,0,,0,,0,0,,,0,0,0,,Sporadic

Uganda,African Region of WHO,Eastern Africa,2007,21,2007-05-21,2007-05-27,,9,0,,0,,0,0,,,1,1,1,,Sporadic

Uganda,African Region of WHO,Eastern Africa,2007,22,2007-05-28,2007-06-03,,7,0,,0,,1,1,,,0,0,1,,Sporadic

Uganda,African Region of WHO,Eastern Africa,2007,23,2007-06-04,2007-06-10,,2,0,,0,,0,0,,,0,0,0,,Sporadic

Uganda,African Region of WHO,Eastern Africa,2007,24,2007-06-11,2007-06-17,,,,,,,,,,,,,,,No Report

Uganda,African Region of WHO,Eastern Africa,2007,25,2007-06-18,2007-06-24,,,,,,,,,,,,,,,No Report

Uganda,African Region of WHO,Eastern Africa,2007,26,2007-06-25,2007-07-01,,18,0,,3,,0,3,,,0,0,3,,Sporadic

