Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Ukraine,European Region of WHO,Eastern Europe,2011,1,2011-01-03,2011-01-09,,514,0,0,0,,0,0,0,0,166,166,166,,Sporadic

Ukraine,European Region of WHO,Eastern Europe,2011,2,2011-01-10,2011-01-16,,754,0,10,0,,2,12,0,0,270,270,282,,Sporadic

Ukraine,European Region of WHO,Eastern Europe,2011,3,2011-01-17,2011-01-23,,390,0,6,0,,36,42,0,0,104,104,146,,Sporadic

Ukraine,European Region of WHO,Eastern Europe,2011,4,2011-01-24,2011-01-30,,818,0,24,0,,46,70,0,0,156,156,226,,Sporadic

Ukraine,European Region of WHO,Eastern Europe,2011,5,2011-01-31,2011-02-06,,738,0,18,40,,50,108,0,0,178,178,286,,Local Outbreak

Ukraine,European Region of WHO,Eastern Europe,2011,6,2011-02-07,2011-02-13,,568,0,36,0,,6,42,0,0,86,86,128,,Local Outbreak

Ukraine,European Region of WHO,Eastern Europe,2011,7,2011-02-14,2011-02-20,,596,0,82,4,,22,108,0,0,96,96,204,,Local Outbreak

Ukraine,European Region of WHO,Eastern Europe,2011,8,2011-02-21,2011-02-27,,680,0,216,0,,14,230,0,0,60,60,290,,Local Outbreak

Ukraine,European Region of WHO,Eastern Europe,2011,9,2011-02-28,2011-03-06,,968,0,330,0,,16,346,0,0,46,46,392,,Local Outbreak

Ukraine,European Region of WHO,Eastern Europe,2011,10,2011-03-07,2011-03-13,,646,0,232,0,,30,262,0,0,34,34,296,,Local Outbreak

Ukraine,European Region of WHO,Eastern Europe,2011,11,2011-03-14,2011-03-20,,1372,0,554,0,,42,596,0,0,24,24,620,,Local Outbreak

Ukraine,European Region of WHO,Eastern Europe,2011,12,2011-03-21,2011-03-27,,676,0,176,2,,66,244,0,0,8,8,252,,Sporadic

Ukraine,European Region of WHO,Eastern Europe,2011,13,2011-03-28,2011-04-03,,512,0,150,0,,6,156,0,0,0,0,156,,Sporadic

Ukraine,European Region of WHO,Eastern Europe,2011,14,2011-04-04,2011-04-10,,412,0,34,0,,12,46,0,0,8,8,54,,Sporadic

Ukraine,European Region of WHO,Eastern Europe,2011,15,2011-04-11,2011-04-17,,406,0,40,0,,10,50,0,0,2,2,52,,Sporadic

