Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Ukraine,European Region of WHO,Eastern Europe,2013,1,2012-12-31,2013-01-06,,154,0,0,0,,0,0,0,0,0,0,0,,Sporadic

Ukraine,European Region of WHO,Eastern Europe,2013,2,2013-01-07,2013-01-13,,142,0,0,0,,0,0,0,0,2,2,2,,Sporadic

Ukraine,European Region of WHO,Eastern Europe,2013,3,2013-01-14,2013-01-20,,206,0,4,2,,12,18,0,0,0,0,18,,Regional Outbreak

Ukraine,European Region of WHO,Eastern Europe,2013,4,2013-01-21,2013-01-27,,420,0,12,2,,20,34,0,0,10,10,44,,Regional Outbreak

Ukraine,European Region of WHO,Eastern Europe,2013,5,2013-01-28,2013-02-03,,76,0,2,0,,0,2,0,0,0,0,2,,Local Outbreak

Ukraine,European Region of WHO,Eastern Europe,2013,6,2013-02-04,2013-02-10,,198,0,24,0,,28,52,0,0,6,6,58,,Regional Outbreak

Ukraine,European Region of WHO,Eastern Europe,2013,7,2013-02-11,2013-02-17,,320,0,48,10,,22,80,0,0,6,6,86,,Regional Outbreak

Ukraine,European Region of WHO,Eastern Europe,2013,8,2013-02-18,2013-02-24,,310,0,64,8,,32,104,0,0,12,12,116,,Regional Outbreak

Ukraine,European Region of WHO,Eastern Europe,2013,9,2013-02-25,2013-03-03,,90,0,8,0,,14,22,0,0,10,10,32,,Regional Outbreak

Ukraine,European Region of WHO,Eastern Europe,2013,10,2013-03-04,2013-03-10,,192,0,36,4,,20,60,0,0,20,20,80,,Regional Outbreak

Ukraine,European Region of WHO,Eastern Europe,2013,11,2013-03-11,2013-03-17,,224,0,60,8,,14,82,0,0,22,22,104,,Regional Outbreak

Ukraine,European Region of WHO,Eastern Europe,2013,12,2013-03-18,2013-03-24,,390,0,60,6,,42,108,0,0,24,24,132,,Regional Outbreak

Ukraine,European Region of WHO,Eastern Europe,2013,13,2013-03-25,2013-03-31,,18,0,2,0,,0,2,0,0,6,6,8,,Regional Outbreak

Ukraine,European Region of WHO,Eastern Europe,2013,14,2013-04-01,2013-04-07,,440,0,28,10,,10,48,0,0,38,38,86,,Regional Outbreak

Ukraine,European Region of WHO,Eastern Europe,2013,15,2013-04-08,2013-04-14,,178,0,6,34,,2,42,0,0,16,16,58,,Regional Outbreak

Ukraine,European Region of WHO,Eastern Europe,2013,16,2013-04-15,2013-04-21,,226,0,10,24,,0,34,0,0,16,16,50,,Regional Outbreak

Ukraine,European Region of WHO,Eastern Europe,2013,17,2013-04-22,2013-04-28,,76,0,0,0,,4,4,0,0,8,8,12,,Sporadic

Ukraine,European Region of WHO,Eastern Europe,2013,18,2013-04-29,2013-05-05,,14,0,0,0,,0,0,0,0,0,0,0,,No Activity

Ukraine,European Region of WHO,Eastern Europe,2013,19,2013-05-06,2013-05-12,,42,0,2,0,,2,4,0,0,0,0,4,,Sporadic

Ukraine,European Region of WHO,Eastern Europe,2013,20,2013-05-13,2013-05-19,,74,0,2,0,,0,2,0,0,0,0,2,,No Activity

Ukraine,European Region of WHO,Eastern Europe,2013,21,2013-05-20,2013-05-26,,58,0,0,2,,0,2,0,0,0,0,2,,No Report

Ukraine,European Region of WHO,Eastern Europe,2013,22,2013-05-27,2013-06-02,,86,0,0,0,,0,0,0,0,18,18,18,,No Activity

Ukraine,European Region of WHO,Eastern Europe,2013,23,2013-06-03,2013-06-09,,15,0,0,0,,4,4,0,0,0,0,4,,No Report

Ukraine,European Region of WHO,Eastern Europe,2013,24,2013-06-10,2013-06-16,,84,0,0,0,,4,4,0,0,2,2,6,,Sporadic

Ukraine,European Region of WHO,Eastern Europe,2013,25,2013-06-17,2013-06-23,,66,0,0,0,,4,4,0,0,0,0,4,,No Activity

Ukraine,European Region of WHO,Eastern Europe,2013,26,2013-06-24,2013-06-30,,70,0,0,0,,6,6,0,0,0,0,6,,Sporadic

Ukraine,European Region of WHO,Eastern Europe,2013,27,2013-07-01,2013-07-07,,25,0,0,0,,1,1,0,0,1,1,2,,No Report

Ukraine,European Region of WHO,Eastern Europe,2013,28,2013-07-08,2013-07-14,,64,0,0,0,,2,2,0,0,0,0,2,,No Report

Ukraine,European Region of WHO,Eastern Europe,2013,29,2013-07-15,2013-07-21,,25,0,0,0,,0,0,0,0,0,0,0,,No Report

Ukraine,European Region of WHO,Eastern Europe,2013,30,2013-07-22,2013-07-28,,32,0,1,0,,0,1,0,0,0,0,1,,No Report

Ukraine,European Region of WHO,Eastern Europe,2013,31,2013-07-29,2013-08-04,,3,0,0,0,,0,0,0,0,0,0,0,,No Report

Ukraine,European Region of WHO,Eastern Europe,2013,32,2013-08-05,2013-08-11,,13,0,0,0,,0,0,0,0,0,0,0,,No Report

Ukraine,European Region of WHO,Eastern Europe,2013,33,2013-08-12,2013-08-18,,3,0,0,1,,0,1,0,0,0,0,1,,No Report

Ukraine,European Region of WHO,Eastern Europe,2013,34,2013-08-19,2013-08-25,,20,0,0,0,,0,0,0,0,0,0,0,,No Report

Ukraine,European Region of WHO,Eastern Europe,2013,35,2013-08-26,2013-09-01,,29,0,0,0,,0,0,0,0,0,0,0,,No Report

Ukraine,European Region of WHO,Eastern Europe,2013,36,2013-09-02,2013-09-08,,1,0,0,0,,0,0,0,0,0,0,0,,No Report

Ukraine,European Region of WHO,Eastern Europe,2013,37,2013-09-09,2013-09-15,,1,0,0,0,,0,0,0,0,0,0,0,,No Report

Ukraine,European Region of WHO,Eastern Europe,2013,38,2013-09-16,2013-09-22,,1,0,0,0,,0,0,0,0,0,0,0,,No Report

Ukraine,European Region of WHO,Eastern Europe,2013,39,2013-09-23,2013-09-29,,1,0,0,0,,0,0,0,0,0,0,0,,No Report

Ukraine,European Region of WHO,Eastern Europe,2013,40,2013-09-30,2013-10-06,,58,0,0,0,,0,0,0,0,0,0,0,,No Report

Ukraine,European Region of WHO,Eastern Europe,2013,41,2013-10-07,2013-10-13,,51,0,0,0,,0,0,0,0,0,0,0,,No Activity

Ukraine,European Region of WHO,Eastern Europe,2013,42,2013-10-14,2013-10-20,,57,0,0,0,,0,0,0,0,0,0,0,,No Report

Ukraine,European Region of WHO,Eastern Europe,2013,43,2013-10-21,2013-10-27,,132,0,10,0,,0,10,0,0,0,0,10,,Sporadic

Ukraine,European Region of WHO,Eastern Europe,2013,44,2013-10-28,2013-11-03,,74,0,0,0,,0,0,0,0,0,0,0,,No Activity

Ukraine,European Region of WHO,Eastern Europe,2013,45,2013-11-04,2013-11-10,,148,0,0,0,,0,0,0,0,0,0,0,,No Activity

Ukraine,European Region of WHO,Eastern Europe,2013,46,2013-11-11,2013-11-17,,32,0,0,0,,0,0,0,0,0,0,0,,No Activity

Ukraine,European Region of WHO,Eastern Europe,2013,47,2013-11-18,2013-11-24,,170,0,0,0,,0,0,0,0,0,0,0,,No Activity

Ukraine,European Region of WHO,Eastern Europe,2013,48,2013-11-25,2013-12-01,,206,0,0,2,,0,2,0,0,0,0,2,,Sporadic

Ukraine,European Region of WHO,Eastern Europe,2013,49,2013-12-02,2013-12-08,,100,0,0,0,,0,0,0,0,0,0,0,,No Activity

Ukraine,European Region of WHO,Eastern Europe,2013,50,2013-12-09,2013-12-15,,264,0,0,0,,0,0,0,0,0,0,0,,No Activity

Ukraine,European Region of WHO,Eastern Europe,2013,51,2013-12-16,2013-12-22,,176,0,0,2,,0,2,0,0,0,0,2,,Sporadic

Ukraine,European Region of WHO,Eastern Europe,2013,52,2013-12-23,2013-12-29,,188,0,0,0,,0,0,0,0,0,0,0,,No Activity


