Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2013,1,2012-12-31,2013-01-06,,1271,0,21,122,,59,202,38,6,309,353,555,,Widespread Outbreak

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2013,2,2013-01-07,2013-01-13,,1344,0,45,126,,73,244,22,2,302,326,570,,Widespread Outbreak

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2013,3,2013-01-14,2013-01-20,,1102,0,27,90,,49,166,44,6,166,216,382,,Widespread Outbreak

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2013,4,2013-01-21,2013-01-27,,1131,0,23,85,,67,175,4,6,231,241,416,,Regional Outbreak

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2013,5,2013-01-28,2013-02-03,,1209,0,28,134,,95,257,36,6,261,303,560,,Regional Outbreak

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2013,6,2013-02-04,2013-02-10,,1097,0,22,109,,185,316,24,6,269,299,615,,Regional Outbreak

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2013,7,2013-02-11,2013-02-17,,1100,0,33,111,,160,304,42,10,238,290,594,,Regional Outbreak

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2013,8,2013-02-18,2013-02-24,,1126,0,40,129,,187,356,29,9,227,265,621,,Regional Outbreak

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2013,9,2013-02-25,2013-03-03,,1192,0,25,124,,168,317,21,4,166,191,508,,Regional Outbreak

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2013,10,2013-03-04,2013-03-10,,1224,0,47,171,,254,472,35,8,196,239,711,,Regional Outbreak

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2013,11,2013-03-11,2013-03-17,,1166,0,38,121,,206,365,9,0,141,150,515,,Regional Outbreak

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2013,12,2013-03-18,2013-03-24,,1143,0,30,139,,176,345,31,6,115,152,497,,Local Outbreak

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2013,13,2013-03-25,2013-03-31,,1121,0,29,156,,161,346,0,0,83,83,429,,Regional Outbreak

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2013,14,2013-04-01,2013-04-07,,1017,0,27,106,,93,226,4,2,64,70,296,,Regional Outbreak

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2013,15,2013-04-08,2013-04-14,,1014,0,28,103,,113,244,2,1,80,83,327,,Local Outbreak

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2013,16,2013-04-15,2013-04-21,,1008,0,23,88,,133,244,0,0,72,72,316,,Local Outbreak

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2013,17,2013-04-22,2013-04-28,,838,0,11,41,,50,102,0,0,31,31,133,,Local Outbreak

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2013,18,2013-04-29,2013-05-05,,833,0,7,16,,34,57,0,0,21,21,78,,Local Outbreak

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2013,19,2013-05-06,2013-05-12,,781,0,2,7,,25,34,0,0,9,9,43,,Local Outbreak

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2013,20,2013-05-13,2013-05-19,,770,0,2,6,,8,16,0,0,10,10,26,,Sporadic

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2013,21,2013-05-20,2013-05-26,,620,0,4,2,,13,19,0,0,4,4,23,,Sporadic

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2013,22,2013-05-27,2013-06-02,,666,0,1,9,,9,19,0,0,6,6,25,,Sporadic

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2013,23,2013-06-03,2013-06-09,,613,0,0,2,,3,5,0,0,0,0,5,,Sporadic

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2013,24,2013-06-10,2013-06-16,,580,0,0,2,,2,4,0,0,2,2,6,,Sporadic

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2013,25,2013-06-17,2013-06-23,,599,0,1,0,,1,2,0,0,0,0,2,,No Activity

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2013,26,2013-06-24,2013-06-30,,513,0,0,0,,2,2,0,0,0,0,2,,Sporadic

United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2013,27,2013-07-01,2013-07-07,,541,0,1,1,,8,10,0,0,0,0,10,,Sporadic

