Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,1,2010-01-04,2010-01-10,21,21,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,2,2010-01-11,2010-01-17,22,22,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,3,2010-01-18,2010-01-24,17,17,0,3,0,0,0,3,0,0,0,0,3,,Sporadic

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,4,2010-01-25,2010-01-31,35,35,0,7,0,0,0,7,0,0,3,3,10,,Sporadic

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,5,2010-02-01,2010-02-07,54,54,0,4,3,0,0,7,0,0,10,10,17,,Sporadic

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,6,2010-02-08,2010-02-14,127,127,0,3,10,0,0,13,0,0,17,17,30,,Sporadic

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,7,2010-02-15,2010-02-21,49,49,0,0,5,0,0,5,0,0,13,13,18,,Sporadic

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,8,2010-02-22,2010-02-28,86,86,0,5,5,0,0,10,0,0,3,3,13,,Sporadic

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,9,2010-03-01,2010-03-07,35,35,0,8,0,0,0,8,0,0,0,0,8,,Sporadic

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,10,2010-03-08,2010-03-14,28,28,0,2,0,0,0,2,0,0,2,2,4,,Sporadic

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,11,2010-03-15,2010-03-21,43,43,0,10,0,0,0,10,0,0,0,0,10,,Sporadic

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,12,2010-03-22,2010-03-28,12,12,0,0,0,0,0,0,0,0,3,3,3,,Sporadic

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,13,2010-03-29,2010-04-04,78,78,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,14,2010-04-05,2010-04-11,19,19,0,0,1,0,0,1,0,0,0,0,1,,No Activity

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,15,2010-04-12,2010-04-18,32,32,0,8,1,0,0,9,0,0,0,0,9,,Sporadic

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,16,2010-04-19,2010-04-25,35,35,0,0,3,0,0,3,0,0,0,0,3,,Sporadic

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,17,2010-04-26,2010-05-02,11,11,0,0,0,0,0,0,0,0,0,0,0,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,18,2010-05-03,2010-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,19,2010-05-10,2010-05-16,63,63,0,0,0,0,0,0,0,0,0,0,0,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,20,2010-05-17,2010-05-23,25,25,0,0,13,0,0,13,0,0,0,0,13,,Sporadic

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,21,2010-05-24,2010-05-30,24,24,0,0,0,0,0,0,0,0,0,0,0,,No Activity

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,22,2010-05-31,2010-06-06,40,40,0,4,3,0,0,7,0,0,0,0,7,,Sporadic

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,23,2010-06-07,2010-06-13,39,39,0,0,0,0,0,0,0,0,0,0,0,,No Activity

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,24,2010-06-14,2010-06-20,38,38,0,0,0,0,0,0,0,0,0,0,0,,No Activity

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,25,2010-06-21,2010-06-27,24,24,0,0,0,0,0,0,0,0,0,0,0,,No Activity

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,26,2010-06-28,2010-07-04,48,48,0,0,0,0,0,0,0,0,0,0,0,,No Activity

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,27,2010-07-05,2010-07-11,20,20,0,0,0,0,0,0,0,0,0,0,0,,No Activity

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,28,2010-07-12,2010-07-18,21,21,0,0,1,0,0,1,0,0,0,0,1,,Sporadic

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,29,2010-07-19,2010-07-25,19,19,0,0,0,0,0,0,0,0,0,0,0,,No Activity

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,30,2010-07-26,2010-08-01,40,40,0,0,0,0,0,0,0,0,2,2,2,,No Activity

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,31,2010-08-02,2010-08-08,19,19,0,0,0,0,0,0,0,0,0,0,0,,No Activity

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,32,2010-08-09,2010-08-15,32,32,0,0,0,0,0,0,0,0,1,1,1,,No Activity

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,33,2010-08-16,2010-08-22,26,26,0,0,0,0,0,0,0,0,0,0,0,,No Activity

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,34,2010-08-23,2010-08-29,14,14,0,0,5,0,0,5,0,0,0,0,5,,Sporadic

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,35,2010-08-30,2010-09-05,24,24,0,0,4,0,0,4,0,0,0,0,4,,Sporadic

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,36,2010-09-06,2010-09-12,48,48,0,0,11,0,0,11,0,0,2,2,13,,Sporadic

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,37,2010-09-13,2010-09-19,19,19,0,0,14,0,0,14,0,0,0,0,14,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,38,2010-09-20,2010-09-26,23,23,0,0,7,0,0,7,0,0,1,1,8,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,39,2010-09-27,2010-10-03,11,11,0,0,5,0,0,5,0,0,0,0,5,,No Report

United Republic of Tanzania,African Region of WHO,Eastern Africa,2010,40,2010-10-04,2010-10-10,32,32,0,0,2,0,0,2,0,0,0,0,2,,No Report

