Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

United States of America,Region of the Americas of WHO,North America,2005,1,2005-01-03,2005-01-09,,6894,2,,400,,711,1113,,,166,166,1279,,Local Outbreak

United States of America,Region of the Americas of WHO,North America,2005,2,2005-01-10,2005-01-16,,6592,2,,298,,631,931,,,182,182,1113,,Regional Outbreak

United States of America,Region of the Americas of WHO,North America,2005,3,2005-01-17,2005-01-23,,6870,2,,374,,889,1265,,,211,211,1476,,Regional Outbreak

United States of America,Region of the Americas of WHO,North America,2005,4,2005-01-24,2005-01-30,,7928,1,,511,,1045,1557,,,306,306,1863,,Widespread Outbreak

United States of America,Region of the Americas of WHO,North America,2005,5,2005-01-31,2005-02-06,,8552,0,,686,,1214,1900,,,424,424,2324,,Widespread Outbreak

United States of America,Region of the Americas of WHO,North America,2005,6,2005-02-07,2005-02-13,,9629,2,,638,,1451,2091,,,478,478,2569,,Widespread Outbreak

United States of America,Region of the Americas of WHO,North America,2005,7,2005-02-14,2005-02-20,,10502,2,,688,,1396,2086,,,613,613,2699,,Widespread Outbreak

United States of America,Region of the Americas of WHO,North America,2005,8,2005-02-21,2005-02-27,,9601,1,,523,,1133,1657,,,617,617,2274,,Widespread Outbreak

United States of America,Region of the Americas of WHO,North America,2005,9,2005-02-28,2005-03-06,,8363,0,,227,,949,1176,,,518,518,1694,,Widespread Outbreak

United States of America,Region of the Americas of WHO,North America,2005,10,2005-03-07,2005-03-13,,7542,0,,161,,633,794,,,415,415,1209,,Widespread Outbreak

United States of America,Region of the Americas of WHO,North America,2005,11,2005-03-14,2005-03-20,,6482,0,,146,,489,635,,,466,466,1101,,Regional Outbreak

United States of America,Region of the Americas of WHO,North America,2005,12,2005-03-21,2005-03-27,,5854,0,,102,,303,405,,,455,455,860,,Local Outbreak

United States of America,Region of the Americas of WHO,North America,2005,13,2005-03-28,2005-04-03,,5048,3,,54,,167,224,,,341,341,565,,Sporadic

United States of America,Region of the Americas of WHO,North America,2005,14,2005-04-04,2005-04-10,,3861,0,,47,,95,142,,,210,210,352,,Sporadic

United States of America,Region of the Americas of WHO,North America,2005,15,2005-04-11,2005-04-17,,3259,0,,14,,39,53,,,123,123,176,,Sporadic

United States of America,Region of the Americas of WHO,North America,2005,16,2005-04-18,2005-04-24,,2828,1,,21,,26,48,,,73,73,121,,Sporadic

United States of America,Region of the Americas of WHO,North America,2005,17,2005-04-25,2005-05-01,,2306,0,,12,,12,24,,,40,40,64,,Sporadic

United States of America,Region of the Americas of WHO,North America,2005,18,2005-05-02,2005-05-08,,2183,0,,10,,8,18,,,30,30,48,,Sporadic

United States of America,Region of the Americas of WHO,North America,2005,19,2005-05-09,2005-05-15,,2049,0,,13,,5,18,,,18,18,36,,Sporadic

United States of America,Region of the Americas of WHO,North America,2005,20,2005-05-16,2005-05-22,,1796,0,,20,,3,23,,,16,16,39,,Sporadic

United States of America,Region of the Americas of WHO,North America,2005,21,2005-05-23,2005-05-29,,1691,0,,9,,3,12,,,20,20,32,,Sporadic

United States of America,Region of the Americas of WHO,North America,2005,22,2005-05-30,2005-06-05,,1546,0,,6,,3,9,,,15,15,24,,Sporadic

United States of America,Region of the Americas of WHO,North America,2005,23,2005-06-06,2005-06-12,,1532,0,,4,,0,4,,,8,8,12,,Sporadic

United States of America,Region of the Americas of WHO,North America,2005,24,2005-06-13,2005-06-19,,1392,0,,3,,1,4,,,10,10,14,,Sporadic

United States of America,Region of the Americas of WHO,North America,2005,25,2005-06-20,2005-06-26,,1083,0,,5,,1,6,,,5,5,11,,Sporadic

United States of America,Region of the Americas of WHO,North America,2005,26,2005-06-27,2005-07-03,,1101,0,,0,,6,6,,,1,1,7,,Sporadic

United States of America,Region of the Americas of WHO,North America,2005,27,2005-07-04,2005-07-10,,950,0,,1,,0,1,,,4,4,5,,Sporadic

United States of America,Region of the Americas of WHO,North America,2005,28,2005-07-11,2005-07-17,,863,0,,0,,0,0,,,2,2,2,,Sporadic

United States of America,Region of the Americas of WHO,North America,2005,29,2005-07-18,2005-07-24,,849,0,,0,,1,1,,,2,2,3,,Sporadic

United States of America,Region of the Americas of WHO,North America,2005,30,2005-07-25,2005-07-31,,1010,0,,1,,0,1,,,1,1,2,,Sporadic

United States of America,Region of the Americas of WHO,North America,2005,31,2005-08-01,2005-08-07,,840,0,,0,,0,0,,,0,0,0,,No Activity

