Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

United States of America,Region of the Americas of WHO,North America,2010,1,2010-01-04,2010-01-10,9600,9600,0,266,0,0,92,358,0,0,8,8,366,,Local Outbreak

United States of America,Region of the Americas of WHO,North America,2010,2,2010-01-11,2010-01-17,8678,8678,1,261,2,0,120,384,0,0,12,12,396,,Local Outbreak

United States of America,Region of the Americas of WHO,North America,2010,3,2010-01-18,2010-01-24,8626,8626,0,317,1,0,126,444,0,0,3,3,447,,Local Outbreak

United States of America,Region of the Americas of WHO,North America,2010,4,2010-01-25,2010-01-31,8622,8622,0,268,3,0,122,393,0,0,9,9,402,,Sporadic

United States of America,Region of the Americas of WHO,North America,2010,5,2010-02-01,2010-02-07,8485,8485,0,290,0,0,108,398,0,0,6,6,404,,Local Outbreak

United States of America,Region of the Americas of WHO,North America,2010,6,2010-02-08,2010-02-14,8270,8270,0,238,0,0,114,352,0,0,9,9,361,,Local Outbreak

United States of America,Region of the Americas of WHO,North America,2010,7,2010-02-15,2010-02-21,8463,8463,0,260,0,0,114,374,0,0,6,6,380,,Local Outbreak

United States of America,Region of the Americas of WHO,North America,2010,8,2010-02-22,2010-02-28,8106,8106,0,316,1,0,104,421,0,0,3,3,424,,Local Outbreak

United States of America,Region of the Americas of WHO,North America,2010,9,2010-03-01,2010-03-07,7620,7620,0,338,0,0,102,440,0,0,5,5,445,,Local Outbreak

United States of America,Region of the Americas of WHO,North America,2010,10,2010-03-08,2010-03-14,7525,7525,0,359,0,0,102,461,0,0,14,14,475,,Local Outbreak

United States of America,Region of the Americas of WHO,North America,2010,11,2010-03-15,2010-03-21,6500,6500,0,259,1,0,87,347,0,0,4,4,351,,Local Outbreak

