Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Uruguay,Region of the Americas of WHO,Temperate South America,2011,1,2011-01-03,2011-01-09,,8,0,0,1,,0,1,,,0,0,1,7,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,2,2011-01-10,2011-01-16,,20,0,0,3,,0,3,,,0,0,3,17,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,3,2011-01-17,2011-01-23,,12,0,0,0,,0,0,,,0,0,0,12,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,4,2011-01-24,2011-01-30,,13,0,1,0,,0,1,,,0,0,1,12,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,5,2011-01-31,2011-02-06,,15,0,0,1,,0,1,,,0,0,1,14,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,6,2011-02-07,2011-02-13,,18,0,0,0,,0,0,,,0,0,0,18,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,7,2011-02-14,2011-02-20,,8,0,0,0,,0,0,,,0,0,0,8,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,8,2011-02-21,2011-02-27,,6,0,0,0,,0,0,,,0,0,0,6,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,9,2011-02-28,2011-03-06,,13,0,0,1,,0,1,,,0,0,1,12,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,10,2011-03-07,2011-03-13,,9,0,0,0,,0,0,,,0,0,0,9,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,11,2011-03-14,2011-03-20,,22,0,0,0,,0,0,,,0,0,0,22,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,12,2011-03-21,2011-03-27,,20,0,0,0,,0,0,,,0,0,0,20,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,13,2011-03-28,2011-04-03,,27,0,0,0,,0,0,,,0,0,0,27,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,14,2011-04-04,2011-04-10,,22,0,0,0,,0,0,,,0,0,0,22,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,15,2011-04-11,2011-04-17,,17,0,0,0,,0,0,,,0,0,0,17,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,16,2011-04-18,2011-04-24,,21,0,0,0,,0,0,,,0,0,0,21,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,17,2011-04-25,2011-05-01,,32,0,0,0,,0,0,,,0,0,0,32,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,18,2011-05-02,2011-05-08,,18,0,0,0,,0,0,,,0,0,0,18,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,19,2011-05-09,2011-05-15,,37,0,0,0,,0,0,,,0,0,0,37,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,20,2011-05-16,2011-05-22,,36,0,0,0,,0,0,,,0,0,0,36,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,21,2011-05-23,2011-05-29,,49,0,1,0,,0,1,,,0,0,1,48,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,22,2011-05-30,2011-06-05,,46,0,1,0,,0,1,,,0,0,1,45,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,23,2011-06-06,2011-06-12,,57,0,0,0,,0,0,,,1,1,1,56,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,24,2011-06-13,2011-06-19,,67,0,2,0,,0,2,,,0,0,2,65,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,25,2011-06-20,2011-06-26,,86,0,1,0,,0,1,,,0,0,1,85,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,26,2011-06-27,2011-07-03,,110,0,9,2,,0,11,,,0,0,11,99,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,27,2011-07-04,2011-07-10,,184,0,21,1,,0,22,,,0,0,22,162,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,28,2011-07-11,2011-07-17,,143,0,25,1,,0,26,,,1,1,27,116,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,29,2011-07-18,2011-07-24,,147,0,28,5,,0,33,,,0,0,33,114,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,30,2011-07-25,2011-07-31,,207,0,38,9,,1,48,,,0,0,48,159,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,31,2011-08-01,2011-08-07,,259,0,53,23,,0,76,,,0,0,76,183,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,32,2011-08-08,2011-08-14,,225,0,24,27,,0,51,,,0,0,51,174,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,33,2011-08-15,2011-08-21,,176,0,24,24,,1,49,,,0,0,49,127,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,34,2011-08-22,2011-08-28,,80,0,1,4,,0,5,,,0,0,5,75,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,35,2011-08-29,2011-09-04,,57,0,3,8,,0,11,,,0,0,11,46,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,36,2011-09-05,2011-09-11,,14,0,0,8,,0,8,,,0,0,8,6,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,37,2011-09-12,2011-09-18,,3,0,0,3,,0,3,,,0,0,3,,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,38,2011-09-19,2011-09-25,,,,,,,,,,,,,,,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,39,2011-09-26,2011-10-02,,,,,,,,,,,,,,,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,40,2011-10-03,2011-10-09,,,,,,,,,,,,,,,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,41,2011-10-10,2011-10-16,,,,,,,,,,,,,,,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,42,2011-10-17,2011-10-23,,,,,,,,,,,,,,,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,43,2011-10-24,2011-10-30,,,,,,,,,,,,,,,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,44,2011-10-31,2011-11-06,,,,,,,,,,,,,,,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,45,2011-11-07,2011-11-13,,,,,,,,,,,,,,,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,46,2011-11-14,2011-11-20,,,,,,,,,,,,,,,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,47,2011-11-21,2011-11-27,,,,,,,,,,,,,,,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,48,2011-11-28,2011-12-04,,,,,,,,,,,,,,,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,49,2011-12-05,2011-12-11,,,,,,,,,,,,,,,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,50,2011-12-12,2011-12-18,,,,,,,,,,,,,,,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,51,2011-12-19,2011-12-25,,,,,,,,,,,,,,,No Report

Uruguay,Region of the Americas of WHO,Temperate South America,2011,52,2011-12-26,2012-01-01,,,,,,,,,,,,,,,No Report


