Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Uzbekistan,European Region of WHO,Central Asia,2016,1,2016-01-04,2016-01-10,,4,1,2,0,,0,3,0,0,0,0,3,,No Report

Uzbekistan,European Region of WHO,Central Asia,2016,2,2016-01-11,2016-01-17,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Uzbekistan,European Region of WHO,Central Asia,2016,3,2016-01-18,2016-01-24,,16,0,2,0,,0,2,0,0,0,0,2,,No Report

Uzbekistan,European Region of WHO,Central Asia,2016,4,2016-01-25,2016-01-31,,26,0,8,0,,0,8,0,0,0,0,8,,No Report

Uzbekistan,European Region of WHO,Central Asia,2016,5,2016-02-01,2016-02-07,,40,0,14,0,,0,14,0,0,0,0,14,,No Report

Uzbekistan,European Region of WHO,Central Asia,2016,6,2016-02-08,2016-02-14,,61,0,28,0,,0,28,0,0,0,0,28,,No Report

Uzbekistan,European Region of WHO,Central Asia,2016,7,2016-02-15,2016-02-21,,35,0,15,0,,0,15,0,0,3,3,18,,No Report

Uzbekistan,European Region of WHO,Central Asia,2016,8,2016-02-22,2016-02-28,,29,0,10,0,,0,10,0,0,1,1,11,,No Report

Uzbekistan,European Region of WHO,Central Asia,2016,9,2016-02-29,2016-03-06,,24,0,9,0,,0,9,0,0,5,5,14,,No Report

Uzbekistan,European Region of WHO,Central Asia,2016,10,2016-03-07,2016-03-13,,18,0,0,2,,0,2,0,0,7,7,9,,No Report

Uzbekistan,European Region of WHO,Central Asia,2016,11,2016-03-14,2016-03-20,,16,0,2,0,,0,2,0,0,1,1,3,,No Report

Uzbekistan,European Region of WHO,Central Asia,2016,12,2016-03-21,2016-03-27,,20,0,1,0,,0,1,0,0,10,10,11,,No Report

Uzbekistan,European Region of WHO,Central Asia,2016,13,2016-03-28,2016-04-03,,15,0,0,0,,0,0,0,0,10,10,10,,No Report

