Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Venezuela (Bolivarian Republic of),Region of the Americas of WHO,Tropical South America,2017,1,2017-01-02,2017-01-08,,8,0,0,1,,0,1,0,0,0,0,1,7,No Report

Venezuela (Bolivarian Republic of),Region of the Americas of WHO,Tropical South America,2017,2,2017-01-09,2017-01-15,,9,0,0,0,,0,0,0,1,0,1,1,8,No Report

Venezuela (Bolivarian Republic of),Region of the Americas of WHO,Tropical South America,2017,3,2017-01-16,2017-01-22,,12,0,0,1,,0,1,0,1,0,1,2,10,No Report

Venezuela (Bolivarian Republic of),Region of the Americas of WHO,Tropical South America,2017,4,2017-01-23,2017-01-29,,10,0,0,0,,0,0,0,0,0,0,0,10,No Report

Venezuela (Bolivarian Republic of),Region of the Americas of WHO,Tropical South America,2017,5,2017-01-30,2017-02-05,,8,0,0,0,,0,0,0,0,0,0,0,8,No Report

Venezuela (Bolivarian Republic of),Region of the Americas of WHO,Tropical South America,2017,6,2017-02-06,2017-02-12,,6,0,0,0,,0,0,0,2,0,2,2,4,No Report

Venezuela (Bolivarian Republic of),Region of the Americas of WHO,Tropical South America,2017,7,2017-02-13,2017-02-19,,12,0,0,0,,0,0,0,0,0,0,0,12,No Report

Venezuela (Bolivarian Republic of),Region of the Americas of WHO,Tropical South America,2017,8,2017-02-20,2017-02-26,,7,0,0,0,,0,0,1,0,0,1,1,6,No Report

Venezuela (Bolivarian Republic of),Region of the Americas of WHO,Tropical South America,2017,9,2017-02-27,2017-03-05,,8,0,0,0,,0,0,1,0,0,1,1,7,No Report

Venezuela (Bolivarian Republic of),Region of the Americas of WHO,Tropical South America,2017,10,2017-03-06,2017-03-12,,13,0,0,0,,0,0,0,0,0,0,0,13,No Report

Venezuela (Bolivarian Republic of),Region of the Americas of WHO,Tropical South America,2017,11,2017-03-13,2017-03-19,,9,0,0,0,,0,0,0,0,0,0,0,9,No Report

Venezuela (Bolivarian Republic of),Region of the Americas of WHO,Tropical South America,2017,12,2017-03-20,2017-03-26,,2,0,0,0,,0,0,0,0,0,0,0,2,No Report

Venezuela (Bolivarian Republic of),Region of the Americas of WHO,Tropical South America,2017,13,2017-03-27,2017-04-02,,1,0,0,0,,0,0,0,0,0,0,0,1,No Report

Venezuela (Bolivarian Republic of),Region of the Americas of WHO,Tropical South America,2017,14,2017-04-03,2017-04-09,,2,0,0,0,,0,0,0,0,0,0,0,2,No Report

Venezuela (Bolivarian Republic of),Region of the Americas of WHO,Tropical South America,2017,15,2017-04-10,2017-04-16,,1,0,0,0,,0,0,0,0,0,0,0,1,No Report

Venezuela (Bolivarian Republic of),Region of the Americas of WHO,Tropical South America,2017,16,2017-04-17,2017-04-23,,5,0,0,0,,0,0,0,0,0,0,0,5,No Report

Venezuela (Bolivarian Republic of),Region of the Americas of WHO,Tropical South America,2017,17,2017-04-24,2017-04-30,,3,0,0,0,,0,0,0,0,0,0,0,3,No Report

Venezuela (Bolivarian Republic of),Region of the Americas of WHO,Tropical South America,2017,18,2017-05-01,2017-05-07,,4,0,0,0,,0,0,0,0,0,0,0,4,No Report

Venezuela (Bolivarian Republic of),Region of the Americas of WHO,Tropical South America,2017,19,2017-05-08,2017-05-14,,1,0,0,0,,0,0,0,0,0,0,0,1,No Report

