Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Viet Nam,Western Pacific Region of WHO,South-East Asia,2010,1,2010-01-04,2010-01-10,,110,,3,,,,3,,,10,10,13,,No Report

Viet Nam,Western Pacific Region of WHO,South-East Asia,2010,2,2010-01-11,2010-01-17,,121,,7,,,,7,,,2,2,9,,No Report

Viet Nam,Western Pacific Region of WHO,South-East Asia,2010,3,2010-01-18,2010-01-24,,115,,2,1,,,3,,,8,8,11,,No Report

Viet Nam,Western Pacific Region of WHO,South-East Asia,2010,4,2010-01-25,2010-01-31,,122,,5,,,,5,,,5,5,10,,No Report

Viet Nam,Western Pacific Region of WHO,South-East Asia,2010,5,2010-02-01,2010-02-07,,121,,4,,,,4,,,7,7,11,,No Report

Viet Nam,Western Pacific Region of WHO,South-East Asia,2010,6,2010-02-08,2010-02-14,,24,,2,,,,2,,,0,0,2,,No Report

Viet Nam,Western Pacific Region of WHO,South-East Asia,2010,7,2010-02-15,2010-02-21,,,,,,,,,,,,,,,No Report

Viet Nam,Western Pacific Region of WHO,South-East Asia,2010,8,2010-02-22,2010-02-28,,101,,7,,,,7,,,4,4,11,,No Report

Viet Nam,Western Pacific Region of WHO,South-East Asia,2010,9,2010-03-01,2010-03-07,,108,,3,,,,3,,,6,6,9,,No Report

Viet Nam,Western Pacific Region of WHO,South-East Asia,2010,10,2010-03-08,2010-03-14,,101,,2,,,,2,,,7,7,9,,No Report

Viet Nam,Western Pacific Region of WHO,South-East Asia,2010,11,2010-03-15,2010-03-21,,111,,2,,,,2,,,13,13,15,,No Report

Viet Nam,Western Pacific Region of WHO,South-East Asia,2010,12,2010-03-22,2010-03-28,,133,,,,,,0,,,18,18,18,,No Report

Viet Nam,Western Pacific Region of WHO,South-East Asia,2010,13,2010-03-29,2010-04-04,,66,,,,,,0,,,3,3,3,,No Report

Viet Nam,Western Pacific Region of WHO,South-East Asia,2010,14,2010-04-05,2010-04-11,,36,,,,,,0,,,3,3,3,,No Report

Viet Nam,Western Pacific Region of WHO,South-East Asia,2010,15,2010-04-12,2010-04-18,,29,,1,,,,1,,,4,4,5,,No Report

Viet Nam,Western Pacific Region of WHO,South-East Asia,2010,16,2010-04-19,2010-04-25,,26,,,,,,0,,,2,2,2,,No Report

Viet Nam,Western Pacific Region of WHO,South-East Asia,2010,17,2010-04-26,2010-05-02,,32,,,,,,0,,,1,1,1,,No Report

