Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Viet Nam,Western Pacific Region of WHO,South-East Asia,2014,1,2013-12-30,2014-01-05,65,65,0,0,10,0,0,10,0,0,7,7,17,,Sporadic

Viet Nam,Western Pacific Region of WHO,South-East Asia,2014,2,2014-01-06,2014-01-12,44,44,0,1,8,0,0,9,0,0,7,7,16,,Sporadic

Viet Nam,Western Pacific Region of WHO,South-East Asia,2014,3,2014-01-13,2014-01-19,54,54,0,3,6,1,0,10,0,0,6,6,16,,Sporadic

Viet Nam,Western Pacific Region of WHO,South-East Asia,2014,4,2014-01-20,2014-01-26,67,67,0,2,2,0,0,4,0,0,3,3,7,,Sporadic

Viet Nam,Western Pacific Region of WHO,South-East Asia,2014,5,2014-01-27,2014-02-02,21,21,0,0,0,1,0,1,0,0,0,0,1,,Sporadic

Viet Nam,Western Pacific Region of WHO,South-East Asia,2014,6,2014-02-03,2014-02-09,6,6,0,1,0,0,0,1,0,0,0,0,1,,Sporadic

Viet Nam,Western Pacific Region of WHO,South-East Asia,2014,7,2014-02-10,2014-02-16,42,42,0,0,2,0,0,2,0,0,6,6,8,,Sporadic

Viet Nam,Western Pacific Region of WHO,South-East Asia,2014,8,2014-02-17,2014-02-23,59,59,0,3,2,0,0,5,0,0,7,7,12,,Sporadic

Viet Nam,Western Pacific Region of WHO,South-East Asia,2014,9,2014-02-24,2014-03-02,91,91,0,11,1,0,0,12,0,0,13,13,25,,Sporadic

Viet Nam,Western Pacific Region of WHO,South-East Asia,2014,10,2014-03-03,2014-03-09,58,58,0,9,2,0,0,11,0,0,9,9,20,,Sporadic

Viet Nam,Western Pacific Region of WHO,South-East Asia,2014,11,2014-03-10,2014-03-16,67,67,0,15,3,0,0,18,0,0,3,3,21,,Sporadic

Viet Nam,Western Pacific Region of WHO,South-East Asia,2014,12,2014-03-17,2014-03-23,44,44,0,4,1,0,0,6,0,0,8,8,14,,Sporadic

Viet Nam,Western Pacific Region of WHO,South-East Asia,2014,13,2014-03-24,2014-03-30,65,65,0,6,3,0,0,10,0,0,6,6,16,,Sporadic

Viet Nam,Western Pacific Region of WHO,South-East Asia,2014,14,2014-03-31,2014-04-06,64,64,0,12,3,0,0,15,0,0,14,14,29,,Sporadic

Viet Nam,Western Pacific Region of WHO,South-East Asia,2014,15,2014-04-07,2014-04-13,43,43,0,4,2,0,0,6,0,0,10,10,16,,Sporadic

Viet Nam,Western Pacific Region of WHO,South-East Asia,2014,16,2014-04-14,2014-04-20,44,44,0,1,2,0,0,3,0,0,5,5,8,,Sporadic

