Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2017,1,2017-01-02,2017-01-08,42,42,,2,,,,2,,,0,0,2,26,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2017,2,2017-01-09,2017-01-15,27,27,,,1,,1,2,,,0,0,2,15,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2017,3,2017-01-16,2017-01-22,42,42,,,1,,1,2,,,0,0,2,21,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2017,4,2017-01-23,2017-01-29,34,34,,,1,,,1,,,0,0,1,22,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2017,5,2017-01-30,2017-02-05,6,6,,,,,,0,,,0,0,0,3,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2017,6,2017-02-06,2017-02-12,34,34,,,,,,0,,,0,0,0,19,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2017,7,2017-02-13,2017-02-19,35,35,,,,,,0,,,0,0,0,15,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2017,8,2017-02-20,2017-02-26,20,19,,,,,,0,,,0,0,0,13,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2017,9,2017-02-27,2017-03-05,24,24,,,,,,0,,,0,0,0,15,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2017,10,2017-03-06,2017-03-12,28,28,,,,,,0,,,0,0,0,14,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2017,11,2017-03-13,2017-03-19,10,10,,,,,,0,,,0,0,0,8,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2017,12,2017-03-20,2017-03-26,22,22,,,,,,0,,,0,0,0,16,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2017,13,2017-03-27,2017-04-02,20,20,,,,,,0,,,0,0,0,17,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2017,14,2017-04-03,2017-04-09,11,11,,1,,,,1,,,1,1,2,8,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2017,15,2017-04-10,2017-04-16,11,11,,,,,,0,,,1,1,1,8,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2017,16,2017-04-17,2017-04-23,2,2,,,,,,0,,,0,0,0,2,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2017,17,2017-04-24,2017-04-30,10,10,,,,,,0,,,3,3,3,7,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2017,18,2017-05-01,2017-05-07,10,10,,1,,,,1,,,1,1,2,6,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2017,19,2017-05-08,2017-05-14,8,8,,,,,,0,,,1,1,1,7,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2017,20,2017-05-15,2017-05-21,6,6,,,,,,0,,,1,1,1,5,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2017,21,2017-05-22,2017-05-28,6,6,,,,,,0,,,2,2,2,3,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2017,22,2017-05-29,2017-06-04,,,,,,,,,,,,,,,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2017,23,2017-06-05,2017-06-11,4,4,,,,,,0,,,0,0,0,4,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2017,24,2017-06-12,2017-06-18,3,3,,,,,,0,,,0,0,0,3,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2017,25,2017-06-19,2017-06-25,4,4,,,,,,0,,,0,0,0,4,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2017,26,2017-06-26,2017-07-02,,,,,,,,,,,,,,,No Report

