Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,1,2018-12-31,2019-01-06,153,153,,71,2,,,73,,,0,0,73,79,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,2,2019-01-07,2019-01-13,345,345,,106,2,,,108,,,0,0,108,236,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,3,2019-01-14,2019-01-20,243,243,,67,11,,,78,,,0,0,78,164,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,4,2019-01-21,2019-01-27,160,160,,48,9,,,57,,,0,0,57,103,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,5,2019-01-28,2019-02-03,173,173,,32,8,,,40,,,0,0,40,133,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,6,2019-02-04,2019-02-10,152,152,,27,17,,,44,,,0,0,44,108,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,7,2019-02-11,2019-02-17,202,202,,37,26,,,63,,,0,0,63,138,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,8,2019-02-18,2019-02-24,157,157,,20,43,,,63,,,0,0,63,91,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,9,2019-02-25,2019-03-03,110,110,,11,24,,,35,,,0,0,35,74,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,10,2019-03-04,2019-03-10,77,77,,3,28,,,31,,,0,0,31,46,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,11,2019-03-11,2019-03-17,103,103,,4,29,,,33,,,0,0,33,68,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,12,2019-03-18,2019-03-24,83,83,,1,27,,,28,,,0,0,28,54,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,13,2019-03-25,2019-03-31,96,96,,2,32,,,34,,,0,0,34,62,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,14,2019-04-01,2019-04-07,50,50,,2,10,,,12,,,0,0,12,38,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,15,2019-04-08,2019-04-14,56,56,,,11,,,11,,,0,0,11,42,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,16,2019-04-15,2019-04-21,36,36,,,9,,,9,,,0,0,9,26,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,17,2019-04-22,2019-04-28,17,17,,1,3,,,4,,,0,0,4,13,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,18,2019-04-29,2019-05-05,16,16,,,,,,0,,,0,0,0,14,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,19,2019-05-06,2019-05-12,19,20,,2,2,,,4,,,0,0,4,13,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,20,2019-05-13,2019-05-19,9,9,,,1,,,1,,,0,0,1,8,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,21,2019-05-20,2019-05-26,17,17,,,2,,,2,,,0,0,2,14,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,22,2019-05-27,2019-06-02,6,6,,,1,,,1,,,0,0,1,4,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,23,2019-06-03,2019-06-09,8,8,,,,,,0,,,0,0,0,8,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,24,2019-06-10,2019-06-16,18,18,,,,,,0,,,0,0,0,18,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,25,2019-06-17,2019-06-23,7,7,,,,,,0,,,0,0,0,4,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,26,2019-06-24,2019-06-30,12,12,,,,,,0,,,0,0,0,5,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,27,2019-07-01,2019-07-07,10,10,,,,,,0,,,0,0,0,8,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,28,2019-07-08,2019-07-14,4,4,,,,,,0,,,0,0,0,4,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,29,2019-07-15,2019-07-21,8,8,,,,,,0,,,0,0,0,8,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,30,2019-07-22,2019-07-28,1,1,,,,,,0,,,0,0,0,1,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,31,2019-07-29,2019-08-04,6,6,,,,,,0,,,0,0,0,4,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,32,2019-08-05,2019-08-11,1,1,,,,,,0,,,0,0,0,1,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,33,2019-08-12,2019-08-18,4,4,,,,,,0,,,0,0,0,4,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,34,2019-08-19,2019-08-25,10,10,,,2,,,2,,,0,0,2,5,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,35,2019-08-26,2019-09-01,5,5,,,,,,0,,,0,0,0,5,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,36,2019-09-02,2019-09-08,6,6,,,,,,0,,,0,0,0,6,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,37,2019-09-09,2019-09-15,8,8,,,,,,0,,,0,0,0,8,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,38,2019-09-16,2019-09-22,5,5,,,,,,0,,,0,0,0,4,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,39,2019-09-23,2019-09-29,11,11,,,1,,,1,,,0,0,1,8,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,40,2019-09-30,2019-10-06,6,6,,,,,,0,,,0,0,0,6,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,41,2019-10-07,2019-10-13,10,10,,,,,,0,,,0,0,0,10,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,42,2019-10-14,2019-10-20,,9,,,,,,0,,,0,0,0,,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,43,2019-10-21,2019-10-27,,3,,,,,,0,,,0,0,0,,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,44,2019-10-28,2019-11-03,,15,,,,,,0,,,0,0,0,,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,45,2019-11-04,2019-11-10,,26,,,1,,,1,,,0,0,1,,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,46,2019-11-11,2019-11-17,,4,,,,,,0,,,0,0,0,,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,47,2019-11-18,2019-11-24,,20,,,2,,,2,,,0,0,2,,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,48,2019-11-25,2019-12-01,37,37,,3,4,,,7,,,0,0,7,30,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,49,2019-12-02,2019-12-08,38,38,,4,3,,,7,,,0,0,7,28,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,50,2019-12-09,2019-12-15,69,69,,3,10,,,13,,,4,4,17,50,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,51,2019-12-16,2019-12-22,155,155,,9,26,,,35,,,11,11,46,98,No Report

West Bank and Gaza Strip,Eastern Mediterranean Region of WHO,Western Asia,2019,52,2019-12-23,2019-12-29,276,276,,21,61,,,82,,,9,9,91,166,No Report


