Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Yemen,Eastern Mediterranean Region of WHO,Western Asia,2019,1,2018-12-31,2019-01-06,10,10,,2,,,,2,,,1,1,3,,No Report

Yemen,Eastern Mediterranean Region of WHO,Western Asia,2019,2,2019-01-07,2019-01-13,17,17,,7,,,,7,,,4,4,11,,No Report

Yemen,Eastern Mediterranean Region of WHO,Western Asia,2019,3,2019-01-14,2019-01-20,40,40,,12,,,1,13,,,0,0,13,,No Report

Yemen,Eastern Mediterranean Region of WHO,Western Asia,2019,4,2019-01-21,2019-01-27,64,64,,21,,,7,28,,,2,2,30,,No Report

Yemen,Eastern Mediterranean Region of WHO,Western Asia,2019,5,2019-01-28,2019-02-03,74,74,,12,,,2,14,,,0,0,14,,No Report

Yemen,Eastern Mediterranean Region of WHO,Western Asia,2019,6,2019-02-04,2019-02-10,85,85,,26,,,3,29,,,0,0,29,,No Report

Yemen,Eastern Mediterranean Region of WHO,Western Asia,2019,7,2019-02-11,2019-02-17,45,45,,9,,,,9,,,0,0,9,,No Report

Yemen,Eastern Mediterranean Region of WHO,Western Asia,2019,8,2019-02-18,2019-02-24,42,42,,10,,,,10,,,2,2,12,,No Report

Yemen,Eastern Mediterranean Region of WHO,Western Asia,2019,9,2019-02-25,2019-03-03,36,36,,5,,,,5,,,1,1,6,,No Report

Yemen,Eastern Mediterranean Region of WHO,Western Asia,2019,10,2019-03-04,2019-03-10,13,13,,0,,,,0,,,1,1,1,,No Report

Yemen,Eastern Mediterranean Region of WHO,Western Asia,2019,11,2019-03-11,2019-03-17,20,20,,2,,,,2,,,1,1,3,,No Report

Yemen,Eastern Mediterranean Region of WHO,Western Asia,2019,12,2019-03-18,2019-03-24,14,14,,0,,,,0,,,3,3,3,,No Report

Yemen,Eastern Mediterranean Region of WHO,Western Asia,2019,13,2019-03-25,2019-03-31,12,12,,1,,,,1,,,1,1,2,,No Report

Yemen,Eastern Mediterranean Region of WHO,Western Asia,2019,14,2019-04-01,2019-04-07,6,6,,1,,,,1,,,0,0,1,,No Report

Yemen,Eastern Mediterranean Region of WHO,Western Asia,2019,15,2019-04-08,2019-04-14,4,4,,1,,,,1,,,0,0,1,,No Report

Yemen,Eastern Mediterranean Region of WHO,Western Asia,2019,16,2019-04-15,2019-04-21,6,6,,0,,,,0,,,0,0,0,,No Report

Yemen,Eastern Mediterranean Region of WHO,Western Asia,2019,17,2019-04-22,2019-04-28,9,9,,0,,,,0,,,0,0,0,,No Report

Yemen,Eastern Mediterranean Region of WHO,Western Asia,2019,18,2019-04-29,2019-05-05,14,4,,0,,,,0,,,0,0,0,,No Report

Yemen,Eastern Mediterranean Region of WHO,Western Asia,2019,19,2019-05-06,2019-05-12,1,1,,0,,,,0,,,0,0,0,,No Report

Yemen,Eastern Mediterranean Region of WHO,Western Asia,2019,20,2019-05-13,2019-05-19,1,1,,0,,,,0,,,0,0,0,,No Report

