Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Zambia,African Region of WHO,Eastern Africa,2018,1,2018-01-01,2018-01-07,36,36,,0,0,0,0,0,0,0,5,5,5,31,Sporadic

Zambia,African Region of WHO,Eastern Africa,2018,2,2018-01-08,2018-01-14,56,55,,0,0,0,0,0,0,0,3,3,3,52,Sporadic

Zambia,African Region of WHO,Eastern Africa,2018,3,2018-01-15,2018-01-21,70,70,,0,0,0,0,1,0,0,4,4,5,65,Sporadic

Zambia,African Region of WHO,Eastern Africa,2018,4,2018-01-22,2018-01-28,78,78,,0,0,0,0,2,0,0,3,3,5,74,Sporadic

Zambia,African Region of WHO,Eastern Africa,2018,5,2018-01-29,2018-02-04,36,36,,0,0,0,0,0,0,0,1,1,1,35,Sporadic

Zambia,African Region of WHO,Eastern Africa,2018,6,2018-02-05,2018-02-11,51,51,,1,0,0,0,1,0,0,2,2,3,48,Sporadic

Zambia,African Region of WHO,Eastern Africa,2018,7,2018-02-12,2018-02-18,64,64,,0,0,0,0,0,0,0,10,10,10,54,Local Outbreak

Zambia,African Region of WHO,Eastern Africa,2018,8,2018-02-19,2018-02-25,86,86,,1,0,0,1,2,0,0,7,7,9,77,Sporadic

Zambia,African Region of WHO,Eastern Africa,2018,9,2018-02-26,2018-03-04,55,55,,1,0,0,1,2,0,0,9,9,11,44,Sporadic

Zambia,African Region of WHO,Eastern Africa,2018,10,2018-03-05,2018-03-11,81,81,,4,0,0,1,5,0,0,1,1,6,75,Sporadic

Zambia,African Region of WHO,Eastern Africa,2018,11,2018-03-12,2018-03-18,59,59,,0,0,0,0,4,0,0,4,4,8,53,Sporadic

Zambia,African Region of WHO,Eastern Africa,2018,12,2018-03-19,2018-03-25,75,75,,6,0,0,3,13,0,0,5,5,18,59,Local Outbreak

Zambia,African Region of WHO,Eastern Africa,2018,13,2018-03-26,2018-04-01,73,72,,3,0,0,2,13,0,0,3,3,16,60,Local Outbreak

Zambia,African Region of WHO,Eastern Africa,2018,14,2018-04-02,2018-04-08,47,47,,6,0,0,0,6,0,0,0,0,6,41,Sporadic

Zambia,African Region of WHO,Eastern Africa,2018,15,2018-04-09,2018-04-15,75,75,,5,0,0,3,8,0,0,8,8,16,59,Local Outbreak

Zambia,African Region of WHO,Eastern Africa,2018,16,2018-04-16,2018-04-22,77,77,,7,1,0,4,12,0,0,10,10,22,55,Local Outbreak

Zambia,African Region of WHO,Eastern Africa,2018,17,2018-04-23,2018-04-29,50,50,,3,0,0,5,8,0,0,5,5,13,37,Local Outbreak

Zambia,African Region of WHO,Eastern Africa,2018,18,2018-04-30,2018-05-06,63,63,,8,0,0,0,8,0,0,5,5,13,50,Sporadic

Zambia,African Region of WHO,Eastern Africa,2018,19,2018-05-07,2018-05-13,65,65,,7,0,0,0,9,0,0,6,6,15,51,Local Outbreak

Zambia,African Region of WHO,Eastern Africa,2018,20,2018-05-14,2018-05-20,63,63,,3,0,0,0,3,0,0,1,1,4,59,Sporadic

Zambia,African Region of WHO,Eastern Africa,2018,21,2018-05-21,2018-05-27,78,78,,2,3,0,1,6,0,0,0,0,6,72,Sporadic

Zambia,African Region of WHO,Eastern Africa,2018,22,2018-05-28,2018-06-03,78,77,,2,0,0,0,2,0,0,1,1,3,74,Sporadic

Zambia,African Region of WHO,Eastern Africa,2018,23,2018-06-04,2018-06-10,67,67,,2,1,0,1,4,0,0,0,0,4,63,Sporadic

